Date,LifeLock
2012-02-11,45
2012-02-12,49
2012-02-13,47
2012-02-14,48
2012-02-15,50
2012-02-16,55
2012-02-17,50
2012-02-18,59
2012-02-19,58
2012-02-20,52
2012-02-21,53
2012-02-22,48
2012-02-23,56
2012-02-24,53
2012-02-25,47
2012-02-26,52
2012-02-27,50
2012-02-28,49
2012-02-29,51
2012-03-01,51
2012-03-02,52
2012-03-03,47
2012-03-04,56
2012-03-05,50
2012-03-06,56
2012-03-07,71
2012-03-08,71
2012-03-09,74
2012-03-10,81
2012-03-11,67
2012-03-12,72
2012-03-13,66
2012-03-14,68
2012-03-15,65
2012-03-16,68
2012-03-17,64
2012-03-18,62
2012-03-19,59
2012-03-20,54
2012-03-21,60
2012-03-22,54
2012-03-23,55
2012-03-24,51
2012-03-25,54
2012-03-26,51
2012-03-27,56
2012-03-28,57
2012-03-29,62
2012-03-30,53
2012-03-31,65
2012-04-01,63
2012-04-02,58
2012-04-03,63
2012-04-04,63
2012-04-05,56
2012-04-06,61
2012-04-07,59
2012-04-08,61
2012-04-09,51
2012-04-10,55
2012-04-11,50
2012-04-12,48
2012-04-13,49
2012-04-14,47
2012-04-15,49
2012-04-16,42
2012-04-17,49
2012-04-18,52
2012-04-19,50
2012-04-20,55
2012-04-21,57
2012-04-22,56
2012-04-23,51
2012-04-24,54
2012-04-25,47
2012-04-26,49
2012-04-27,50
2012-04-28,45
2012-04-29,48
2012-04-30,46
2012-05-01,47
2012-05-02,50
2012-05-03,45
2012-05-04,45
2012-05-05,53
2012-05-06,45
2012-05-07,40
2012-05-08,43
2012-05-09,46
2012-05-10,40
2012-05-11,39
2012-05-12,45
2012-05-13,39
2012-05-14,38
2012-05-15,45
2012-05-16,43
2012-05-17,42
2012-05-18,48
2012-05-19,50
2012-05-20,47
2012-05-21,40
2012-05-22,44
2012-05-23,44
2012-05-24,45
2012-05-25,37
2012-05-26,42
2012-05-27,45
2012-05-28,38
2012-05-29,34
2012-05-30,38
2012-05-31,37
2012-06-01,42
2012-06-02,35
2012-06-03,42
2012-06-04,33
2012-06-05,41
2012-06-06,43
2012-06-07,41
2012-06-08,47
2012-06-09,48
2012-06-10,46
2012-06-11,45
2012-06-12,42
2012-06-13,44
2012-06-14,39
2012-06-15,46
2012-06-16,43
2012-06-17,43
2012-06-18,42
2012-06-19,44
2012-06-20,44
2012-06-21,47
2012-06-22,44
2012-06-23,46
2012-06-24,47
2012-06-25,42
2012-06-26,47
2012-06-27,47
2012-06-28,45
2012-06-29,46
