Date,Virgin Mobile USA
2006-11-01,44
2006-11-02,44
2006-11-03,44
2006-11-04,44
2006-11-05,44
2006-11-06,44
2006-11-07,44
2006-11-08,44
2006-11-09,44
2006-11-10,44
2006-11-11,44
2006-11-12,44
2006-11-13,44
2006-11-14,44
2006-11-15,44
2006-11-16,44
2006-11-17,44
2006-11-18,44
2006-11-19,44
2006-11-20,44
2006-11-21,44
2006-11-22,44
2006-11-23,44
2006-11-24,44
2006-11-25,44
2006-11-26,44
2006-11-27,44
2006-11-28,44
2006-11-29,44
2006-11-30,44
2006-12-01,44
2006-12-02,44
2006-12-03,44
2006-12-04,44
2006-12-05,44
2006-12-06,44
2006-12-07,44
2006-12-08,44
2006-12-09,44
2006-12-10,44
2006-12-11,44
2006-12-12,44
2006-12-13,44
2006-12-14,44
2006-12-15,44
2006-12-16,44
2006-12-17,44
2006-12-18,44
2006-12-19,44
2006-12-20,44
2006-12-21,44
2006-12-22,44
2006-12-23,44
2006-12-24,44
2006-12-25,44
2006-12-26,44
2006-12-27,44
2006-12-28,44
2006-12-29,44
2006-12-30,44
2006-12-31,44
2007-01-01,44
2007-01-02,44
2007-01-03,44
2007-01-04,44
2007-01-05,44
2007-01-06,44
2007-01-07,45
2007-01-08,45
2007-01-09,45
2007-01-10,45
2007-01-11,45
2007-01-12,46
2007-01-13,46
2007-01-14,46
2007-01-15,46
2007-01-16,46
2007-01-17,47
2007-01-18,47
2007-01-19,47
2007-01-20,47
2007-01-21,47
2007-01-22,48
2007-01-23,48
2007-01-24,48
2007-01-25,48
2007-01-26,48
2007-01-27,49
2007-01-28,49
2007-01-29,49
2007-01-30,49
2007-01-31,49
2007-02-01,50
2007-02-02,50
2007-02-03,50
2007-02-04,50
2007-02-05,51
2007-02-06,51
2007-02-07,51
2007-02-08,51
2007-02-09,52
2007-02-10,52
2007-02-11,52
2007-02-12,52
2007-02-13,53
2007-02-14,53
2007-02-15,53
2007-02-16,53
2007-02-17,54
2007-02-18,54
2007-02-19,54
2007-02-20,54
2007-02-21,55
2007-02-22,55
2007-02-23,55
2007-02-24,55
2007-02-25,56
2007-02-26,56
2007-02-27,56
2007-02-28,56
2007-03-01,57
2007-03-02,57
2007-03-03,57
2007-03-04,57
2007-03-05,57
2007-03-06,57
2007-03-07,58
2007-03-08,58
2007-03-09,58
2007-03-10,58
2007-03-11,58
2007-03-12,59
2007-03-13,59
2007-03-14,59
2007-03-15,59
2007-03-16,59
2007-03-17,60
2007-03-18,60
2007-03-19,60
2007-03-20,60
2007-03-21,60
2007-03-22,61
2007-03-23,61
2007-03-24,61
2007-03-25,61
2007-03-26,61
2007-03-27,62
2007-03-28,62
2007-03-29,62
2007-03-30,62
2007-03-31,62
2007-04-01,63
2007-04-02,62
2007-04-03,62
2007-04-04,61
2007-04-05,61
2007-04-06,61
2007-04-07,60
2007-04-08,60
2007-04-09,59
2007-04-10,59
2007-04-11,59
2007-04-12,58
2007-04-13,58
2007-04-14,57
2007-04-15,57
2007-04-16,57
2007-04-17,56
2007-04-18,56
2007-04-19,55
2007-04-20,55
2007-04-21,55
2007-04-22,54
2007-04-23,54
2007-04-24,53
2007-04-25,53
2007-04-26,53
2007-04-27,52
2007-04-28,52
2007-04-29,51
2007-04-30,51
2007-05-01,51
2007-05-02,50
2007-05-03,50
2007-05-04,50
2007-05-05,50
