Date,Toys R Us
2012-09-08,28
2012-09-09,29
2012-09-10,28
2012-09-11,28
2012-09-12,30
2012-09-13,28
2012-09-14,28
2012-09-15,30
2012-09-16,28
2012-09-17,28
2012-09-18,28
2012-09-19,29
2012-09-20,29
2012-09-21,29
2012-09-22,32
2012-09-23,31
2012-09-24,33
2012-09-25,33
2012-09-26,35
2012-09-27,36
2012-09-28,37
2012-09-29,39
2012-09-30,39
2012-10-01,38
2012-10-02,37
2012-10-03,38
2012-10-04,36
2012-10-05,35
2012-10-06,35
2012-10-07,36
2012-10-08,35
2012-10-09,36
2012-10-10,36
2012-10-11,39
2012-10-12,37
2012-10-13,38
2012-10-14,41
2012-10-15,38
2012-10-16,38
2012-10-17,38
2012-10-18,38
2012-10-19,39
2012-10-20,39
2012-10-21,41
2012-10-22,43
2012-10-23,43
2012-10-24,45
2012-10-25,46
2012-10-26,48
2012-10-27,50
2012-10-28,51
2012-10-29,51
2012-10-30,50
2012-10-31,52
2012-11-01,50
2012-11-02,50
2012-11-03,51
2012-11-04,52
2012-11-05,53
2012-11-06,54
2012-11-07,59
2012-11-08,56
2012-11-09,57
2012-11-10,59
2012-11-11,62
2012-11-12,62
2012-11-13,64
2012-11-14,67
2012-11-15,67
2012-11-16,70
2012-11-17,73
2012-11-18,71
2012-11-19,72
2012-11-20,72
2012-11-21,75
2012-11-22,79
2012-11-23,74
2012-11-24,75
2012-11-25,78
2012-11-26,81
2012-11-27,88
2012-11-28,88
2012-11-29,92
2012-11-30,94
2012-12-01,98
2012-12-02,102
2012-12-03,96
2012-12-04,98
2012-12-05,97
2012-12-06,94
2012-12-07,95
2012-12-08,93
2012-12-09,94
2012-12-10,91
2012-12-11,90
2012-12-12,90
2012-12-13,90
2012-12-14,87
2012-12-15,87
2012-12-16,89
2012-12-17,87
2012-12-18,87
2012-12-19,88
2012-12-20,87
2012-12-21,87
2012-12-22,88
2012-12-23,85
2012-12-24,79
2012-12-25,79
2012-12-26,65
2012-12-27,61
2012-12-28,56
2012-12-29,52
2012-12-30,51
2012-12-31,47
2013-01-01,47
2013-01-02,44
2013-01-03,43
2013-01-04,43
2013-01-05,42
2013-01-06,40
2013-01-07,39
2013-01-08,40
2013-01-09,38
2013-01-10,37
2013-01-11,36
2013-01-12,36
2013-01-13,38
2013-01-14,34
2013-01-15,33
2013-01-16,33
2013-01-17,31
2013-01-18,30
2013-01-19,30
2013-01-20,30
2013-01-21,30
2013-01-22,30
2013-01-23,30
2013-01-24,31
2013-01-25,30
2013-01-26,31
