Date,AutoTrader
2011-12-10,67
2011-12-11,65
2011-12-12,61
2011-12-13,64
2011-12-14,65
2011-12-15,65
2011-12-16,65
2011-12-17,63
2011-12-18,66
2011-12-19,63
2011-12-20,60
2011-12-21,59
2011-12-22,60
2011-12-23,56
2011-12-24,61
2011-12-25,61
2011-12-26,54
2011-12-27,61
2011-12-28,60
2011-12-29,60
2011-12-30,69
2011-12-31,71
2012-01-01,69
2012-01-02,66
2012-01-03,79
2012-01-04,75
2012-01-05,82
2012-01-06,85
2012-01-07,78
2012-01-08,91
2012-01-09,83
2012-01-10,88
2012-01-11,88
2012-01-12,90
2012-01-13,90
2012-01-14,87
2012-01-15,87
2012-01-16,94
2012-01-17,91
2012-01-18,89
2012-01-19,88
2012-01-20,93
2012-01-21,86
2012-01-22,91
2012-01-23,90
2012-01-24,91
2012-01-25,88
2012-01-26,88
2012-01-27,85
2012-01-28,85
2012-01-29,90
2012-01-30,84
2012-01-31,86
2012-02-01,83
2012-02-02,87
2012-02-03,87
2012-02-04,83
2012-02-05,84
2012-02-06,84
2012-02-07,85
2012-02-08,90
2012-02-09,87
2012-02-10,87
2012-02-11,87
2012-02-12,89
2012-02-13,84
2012-02-14,87
2012-02-15,86
2012-02-16,86
2012-02-17,84
2012-02-18,84
2012-02-19,86
2012-02-20,85
2012-02-21,86
2012-02-22,93
2012-02-23,89
2012-02-24,92
2012-02-25,98
2012-02-26,91
2012-02-27,95
2012-02-28,98
2012-02-29,95
2012-03-01,98
2012-03-02,96
2012-03-03,103
2012-03-04,95
2012-03-05,102
2012-03-06,100
2012-03-07,95
2012-03-08,98
2012-03-09,95
2012-03-10,93
2012-03-11,98
2012-03-12,88
2012-03-13,92
2012-03-14,88
2012-03-15,83
2012-03-16,87
2012-03-17,76
2012-03-18,83
2012-03-19,84
2012-03-20,79
2012-03-21,84
2012-03-22,80
2012-03-23,88
2012-03-24,81
2012-03-25,80
2012-03-26,80
2012-03-27,84
2012-03-28,81
2012-03-29,80
2012-03-30,82
2012-03-31,76
2012-04-01,81
2012-04-02,82
2012-04-03,79
2012-04-04,80
2012-04-05,74
2012-04-06,81
2012-04-07,78
2012-04-08,79
2012-04-09,72
2012-04-10,76
2012-04-11,81
2012-04-12,74
2012-04-13,76
2012-04-14,79
2012-04-15,75
2012-04-16,78
2012-04-17,81
2012-04-18,77
2012-04-19,80
2012-04-20,84
2012-04-21,80
2012-04-22,84
2012-04-23,83
2012-04-24,85
2012-04-25,80
2012-04-26,83
2012-04-27,86
2012-04-28,81
2012-04-29,84
2012-04-30,80
2012-05-01,82
2012-05-02,83
2012-05-03,78
2012-05-04,82
2012-05-05,79
2012-05-06,80
2012-05-07,75
2012-05-08,77
2012-05-09,81
2012-05-10,76
2012-05-11,82
2012-05-12,83
2012-05-13,77
2012-05-14,76
2012-05-15,79
2012-05-16,78
2012-05-17,73
2012-05-18,78
2012-05-19,73
2012-05-20,77
2012-05-21,74
2012-05-22,74
2012-05-23,71
2012-05-24,71
2012-05-25,70
2012-05-26,71
2012-05-27,64
2012-05-28,69
2012-05-29,72
2012-05-30,73
2012-05-31,72
2012-06-01,74
2012-06-02,73
2012-06-03,73
2012-06-04,78
2012-06-05,71
2012-06-06,73
2012-06-07,73
2012-06-08,73
2012-06-09,75
2012-06-10,73
2012-06-11,78
2012-06-12,76
2012-06-13,75
2012-06-14,77
2012-06-15,80
2012-06-16,78
2012-06-17,80
2012-06-18,78
2012-06-19,80
2012-06-20,81
2012-06-21,77
2012-06-22,81
2012-06-23,80
2012-06-24,77
2012-06-25,82
2012-06-26,77
2012-06-27,79
2012-06-28,78
2012-06-29,76
2012-06-30,75
2012-07-01,79
2012-07-02,75
2012-07-03,77
2012-07-04,74
2012-07-05,72
2012-07-06,71
2012-07-07,75
2012-07-08,74
2012-07-09,73
2012-07-10,75
2012-07-11,78
2012-07-12,77
2012-07-13,83
2012-07-14,79
2012-07-15,80
2012-07-16,79
2012-07-17,80
2012-07-18,76
2012-07-19,74
2012-07-20,77
2012-07-21,70
2012-07-22,74
2012-07-23,72
2012-07-24,73
2012-07-25,67
2012-07-26,71
2012-07-27,66
2012-07-28,65
2012-07-29,67
2012-07-30,68
2012-07-31,69
2012-08-01,71
2012-08-02,69
2012-08-03,64
2012-08-04,76
2012-08-05,65
2012-08-06,70
2012-08-07,70
2012-08-08,66
2012-08-09,68
2012-08-10,68
2012-08-11,63
2012-08-12,69
2012-08-13,68
2012-08-14,65
2012-08-15,71
2012-08-16,76
2012-08-17,74
2012-08-18,77
2012-08-19,76
2012-08-20,75
2012-08-21,78
2012-08-22,77
2012-08-23,73
2012-08-24,79
2012-08-25,76
2012-08-26,78
2012-08-27,74
2012-08-28,76
2012-08-29,71
2012-08-30,77
2012-08-31,73
2012-09-01,73
2012-09-02,70
2012-09-03,73
2012-09-04,74
2012-09-05,70
2012-09-06,73
2012-09-07,70
2012-09-08,74
2012-09-09,69
2012-09-10,71
2012-09-11,75
2012-09-12,76
2012-09-13,74
2012-09-14,76
2012-09-15,72
2012-09-16,78
2012-09-17,69
2012-09-18,73
2012-09-19,71
2012-09-20,71
2012-09-21,68
2012-09-22,64
2012-09-23,66
2012-09-24,72
2012-09-25,68
2012-09-26,70
2012-09-27,71
2012-09-28,76
2012-09-29,66
2012-09-30,78
2012-10-01,69
2012-10-02,77
2012-10-03,72
2012-10-04,72
2012-10-05,72
2012-10-06,75
2012-10-07,70
2012-10-08,74
2012-10-09,75
2012-10-10,74
2012-10-11,77
