Date,Emdeon
2008-03-01,0
2008-03-02,1
2008-03-03,3
2008-03-04,5
2008-03-05,6
2008-03-06,8
2008-03-07,10
2008-03-08,11
2008-03-09,13
2008-03-10,15
2008-03-11,16
2008-03-12,18
2008-03-13,20
2008-03-14,21
2008-03-15,23
2008-03-16,25
2008-03-17,26
2008-03-18,28
2008-03-19,30
2008-03-20,31
2008-03-21,33
2008-03-22,35
2008-03-23,36
2008-03-24,38
2008-03-25,40
2008-03-26,41
2008-03-27,43
2008-03-28,45
2008-03-29,46
2008-03-30,48
2008-03-31,50
2008-04-01,52
2008-04-02,51
2008-04-03,51
2008-04-04,51
2008-04-05,51
2008-04-06,51
2008-04-07,51
2008-04-08,51
2008-04-09,50
2008-04-10,50
2008-04-11,50
2008-04-12,50
2008-04-13,50
2008-04-14,50
2008-04-15,50
2008-04-16,50
2008-04-17,49
2008-04-18,49
2008-04-19,49
2008-04-20,49
2008-04-21,49
2008-04-22,49
2008-04-23,49
2008-04-24,48
2008-04-25,48
2008-04-26,48
2008-04-27,48
2008-04-28,48
2008-04-29,48
2008-04-30,48
2008-05-01,48
2008-05-02,48
2008-05-03,48
2008-05-04,49
2008-05-05,49
2008-05-06,50
2008-05-07,50
2008-05-08,51
2008-05-09,51
2008-05-10,52
2008-05-11,52
2008-05-12,52
2008-05-13,53
2008-05-14,53
2008-05-15,54
2008-05-16,54
2008-05-17,55
2008-05-18,55
2008-05-19,56
2008-05-20,56
2008-05-21,57
2008-05-22,57
2008-05-23,57
2008-05-24,58
2008-05-25,58
2008-05-26,59
2008-05-27,59
2008-05-28,60
2008-05-29,60
2008-05-30,61
2008-05-31,61
2008-06-01,62
2008-06-02,61
2008-06-03,61
2008-06-04,60
2008-06-05,60
2008-06-06,59
2008-06-07,59
2008-06-08,58
2008-06-09,58
2008-06-10,57
2008-06-11,57
2008-06-12,56
2008-06-13,56
2008-06-14,55
2008-06-15,55
2008-06-16,54
2008-06-17,54
2008-06-18,53
2008-06-19,53
2008-06-20,52
2008-06-21,52
2008-06-22,51
2008-06-23,51
2008-06-24,50
2008-06-25,50
2008-06-26,49
2008-06-27,49
2008-06-28,48
2008-06-29,48
2008-06-30,47
2008-07-01,47
2008-07-02,46
2008-07-03,46
2008-07-04,46
2008-07-05,46
2008-07-06,46
2008-07-07,46
2008-07-08,46
2008-07-09,46
2008-07-10,46
2008-07-11,46
2008-07-12,46
2008-07-13,46
2008-07-14,46
2008-07-15,46
2008-07-16,46
2008-07-17,45
2008-07-18,45
2008-07-19,45
2008-07-20,45
2008-07-21,45
2008-07-22,45
2008-07-23,45
2008-07-24,45
2008-07-25,45
2008-07-26,45
2008-07-27,45
2008-07-28,45
2008-07-29,45
2008-07-30,45
2008-07-31,45
2008-08-01,45
2008-08-02,45
2008-08-03,46
2008-08-04,46
2008-08-05,47
2008-08-06,48
2008-08-07,48
2008-08-08,49
2008-08-09,49
2008-08-10,50
