Date,Higher One
2009-09-12,47
2009-09-13,50
2009-09-14,53
2009-09-15,56
2009-09-16,59
2009-09-17,62
2009-09-18,64
2009-09-19,67
2009-09-20,66
2009-09-21,64
2009-09-22,62
2009-09-23,61
2009-09-24,60
2009-09-25,59
2009-09-26,57
2009-09-27,57
2009-09-28,57
2009-09-29,56
2009-09-30,55
2009-10-01,55
2009-10-02,54
2009-10-03,53
2009-10-04,52
2009-10-05,50
2009-10-06,49
2009-10-07,48
2009-10-08,47
2009-10-09,46
2009-10-10,44
2009-10-11,42
2009-10-12,39
2009-10-13,36
2009-10-14,33
2009-10-15,30
2009-10-16,27
2009-10-17,24
2009-10-18,26
2009-10-19,28
2009-10-20,29
2009-10-21,31
2009-10-22,33
2009-10-23,35
2009-10-24,36
2009-10-25,37
2009-10-26,39
2009-10-27,40
2009-10-28,41
2009-10-29,43
2009-10-30,44
2009-10-31,45
2009-11-01,42
2009-11-02,40
2009-11-03,38
2009-11-04,35
2009-11-05,33
2009-11-06,30
2009-11-07,28
2009-11-08,27
2009-11-09,26
2009-11-10,25
2009-11-11,24
2009-11-12,24
2009-11-13,23
2009-11-14,22
2009-11-15,23
2009-11-16,25
2009-11-17,26
2009-11-18,27
2009-11-19,28
2009-11-20,30
2009-11-21,31
2009-11-22,29
2009-11-23,27
2009-11-24,25
2009-11-25,23
2009-11-26,21
2009-11-27,19
2009-11-28,17
2009-11-29,17
2009-12-01,18
2009-12-02,19
2009-12-03,19
2009-12-04,20
2009-12-05,21
2009-12-06,21
2009-12-07,22
2009-12-08,23
2009-12-09,24
2009-12-10,25
2009-12-11,26
2009-12-12,27
2009-12-13,26
2009-12-14,25
2009-12-15,24
2009-12-16,24
2009-12-17,23
2009-12-18,22
2009-12-19,22
2009-12-20,21
2009-12-21,20
2009-12-22,19
2009-12-23,18
2009-12-24,17
2009-12-25,16
2009-12-26,15
2009-12-27,16
2009-12-28,17
2009-12-29,18
2009-12-30,20
2009-12-31,21
2010-01-01,22
2010-01-02,24
2010-01-03,27
2010-01-04,26
2010-01-05,33
2010-01-06,38
2010-01-07,40
2010-01-08,43
2010-01-09,47
2010-01-10,46
2010-01-11,46
2010-01-12,46
2010-01-13,45
2010-01-14,45
2010-01-15,45
2010-01-16,44
2010-01-17,46
2010-01-18,49
2010-01-19,51
2010-01-20,53
2010-01-21,55
2010-01-22,58
2010-01-23,61
2010-01-24,60
2010-01-25,61
2010-01-26,54
2010-01-27,67
2010-01-28,59
2010-01-29,65
2010-01-30,65
2010-01-31,67
2010-02-01,70
2010-02-02,74
2010-02-03,74
2010-02-04,76
2010-02-05,79
2010-02-06,84
2010-02-07,78
2010-02-08,73
2010-02-09,68
2010-02-10,62
2010-02-11,62
2010-02-12,51
2010-02-13,48
2010-02-14,47
2010-02-15,47
2010-02-16,48
2010-02-17,48
2010-02-18,48
2010-02-19,48
2010-02-20,51
2010-02-21,48
2010-02-22,46
2010-02-23,44
2010-02-24,43
2010-02-25,41
2010-02-26,39
2010-02-27,38
2010-02-28,39
2010-03-07,45
2010-03-08,44
2010-03-09,42
2010-03-10,41
2010-03-11,39
2010-03-12,37
2010-03-13,36
2010-03-14,35
2010-03-15,33
2010-03-16,31
2010-03-17,30
2010-03-18,29
2010-03-19,28
2010-03-20,26
2010-03-21,27
2010-03-22,29
2010-03-23,30
2010-03-24,31
2010-03-25,32
2010-03-26,33
2010-03-27,34
2010-03-28,34
2010-03-29,33
2010-03-30,33
2010-03-31,33
2010-04-01,33
2010-04-02,33
2010-04-03,33
2010-04-04,33
2010-04-05,33
2010-04-06,32
2010-04-07,31
2010-04-08,31
2010-04-09,30
2010-04-10,30
2010-04-11,30
2010-04-12,29
2010-04-13,29
2010-04-14,29
2010-04-15,29
2010-04-16,29
2010-04-17,29
2010-04-18,27
2010-04-19,25
2010-04-20,24
2010-04-21,23
2010-04-22,21
2010-04-23,20
2010-04-24,18
2010-04-25,20
2010-04-26,22
2010-04-27,23
2010-04-28,24
2010-04-29,26
2010-04-30,27
2010-05-01,29
2010-05-02,28
2010-05-03,27
2010-05-04,26
2010-05-05,25
2010-05-06,24
2010-05-07,24
2010-05-08,23
2010-05-09,23
2010-05-10,22
2010-05-11,22
2010-05-12,22
2010-05-13,22
2010-05-14,22
2010-05-15,22
2010-05-16,21
2010-05-17,20
2010-05-18,19
2010-05-19,19
2010-05-20,18
2010-05-21,18
2010-05-22,17
2010-05-23,17
2010-05-24,17
2010-05-25,17
2010-05-26,17
2010-05-27,17
2010-05-28,17
2010-05-29,17
2010-05-30,19
2010-06-06,25
2010-06-07,25
2010-06-08,25
2010-06-09,25
2010-06-10,25
2010-06-11,24
2010-06-12,24
2010-06-13,27
2010-06-14,30
2010-06-15,33
2010-06-16,36
2010-06-17,39
2010-06-18,42
2010-06-19,45
2010-06-20,44
2010-06-21,43
2010-06-22,42
2010-06-23,41
2010-06-24,40
2010-06-25,39
2010-06-26,38
2010-06-27,38
2010-06-28,39
2010-06-29,39
2010-06-30,40
2010-07-01,41
2010-07-02,41
2010-07-03,42
2010-07-04,40
2010-07-05,37
2010-07-06,35
2010-07-07,33
2010-07-08,31
2010-07-09,28
2010-07-10,26
2010-07-11,28
2010-07-12,30
2010-07-13,31
2010-07-14,33
2010-07-15,35
2010-07-16,36
2010-07-17,38
2010-07-18,37
2010-07-19,36
2010-07-20,35
2010-07-21,34
2010-07-22,33
2010-07-23,33
2010-07-24,32
2010-07-25,31
2010-07-26,30
2010-07-27,29
2010-07-28,28
2010-07-29,28
2010-07-30,27
2010-07-31,26
2010-08-01,27
2010-08-02,28
2010-08-03,29
2010-08-04,29
2010-08-05,30
2010-08-06,31
2010-08-07,31
2010-08-08,32
2010-08-09,31
2010-08-10,32
2010-08-11,32
2010-08-12,32
2010-08-13,33
2010-08-14,33
2010-08-15,36
2010-08-16,39
2010-08-17,42
2010-08-18,45
2010-08-19,48
2010-08-20,51
2010-08-21,54
2010-08-22,56
2010-08-23,58
2010-08-24,61
2010-08-25,63
2010-08-26,66
2010-08-27,68
2010-08-28,70
2010-08-29,68
2010-09-01,63
2010-09-02,59
2010-09-03,59
2010-09-04,59
2010-09-05,57
2010-09-06,57
2010-09-07,57
2010-09-08,54
2010-09-09,59
2010-09-10,56
2010-09-11,60
2010-09-12,61
2010-09-13,63
2010-09-14,70
2010-09-15,66
2010-09-16,59
2010-09-17,76
2010-09-18,77
2010-09-19,74
2010-09-20,74
2010-09-21,74
2010-09-22,67
2010-09-23,79
2010-09-24,74
2010-09-25,71
2010-09-26,72
2010-09-27,74
2010-09-28,77
2010-09-29,73
2010-09-30,78
2010-10-01,80
2010-10-02,89
2010-10-03,80
2010-10-04,66
2010-10-05,86
2010-10-06,66
2010-10-07,80
2010-10-08,71
2010-10-09,69
2010-10-10,67
2010-10-11,66
2010-10-12,67
2010-10-13,62
2010-10-14,62
2010-10-15,59
2010-10-16,62
2010-10-17,56
2010-10-18,54
2010-10-19,52
2010-10-20,50
2010-10-21,48
2010-10-22,45
2010-10-23,43
2010-10-24,45
2010-10-25,46
2010-10-26,50
2010-10-27,51
2010-10-28,49
2010-10-29,56
2010-10-30,56
2010-10-31,56
2010-11-01,56
2010-11-02,54
2010-11-03,55
2010-11-04,58
2010-11-05,56
2010-11-06,56
2010-11-07,58
2010-11-08,55
2010-11-09,54
2010-11-10,53
2010-11-11,52
2010-11-12,50
2010-11-13,52
2010-11-14,50
2010-11-15,50
2010-11-16,50
2010-11-17,50
2010-11-18,49
2010-11-19,49
2010-11-20,49
2010-11-21,46
2010-11-22,43
2010-11-23,41
2010-11-24,38
2010-11-25,35
2010-11-26,32
2010-11-27,30
2010-11-28,32
2010-11-29,35
2010-11-30,36
2010-12-01,39
2010-12-02,41
2010-12-03,41
2010-12-04,49
2010-12-05,47
2010-12-06,48
2010-12-07,49
2010-12-08,50
2010-12-09,50
2010-12-10,51
2010-12-11,52
2010-12-12,52
2010-12-13,51
2010-12-14,50
2010-12-15,49
2010-12-16,48
2010-12-17,47
2010-12-18,47
2010-12-19,45
2010-12-20,43
2010-12-21,42
2010-12-22,40
2010-12-23,39
2010-12-24,37
2010-12-25,36
2010-12-26,35
2010-12-27,34
2010-12-28,34
2010-12-29,33
2010-12-30,33
2010-12-31,30
2011-01-01,32
2011-01-02,34
2011-01-03,37
2011-01-04,40
2011-01-05,42
2011-01-06,43
2011-01-07,50
2011-01-08,50
2011-01-09,54
2011-01-10,58
2011-01-11,53
2011-01-12,68
2011-01-13,68
2011-01-14,72
2011-01-15,81
2011-01-16,82
2011-01-17,79
2011-01-18,76
2011-01-19,76
2011-01-20,84
2011-01-21,75
2011-01-22,91
2011-01-23,88
2011-01-24,80
2011-01-25,84
2011-01-26,93
2011-01-27,98
2011-01-28,86
2011-01-29,97
2011-01-30,98
2011-01-31,93
2011-02-01,91
2011-02-02,91
2011-02-03,80
2011-02-04,90
2011-02-05,91
2011-02-06,92
2011-02-07,81
2011-02-08,88
2011-02-09,81
2011-02-10,87
2011-02-11,76
2011-02-12,92
2011-02-13,82
2011-02-14,77
2011-02-15,75
2011-02-16,65
2011-02-17,69
2011-02-18,60
2011-02-19,63
2011-02-20,59
2011-02-21,60
2011-02-22,60
2011-02-23,55
2011-02-24,61
2011-02-25,55
2011-02-26,55
2011-02-27,56
2011-02-28,57
2011-03-01,58
2011-03-02,55
2011-03-03,63
2011-03-04,59
2011-03-05,59
2011-03-06,59
2011-03-07,58
2011-03-08,60
2011-03-09,58
2011-03-10,56
2011-03-11,55
2011-03-12,55
2011-03-13,52
2011-03-14,50
2011-03-15,48
2011-03-16,46
2011-03-17,42
2011-03-18,40
2011-03-19,39
2011-03-20,41
2011-03-21,39
2011-03-22,39
2011-03-23,38
2011-03-24,38
2011-03-25,38
2011-03-26,37
2011-03-27,37
2011-03-28,38
2011-03-29,39
2011-03-30,39
2011-03-31,38
2011-04-01,37
2011-04-02,39
2011-04-03,39
2011-04-04,39
2011-04-05,38
2011-04-06,38
2011-04-07,38
2011-04-08,38
2011-04-09,38
2011-04-10,38
2011-04-11,38
2011-04-12,38
2011-04-13,37
2011-04-14,37
2011-04-15,39
2011-04-16,37
2011-04-17,36
2011-04-18,36
2011-04-19,35
2011-04-20,35
2011-04-21,34
2011-04-22,34
2011-04-23,34
