Date,Saving Energy Solar
2011-04-01,0
2011-04-02,3
2011-04-03,6
2011-04-04,10
2011-04-05,13
2011-04-06,16
2011-04-07,20
2011-04-08,23
2011-04-09,26
2011-04-10,30
2011-04-11,33
2011-04-12,36
2011-04-13,40
2011-04-14,43
2011-04-15,46
2011-04-16,50
2011-04-17,53
2011-04-18,56
2011-04-19,60
2011-04-20,63
2011-04-21,66
2011-04-22,70
2011-04-23,73
2011-04-24,76
2011-04-25,80
2011-04-26,83
2011-04-27,86
2011-04-28,90
2011-04-29,93
2011-04-30,96
2011-05-01,100
2011-05-02,99
2011-05-03,99
2011-05-04,99
2011-05-05,99
2011-05-06,99
2011-05-07,99
2011-05-08,99
2011-05-09,98
2011-05-10,98
2011-05-11,98
2011-05-12,98
2011-05-13,98
2011-05-14,98
2011-05-15,98
2011-05-16,98
2011-05-17,97
2011-05-18,97
2011-05-19,97
2011-05-20,97
2011-05-21,97
2011-05-22,97
2011-05-23,97
2011-05-24,97
2011-05-25,96
2011-05-26,96
2011-05-27,96
2011-05-28,96
2011-05-29,96
2011-05-30,96
2011-05-31,96
2011-06-01,96
2011-06-02,95
2011-06-03,95
2011-06-04,94
2011-06-05,94
2011-06-06,94
2011-06-07,93
2011-06-08,93
2011-06-09,92
2011-06-10,92
2011-06-11,92
2011-06-12,91
2011-06-13,91
2011-06-14,90
2011-06-15,90
2011-06-16,90
2011-06-17,89
2011-06-18,89
2011-06-19,88
2011-06-20,88
2011-06-21,88
2011-06-22,87
2011-06-23,87
2011-06-24,86
2011-06-25,86
2011-06-26,86
2011-06-27,85
2011-06-28,85
2011-06-29,84
2011-06-30,84
2011-07-01,84
2011-07-02,83
2011-07-03,83
2011-07-04,82
2011-07-05,82
2011-07-06,82
2011-07-07,81
2011-07-08,81
2011-07-09,81
2011-07-10,80
2011-07-11,80
2011-07-12,80
2011-07-13,79
2011-07-14,79
2011-07-15,79
2011-07-16,78
2011-07-17,78
2011-07-18,77
2011-07-19,77
2011-07-20,77
2011-07-21,76
2011-07-22,76
2011-07-23,76
2011-07-24,75
2011-07-25,75
2011-07-26,75
2011-07-27,74
2011-07-28,74
2011-07-29,74
2011-07-30,73
2011-07-31,73
2011-08-01,73
2011-08-02,73
2011-08-03,73
2011-08-04,74
2011-08-05,74
2011-08-06,75
2011-08-07,75
2011-08-08,76
2011-08-09,76
2011-08-10,77
2011-08-11,77
2011-08-12,78
2011-08-13,78
2011-08-14,79
2011-08-15,79
2011-08-16,80
2011-08-17,80
2011-08-18,81
2011-08-19,81
2011-08-20,82
2011-08-21,82
2011-08-22,83
2011-08-23,83
2011-08-24,84
2011-08-25,84
2011-08-26,85
2011-08-27,85
2011-08-28,86
2011-08-29,86
2011-08-30,87
2011-08-31,87
2011-09-01,88
2011-09-02,87
2011-09-03,86
2011-09-04,85
2011-09-05,84
2011-09-06,83
2011-09-07,83
2011-09-08,82
2011-09-09,81
2011-09-10,80
2011-09-11,79
2011-09-12,78
2011-09-13,78
2011-09-14,77
2011-09-15,76
2011-09-16,75
2011-09-17,74
2011-09-18,73
2011-09-19,73
2011-09-20,72
2011-09-21,71
2011-09-22,70
2011-09-23,69
2011-09-24,68
2011-09-25,68
2011-09-26,67
2011-09-27,66
2011-09-28,65
2011-09-29,64
2011-09-30,63
2011-10-01,63
2011-10-02,63
2011-10-03,63
2011-10-04,63
2011-10-05,63
2011-10-06,63
2011-10-07,63
2011-10-08,64
2011-10-09,64
2011-10-10,64
2011-10-11,64
2011-10-12,64
2011-10-13,64
2011-10-14,65
2011-10-15,65
2011-10-16,65
2011-10-17,65
2011-10-18,65
2011-10-19,65
2011-10-20,66
2011-10-21,66
2011-10-22,66
2011-10-23,66
2011-10-24,66
2011-10-25,66
2011-10-26,67
2011-10-27,67
2011-10-28,67
2011-10-29,67
2011-10-30,67
2011-10-31,67
2011-11-01,68
2011-11-02,67
2011-11-03,67
2011-11-04,66
2011-11-05,66
2011-11-06,65
2011-11-07,65
2011-11-08,64
2011-11-09,64
2011-11-10,63
2011-11-11,63
2011-11-12,62
2011-11-13,62
2011-11-14,61
2011-11-15,61
2011-11-16,61
2011-11-17,60
2011-11-18,60
2011-11-19,59
2011-11-20,59
2011-11-21,58
2011-11-22,58
2011-11-23,57
2011-11-24,57
2011-11-25,56
2011-11-26,56
2011-11-27,55
2011-11-28,55
2011-11-29,54
2011-11-30,54
2011-12-01,54
2011-12-02,54
2011-12-03,54
2011-12-04,54
2011-12-05,54
2011-12-06,54
2011-12-07,54
2011-12-08,54
2011-12-09,54
2011-12-10,54
2011-12-11,54
