Date,MSCI Inc
2007-01-13,67
2007-01-14,71
2007-01-15,77
2007-01-16,81
2007-01-17,86
2007-01-18,90
2007-01-19,95
2007-01-20,100
2007-01-21,96
2007-01-22,93
2007-01-23,89
2007-01-24,86
2007-01-25,82
2007-01-26,79
2007-01-27,75
2007-01-28,75
2007-01-29,74
2007-01-30,74
2007-01-31,74
2007-02-01,74
2007-02-02,74
2007-02-03,74
2007-02-04,74
2007-02-05,74
2007-02-06,75
2007-02-07,75
2007-02-08,76
2007-02-09,76
2007-02-10,77
2007-02-11,78
2007-02-12,80
2007-02-13,81
2007-02-14,82
2007-02-15,83
2007-02-16,84
2007-02-17,85
2007-02-18,82
2007-02-19,80
2007-02-20,77
2007-02-21,75
2007-02-22,72
2007-02-23,69
2007-02-24,67
2007-02-25,68
2007-02-26,69
2007-02-27,70
2007-02-28,72
2007-03-01,73
2007-03-02,75
2007-03-03,76
2007-03-04,76
2007-03-05,78
2007-03-06,78
2007-03-07,79
2007-03-08,79
2007-03-09,80
2007-03-10,80
2007-03-11,79
2007-03-12,78
2007-03-13,77
2007-03-14,76
2007-03-15,75
2007-03-16,74
2007-03-17,73
2007-03-18,70
2007-03-19,66
2007-03-20,63
2007-03-21,60
2007-03-22,57
2007-03-23,54
2007-03-24,51
2007-03-25,52
2007-04-01,57
2007-04-02,61
2007-04-03,64
2007-04-04,68
2007-04-05,71
2007-04-06,75
2007-04-07,78
2007-04-08,76
2007-04-09,72
2007-04-10,71
2007-04-11,69
2007-04-12,67
2007-04-13,65
2007-04-14,63
2007-04-15,65
2007-04-16,68
2007-04-17,70
2007-04-18,72
2007-04-19,74
2007-04-20,76
2007-04-21,78
2007-04-22,75
2007-04-23,73
2007-04-24,71
2007-04-25,68
2007-04-26,66
2007-04-27,64
2007-04-28,62
2007-04-29,65
2007-04-30,69
2007-05-01,72
2007-05-02,76
2007-05-03,80
2007-05-04,83
2007-05-05,87
2007-05-06,86
2007-05-07,87
2007-05-08,86
2007-05-09,85
2007-05-10,84
2007-05-11,84
2007-05-12,83
2007-05-13,81
2007-05-14,79
2007-05-15,78
2007-05-16,76
2007-05-17,74
2007-05-18,73
2007-05-19,71
2007-05-20,71
2007-05-21,71
2007-05-22,71
2007-05-23,71
2007-05-24,70
2007-05-25,70
2007-05-26,70
2007-05-27,73
2007-05-28,75
2007-05-29,77
2007-05-30,80
2007-05-31,83
2007-06-01,86
2007-06-02,89
2007-06-03,88
2007-06-04,89
2007-06-05,88
2007-06-06,88
2007-06-07,87
2007-06-08,87
2007-06-09,86
2007-06-10,83
2007-06-11,78
2007-06-12,75
2007-06-13,71
2007-06-14,68
2007-06-15,64
2007-06-16,61
2007-06-17,61
2007-06-18,62
2007-06-19,62
2007-06-20,63
2007-06-21,64
2007-06-22,65
2007-06-23,65
2007-06-24,66
2007-07-01,73
2007-07-02,71
2007-07-03,70
2007-07-04,69
2007-07-05,68
2007-07-06,67
2007-07-07,66
2007-07-08,69
2007-07-09,71
2007-07-10,73
2007-07-11,76
