Date,Spirit Airlines
2010-03-13,38
2010-03-14,40
2010-03-15,43
2010-03-16,44
2010-03-17,46
2010-03-18,47
2010-03-19,49
2010-03-20,51
2010-03-21,50
2010-03-22,49
2010-03-23,49
2010-03-24,48
2010-03-25,48
2010-03-26,47
2010-03-27,47
2010-03-28,45
2010-03-29,44
2010-03-30,42
2010-03-31,41
2010-04-01,40
2010-04-02,39
2010-04-03,38
2010-04-04,43
2010-04-05,49
2010-04-06,55
2010-04-07,60
2010-04-08,65
2010-04-09,71
2010-04-10,76
2010-04-11,73
2010-04-12,69
2010-04-13,65
2010-04-14,61
2010-04-15,58
2010-04-16,54
2010-04-17,51
2010-04-18,51
2010-04-19,51
2010-04-20,51
2010-04-21,51
2010-04-22,51
2010-04-23,51
2010-04-24,51
2010-04-25,49
2010-04-26,47
2010-04-27,45
2010-04-28,43
2010-04-29,41
2010-04-30,39
2010-05-01,37
2010-05-02,40
2010-05-03,43
2010-05-04,46
2010-05-05,50
2010-05-06,53
2010-05-07,56
2010-05-08,60
2010-05-09,57
2010-05-10,54
2010-05-11,51
2010-05-12,49
2010-05-13,46
2010-05-14,43
2010-05-15,41
2010-05-16,43
2010-05-17,46
2010-05-18,49
2010-05-19,51
2010-05-20,54
2010-05-21,57
2010-05-22,60
2010-05-23,56
2010-05-24,53
2010-05-25,50
2010-05-26,47
2010-05-27,43
2010-05-28,40
2010-05-29,37
2010-05-30,37
2010-06-06,40
2010-06-07,42
2010-06-08,44
2010-06-09,46
2010-06-10,48
2010-06-11,50
2010-06-12,52
2010-06-13,56
2010-06-14,59
2010-06-15,63
2010-06-16,66
2010-06-17,69
2010-06-18,72
2010-06-19,76
2010-06-20,72
2010-06-21,68
2010-06-22,64
2010-06-23,61
2010-06-24,57
2010-06-25,53
2010-06-26,49
2010-06-27,48
2010-06-28,46
2010-06-29,45
2010-06-30,44
2010-07-01,43
2010-07-02,42
2010-07-03,41
2010-07-04,41
2010-07-05,41
2010-07-06,42
2010-07-07,43
2010-07-08,44
2010-07-09,44
2010-07-10,45
2010-07-11,46
2010-07-12,47
2010-07-13,47
2010-07-14,48
2010-07-15,48
2010-07-16,49
2010-07-17,50
2010-07-18,51
2010-07-19,52
2010-07-20,54
2010-07-21,55
2010-07-22,57
2010-07-23,58
2010-07-24,59
2010-07-25,59
2010-07-26,59
2010-07-27,59
2010-07-28,59
2010-07-29,59
2010-07-30,59
2010-07-31,59
2010-08-01,60
2010-08-02,60
2010-08-03,61
