Date,Tillys
2011-01-01,53
2011-01-02,53
2011-01-03,53
2011-01-04,53
2011-01-05,54
2011-01-06,54
2011-01-07,54
2011-01-08,55
2011-01-09,55
2011-01-10,55
2011-01-11,56
2011-01-12,56
2011-01-13,56
2011-01-14,57
2011-01-15,57
2011-01-16,57
2011-01-17,58
2011-01-18,58
2011-01-19,58
2011-01-20,59
2011-01-21,59
2011-01-22,59
2011-01-23,60
2011-01-24,60
2011-01-25,60
2011-01-26,61
2011-01-27,61
2011-01-28,61
2011-01-29,62
2011-01-30,62
2011-01-31,62
2011-02-01,63
2011-02-02,63
2011-02-03,63
2011-02-04,64
2011-02-05,64
2011-02-06,64
2011-02-07,65
2011-02-08,65
2011-02-09,65
2011-02-10,66
2011-02-11,66
2011-02-12,66
2011-02-13,67
2011-02-14,67
2011-02-15,68
2011-02-16,68
2011-02-17,68
2011-02-18,69
2011-02-19,69
2011-02-20,69
2011-02-21,70
2011-02-22,70
2011-02-23,70
2011-02-24,71
2011-02-25,71
2011-02-26,71
2011-02-27,72
2011-02-28,72
2011-03-01,73
2011-03-02,72
2011-03-03,71
2011-03-04,70
2011-03-05,69
2011-03-06,68
2011-03-07,67
2011-03-08,66
2011-03-09,65
2011-03-10,64
2011-03-11,63
2011-03-12,62
2011-03-13,61
2011-03-14,60
2011-03-15,59
2011-03-16,58
2011-03-17,57
2011-03-18,56
2011-03-19,55
2011-03-20,54
2011-03-21,53
2011-03-22,52
2011-03-23,51
2011-03-24,50
2011-03-25,49
2011-03-26,48
2011-03-27,47
2011-03-28,46
2011-03-29,45
2011-03-30,44
2011-03-31,43
2011-04-01,43
2011-04-02,43
2011-04-03,43
2011-04-04,43
2011-04-05,43
2011-04-06,44
2011-04-07,44
2011-04-08,44
2011-04-09,44
2011-04-10,45
2011-04-11,45
2011-04-12,45
2011-04-13,45
2011-04-14,46
2011-04-15,46
2011-04-16,46
2011-04-17,46
2011-04-18,46
2011-04-19,47
2011-04-20,47
2011-04-21,47
2011-04-22,47
2011-04-23,48
2011-04-24,48
2011-04-25,48
2011-04-26,48
2011-04-27,49
2011-04-28,49
2011-04-29,49
2011-04-30,49
2011-05-01,50
2011-05-02,49
2011-05-03,49
2011-05-04,49
2011-05-05,49
2011-05-06,49
2011-05-07,49
2011-05-08,49
2011-05-09,49
2011-05-10,49
2011-05-11,49
2011-05-12,49
2011-05-13,49
2011-05-14,49
2011-05-15,49
2011-05-16,49
2011-05-17,48
2011-05-18,48
2011-05-19,48
2011-05-20,48
2011-05-21,48
2011-05-22,48
2011-05-23,48
2011-05-24,48
2011-05-25,48
2011-05-26,48
2011-05-27,48
2011-05-28,48
2011-05-29,48
2011-05-30,48
2011-05-31,48
2011-06-01,48
2011-06-02,48
2011-06-03,49
2011-06-04,50
2011-06-05,51
2011-06-06,52
2011-06-07,53
2011-06-08,54
2011-06-09,55
2011-06-10,56
2011-06-11,57
2011-06-12,58
2011-06-13,59
2011-06-14,60
2011-06-15,61
2011-06-16,62
2011-06-17,63
2011-06-18,64
2011-06-19,65
2011-06-20,66
2011-06-21,67
