Date,Gulfstream
2007-01-01,74
2007-01-02,73
2007-01-03,73
2007-01-04,73
2007-01-05,73
2007-01-06,73
2007-01-07,73
2007-01-08,73
2007-01-09,73
2007-01-10,73
2007-01-11,73
2007-01-12,73
2007-01-13,73
2007-01-14,73
2007-01-15,73
2007-01-16,73
2007-01-17,72
2007-01-18,72
2007-01-19,72
2007-01-20,72
2007-01-21,72
2007-01-22,72
2007-01-23,72
2007-01-24,72
2007-01-25,72
2007-01-26,72
2007-01-27,72
2007-01-28,72
2007-01-29,72
2007-01-30,72
2007-01-31,72
2007-02-01,72
2007-02-02,71
2007-02-03,71
2007-02-04,70
2007-02-05,70
2007-02-06,69
2007-02-07,69
2007-02-08,68
2007-02-09,68
2007-02-10,67
2007-02-11,67
2007-02-12,66
2007-02-13,66
2007-02-14,65
2007-02-15,65
2007-02-16,65
2007-02-17,64
2007-02-18,64
2007-02-19,63
2007-02-20,63
2007-02-21,62
2007-02-22,62
2007-02-23,61
2007-02-24,61
2007-02-25,60
2007-02-26,60
2007-02-27,59
2007-02-28,59
2007-03-01,59
2007-03-02,59
2007-03-03,59
2007-03-04,59
2007-03-05,59
2007-03-06,59
2007-03-07,59
2007-03-08,59
2007-03-09,59
2007-03-10,59
2007-03-11,59
2007-03-12,59
2007-03-13,59
2007-03-14,59
2007-03-15,59
2007-03-16,59
2007-03-17,59
2007-03-18,59
2007-03-19,59
2007-03-20,59
2007-03-21,59
2007-03-22,59
2007-03-23,59
2007-03-24,59
2007-03-25,59
2007-03-26,59
2007-03-27,59
2007-03-28,59
2007-03-29,59
2007-03-30,59
2007-03-31,59
2007-04-01,59
2007-04-02,59
2007-04-03,59
2007-04-04,60
2007-04-05,60
2007-04-06,61
2007-04-07,61
2007-04-08,61
2007-04-09,62
2007-04-10,62
2007-04-11,63
2007-04-12,63
2007-04-13,63
2007-04-14,64
2007-04-15,64
2007-04-16,65
2007-04-17,65
2007-04-18,65
2007-04-19,66
2007-04-20,66
2007-04-21,67
2007-04-22,67
2007-04-23,67
2007-04-24,68
2007-04-25,68
2007-04-26,69
2007-04-27,69
2007-04-28,69
2007-04-29,70
2007-04-30,70
2007-05-01,71
2007-05-02,71
2007-05-03,72
2007-05-04,73
2007-05-05,74
2007-05-06,75
2007-05-07,75
2007-05-08,76
2007-05-09,77
2007-05-10,78
2007-05-11,79
2007-05-12,79
2007-05-13,80
2007-05-14,81
2007-05-15,82
2007-05-16,83
2007-05-17,83
2007-05-18,84
2007-05-19,85
2007-05-20,86
2007-05-21,87
2007-05-22,87
2007-05-23,88
2007-05-24,89
2007-05-25,90
2007-05-26,91
2007-05-27,91
2007-05-28,92
2007-05-29,93
2007-05-30,94
2007-05-31,95
2007-06-01,96
2007-06-02,95
2007-06-03,95
2007-06-04,95
2007-06-05,95
2007-06-06,95
2007-06-07,95
2007-06-08,95
2007-06-09,95
2007-06-10,95
2007-06-11,95
2007-06-12,94
2007-06-13,94
2007-06-14,94
2007-06-15,94
2007-06-16,94
2007-06-17,94
2007-06-18,94
