Date,Imperial Capital Group
2009-10-04,96
2009-10-05,95
2009-10-06,94
2009-10-07,93
2009-10-08,92
2009-10-09,91
2009-10-10,90
2009-10-11,89
2009-10-12,88
2009-10-13,87
2009-10-14,86
2009-10-15,85
2009-10-16,84
2009-10-17,83
2009-10-18,82
2009-10-19,96
2009-10-20,80
2009-10-21,79
2009-10-22,78
2009-10-23,77
2009-10-24,76
2009-10-25,75
2009-10-26,74
2009-10-27,73
2009-10-28,72
2009-10-29,71
2009-10-30,70
2009-10-31,69
2009-11-01,68
2009-11-02,69
2009-11-03,70
2009-11-04,71
2009-11-05,72
2009-11-06,73
2009-11-07,74
2009-11-08,75
2009-11-09,76
2009-11-10,77
2009-11-11,78
2009-11-12,79
2009-11-13,80
2009-11-14,81
2009-11-15,82
2009-11-16,84
2009-11-17,85
2009-11-18,86
2009-11-19,87
2009-11-20,88
2009-11-21,89
2009-11-22,90
2009-11-23,91
2009-11-24,92
2009-11-25,93
2009-11-26,94
2009-11-27,95
2009-11-28,96
2009-11-29,97
2009-11-30,98
2009-12-01,100
2009-12-02,99
2009-12-03,98
2009-12-04,97
2009-12-05,97
2009-12-06,96
2009-12-07,95
2009-12-08,94
2009-12-09,94
2009-12-10,93
2009-12-11,92
2009-12-12,91
2009-12-13,91
2009-12-14,91
2009-12-15,90
2009-12-16,90
2009-12-17,89
2009-12-18,88
2009-12-19,88
2009-12-20,87
2009-12-21,87
2009-12-22,87
2009-12-23,86
2009-12-24,87
2009-12-25,87
2009-12-26,90
2009-12-27,80
2010-01-03,78
2010-01-04,79
2010-01-05,79
2010-01-06,80
2010-01-07,81
2010-01-08,81
2010-01-09,82
2010-01-10,83
2010-01-11,84
2010-01-12,84
2010-01-13,85
2010-01-14,86
2010-01-15,86
2010-01-16,87
2010-01-17,88
2010-01-18,89
2010-01-19,90
2010-01-20,90
2010-01-21,91
2010-01-22,92
2010-01-23,92
2010-01-24,93
2010-01-25,94
2010-01-26,94
2010-01-27,95
2010-01-28,96
2010-01-29,96
2010-01-30,97
2010-01-31,98
2010-02-01,100
2010-02-02,98
2010-02-03,96
2010-02-04,95
2010-02-05,93
2010-02-06,92
2010-02-07,90
2010-02-08,87
2010-02-09,85
2010-02-10,84
2010-02-11,82
2010-02-12,80
2010-02-13,79
2010-02-14,77
2010-02-15,75
2010-02-16,73
2010-02-17,71
2010-02-18,69
2010-02-19,68
2010-02-20,66
2010-02-21,64
2010-02-22,64
2010-02-23,63
2010-02-24,61
2010-02-25,60
2010-02-26,59
2010-02-27,60
2010-02-28,52
2010-03-01,51
2010-03-02,50
2010-03-03,50
2010-03-04,49
2010-03-05,49
2010-03-06,48
2010-03-07,48
2010-03-08,48
2010-03-09,47
2010-03-10,47
2010-03-11,46
2010-03-12,46
2010-03-13,45
2010-03-14,45
2010-03-15,45
2010-03-16,44
2010-03-17,44
2010-03-18,43
2010-03-19,43
2010-03-20,43
2010-03-21,42
2010-03-22,42
2010-03-23,41
2010-03-24,41
2010-03-25,40
2010-03-26,40
2010-03-27,40
2010-03-28,39
2010-04-01,38
2010-04-02,38
2010-04-03,39
2010-04-04,40
2010-04-05,41
2010-04-06,42
2010-04-07,43
2010-04-08,44
2010-04-09,45
2010-04-10,46
2010-04-11,47
2010-04-12,48
2010-04-13,49
2010-04-14,50
2010-04-15,51
2010-04-16,52
2010-04-17,52
2010-04-18,53
2010-04-19,54
2010-04-20,55
2010-04-21,56
2010-04-22,57
2010-04-23,58
2010-04-24,59
2010-04-25,60
2010-04-26,61
2010-04-27,62
2010-04-28,63
2010-04-29,64
2010-04-30,65
2010-05-01,66
2010-05-02,65
2010-05-03,64
2010-05-04,64
2010-05-05,63
2010-05-06,62
2010-05-07,62
2010-05-08,61
2010-05-09,61
2010-05-10,60
2010-05-11,59
2010-05-12,59
2010-05-13,58
2010-05-14,58
2010-05-15,57
2010-05-16,56
2010-05-17,56
2010-05-18,55
2010-05-19,54
2010-05-20,54
2010-05-21,53
2010-05-22,53
2010-05-23,52
2010-05-24,51
2010-05-25,51
2010-05-26,50
2010-05-27,50
2010-05-28,49
2010-05-29,48
2010-05-30,48
2010-05-31,47
2010-06-01,47
2010-06-02,47
2010-06-03,47
2010-06-04,47
2010-06-05,47
2010-06-06,47
2010-06-07,47
2010-06-08,47
2010-06-09,47
2010-06-10,47
2010-06-11,47
2010-06-12,47
2010-06-13,47
2010-06-14,47
2010-06-15,47
2010-06-16,47
2010-06-17,47
2010-06-18,47
2010-06-19,47
