Date,Creditcards.com
2007-12-01,67
2007-12-02,67
2007-12-03,67
2007-12-04,67
2007-12-05,67
2007-12-06,67
2007-12-07,67
2007-12-08,67
2007-12-09,67
2007-12-10,67
2007-12-11,67
2007-12-12,68
2007-12-13,68
2007-12-14,68
2007-12-15,68
2007-12-16,68
2007-12-17,68
2007-12-18,68
2007-12-19,68
2007-12-20,68
2007-12-21,68
2007-12-22,69
2007-12-23,69
2007-12-24,69
2007-12-25,69
2007-12-26,69
2007-12-27,69
2007-12-28,69
2007-12-29,69
2007-12-30,69
2007-12-31,69
2008-01-01,70
2008-01-02,70
2008-01-03,71
2008-01-04,72
2008-01-05,73
2008-01-06,74
2008-01-07,75
2008-01-08,76
2008-01-09,77
2008-01-10,78
2008-01-11,79
2008-01-12,79
2008-01-13,80
2008-01-14,81
2008-01-15,82
2008-01-16,83
2008-01-17,84
2008-01-18,85
2008-01-19,86
2008-01-20,87
2008-01-21,88
2008-01-22,88
2008-01-23,89
2008-01-24,90
2008-01-25,91
2008-01-26,92
2008-01-27,93
2008-01-28,94
2008-01-29,95
2008-01-30,96
2008-01-31,97
2008-02-01,98
2008-02-02,97
2008-02-03,96
2008-02-04,96
2008-02-05,95
2008-02-06,95
2008-02-07,94
2008-02-08,93
2008-02-09,93
2008-02-10,92
2008-02-11,92
2008-02-12,91
2008-02-13,90
2008-02-14,90
2008-02-15,89
2008-02-16,89
2008-02-17,88
2008-02-18,88
2008-02-19,87
2008-02-20,86
2008-02-21,86
2008-02-22,85
2008-02-23,85
2008-02-24,84
2008-02-25,83
2008-02-26,83
2008-02-27,82
2008-02-28,82
2008-02-29,81
2008-03-01,81
2008-03-02,81
2008-03-03,82
2008-03-04,82
2008-03-05,83
2008-03-06,84
2008-03-07,84
2008-03-08,85
2008-03-09,85
2008-03-10,86
2008-03-11,87
2008-03-12,87
2008-03-13,88
2008-03-14,88
2008-03-15,89
2008-03-16,90
2008-03-17,90
2008-03-18,91
2008-03-19,92
2008-03-20,92
2008-03-21,93
2008-03-22,93
2008-03-23,94
2008-03-24,95
2008-03-25,95
2008-03-26,96
2008-03-27,96
2008-03-28,97
2008-03-29,98
2008-03-30,98
2008-03-31,99
2008-04-01,100
2008-04-02,98
2008-04-03,97
2008-04-04,95
2008-04-05,94
2008-04-06,92
2008-04-07,91
2008-04-08,89
2008-04-09,88
2008-04-10,86
2008-04-11,85
2008-04-12,83
2008-04-13,82
2008-04-14,80
2008-04-15,79
2008-04-16,78
2008-04-17,76
