Date,Transunion
2011-01-01,63
2011-01-02,66
2011-01-03,59
2011-01-04,67
2011-01-05,72
2011-01-06,76
2011-01-07,77
2011-01-08,81
2011-01-09,86
2011-01-10,64
2011-01-11,73
2011-01-12,79
2011-01-13,77
2011-01-14,77
2011-01-15,78
2011-01-16,84
2011-01-17,64
2011-01-18,76
2011-01-19,82
2011-01-20,83
2011-01-21,82
2011-01-22,93
2011-01-23,86
2011-01-24,71
2011-01-25,84
2011-01-26,83
2011-01-27,89
2011-01-28,86
2011-01-29,90
2011-01-30,86
2011-01-31,74
2011-02-01,81
2011-02-02,80
2011-02-03,86
2011-02-04,78
2011-02-05,90
2011-02-06,80
2011-02-07,72
2011-02-08,81
2011-02-09,80
2011-02-10,75
2011-02-11,80
2011-02-12,83
2011-02-13,76
2011-02-14,75
2011-02-15,76
2011-02-16,81
2011-02-17,77
2011-02-18,82
2011-02-19,86
2011-02-20,79
2011-02-21,76
2011-02-22,73
2011-02-23,80
2011-02-24,76
2011-02-25,78
2011-02-26,81
2011-02-27,73
2011-02-28,70
2011-03-01,76
2011-03-02,81
2011-03-03,80
2011-03-04,83
2011-03-05,89
2011-03-06,88
2011-03-07,67
2011-03-08,84
2011-03-09,83
2011-03-10,82
2011-03-11,84
2011-03-12,86
2011-03-13,84
2011-03-14,68
2011-03-15,76
2011-03-16,77
2011-03-17,75
2011-03-18,73
2011-03-19,80
2011-03-20,76
2011-03-21,64
2011-03-22,77
2011-03-23,74
2011-03-24,81
2011-03-25,81
2011-03-26,89
2011-03-27,81
2011-03-28,74
2011-03-29,80
2011-03-30,88
2011-03-31,88
2011-04-01,88
2011-04-02,93
2011-04-03,88
2011-04-04,82
2011-04-05,86
2011-04-06,80
2011-04-07,88
2011-04-08,83
2011-04-09,79
2011-04-10,96
2011-04-11,60
2011-04-12,82
2011-04-13,84
2011-04-14,85
2011-04-15,89
2011-04-16,91
2011-04-17,88
2011-04-18,72
2011-04-19,89
2011-04-20,87
2011-04-21,84
2011-04-22,86
2011-04-23,86
2011-04-24,88
2011-04-25,74
2011-04-26,83
2011-04-27,83
2011-04-28,77
2011-04-29,82
2011-04-30,91
2011-05-01,73
2011-05-02,73
2011-05-03,82
2011-05-04,78
2011-05-05,83
2011-05-06,84
2011-05-07,91
2011-05-08,83
2011-05-09,72
2011-05-10,80
2011-05-11,83
2011-05-12,78
2011-05-13,78
2011-05-14,82
2011-05-15,79
2011-05-16,70
2011-05-17,78
2011-05-18,83
2011-05-19,78
2011-05-20,79
2011-05-21,87
2011-05-22,86
2011-05-23,66
2011-05-24,76
2011-05-25,76
2011-05-26,77
2011-05-27,77
2011-05-28,78
2011-05-29,83
2011-05-30,68
2011-05-31,67
