Date,Air Lease
2010-07-01,73
2010-07-02,71
2010-07-03,69
2010-07-04,68
2010-07-05,66
2010-07-06,65
2010-07-07,63
2010-07-08,62
2010-07-09,60
2010-07-10,59
2010-07-11,57
2010-07-12,56
2010-07-13,54
2010-07-14,53
2010-07-15,51
2010-07-16,50
2010-07-17,48
2010-07-18,47
2010-07-19,45
2010-07-20,44
2010-07-21,42
2010-07-22,41
2010-07-23,39
2010-07-24,38
2010-07-25,36
2010-07-26,35
2010-07-27,33
2010-07-28,32
2010-07-29,30
2010-07-30,29
2010-07-31,27
2010-08-01,26
2010-08-02,25
2010-08-03,25
2010-08-04,25
2010-08-05,24
2010-08-06,24
2010-08-07,24
2010-08-08,23
2010-08-09,23
2010-08-10,23
2010-08-11,23
2010-08-12,22
2010-08-13,22
2010-08-14,22
2010-08-15,21
2010-08-16,21
2010-08-17,21
2010-08-18,21
2010-08-19,20
2010-08-20,20
2010-08-21,20
2010-08-22,19
2010-08-23,19
2010-08-24,19
2010-08-25,19
2010-08-26,18
2010-08-27,18
2010-08-28,18
2010-08-29,17
2010-08-30,17
2010-08-31,17
2010-09-01,17
2010-09-02,17
2010-09-03,17
2010-09-04,17
2010-09-05,18
2010-09-06,18
2010-09-07,18
2010-09-08,18
2010-09-09,19
2010-09-10,19
2010-09-11,19
2010-09-12,19
2010-09-13,20
2010-09-14,20
2010-09-15,20
2010-09-16,21
2010-09-17,21
2010-09-18,21
2010-09-19,21
2010-09-20,22
2010-09-21,22
2010-09-22,22
2010-09-23,22
2010-09-24,23
2010-09-25,23
2010-09-26,23
2010-09-27,23
2010-09-28,24
2010-09-29,24
2010-09-30,24
2010-10-01,25
2010-10-02,24
2010-10-03,24
2010-10-04,24
2010-10-05,24
2010-10-06,23
2010-10-07,23
2010-10-08,23
2010-10-09,23
2010-10-10,22
2010-10-11,22
2010-10-12,22
2010-10-13,22
2010-10-14,22
2010-10-15,21
2010-10-16,21
2010-10-17,21
2010-10-18,21
2010-10-19,20
2010-10-20,20
2010-10-21,20
2010-10-22,20
2010-10-23,20
2010-10-24,19
2010-10-25,19
2010-10-26,19
2010-10-27,19
2010-10-28,18
2010-10-29,18
2010-10-30,18
2010-10-31,18
2010-11-01,18
2010-11-02,18
2010-11-03,18
2010-11-04,18
2010-11-05,18
2010-11-06,18
2010-11-07,19
2010-11-08,19
2010-11-09,19
2010-11-10,19
2010-11-11,19
2010-11-12,19
2010-11-13,20
2010-11-14,20
2010-11-15,20
2010-11-16,20
2010-11-17,20
2010-11-18,20
2010-11-19,21
2010-11-20,21
2010-11-21,21
2010-11-22,21
2010-11-23,21
2010-11-24,21
2010-11-25,22
2010-11-26,22
2010-11-27,22
2010-11-28,22
2010-11-29,22
2010-11-30,22
2010-12-01,23
2010-12-02,23
2010-12-03,23
2010-12-04,23
2010-12-05,23
2010-12-06,23
2010-12-07,23
2010-12-08,23
2010-12-09,24
2010-12-10,24
2010-12-11,24
2010-12-12,24
2010-12-13,24
2010-12-14,24
2010-12-15,24
2010-12-16,24
2010-12-17,25
2010-12-18,25
2010-12-19,25
2010-12-20,25
2010-12-21,25
2010-12-22,25
2010-12-23,25
2010-12-24,25
2010-12-25,26
2010-12-26,26
2010-12-27,26
2010-12-28,26
2010-12-29,26
2010-12-30,26
2010-12-31,26
2011-01-01,27
2011-01-02,26
2011-01-03,26
2011-01-04,26
2011-01-05,26
2011-01-06,26
2011-01-07,26
2011-01-08,26
2011-01-09,25
2011-01-10,25
2011-01-11,25
2011-01-12,25
2011-01-13,25
2011-01-14,25
2011-01-15,25
2011-01-16,25
2011-01-17,24
2011-01-18,24
2011-01-19,24
2011-01-20,24
2011-01-21,24
2011-01-22,24
2011-01-23,24
2011-01-24,24
2011-01-25,23
2011-01-26,23
2011-01-27,23
2011-01-28,23
2011-01-29,23
2011-01-30,23
2011-01-31,23
2011-02-01,23
2011-02-02,23
2011-02-03,23
2011-02-04,23
2011-02-05,23
2011-02-06,23
2011-02-07,23
2011-02-08,23
2011-02-09,23
2011-02-10,23
2011-02-11,23
2011-02-12,23
2011-02-13,23
2011-02-14,23
2011-02-15,23
2011-02-16,23
2011-02-17,23
2011-02-18,23
2011-02-19,23
2011-02-20,23
2011-02-21,23
2011-02-22,23
2011-02-23,23
2011-02-24,23
2011-02-25,23
2011-02-26,23
2011-02-27,23
2011-02-28,23
2011-03-01,23
2011-03-02,25
2011-03-03,27
2011-03-04,30
2011-03-05,32
2011-03-06,35
2011-03-07,37
2011-03-08,40
2011-03-09,42
2011-03-10,45
2011-03-11,47
2011-03-12,50
2011-03-13,52
2011-03-14,55
2011-03-15,57
2011-03-16,60
2011-03-17,62
2011-03-18,65
2011-03-19,67
2011-03-20,70
2011-03-21,72
2011-03-22,75
2011-03-23,77
2011-03-24,80
2011-03-25,82
2011-03-26,85
2011-03-27,87
2011-03-28,90
2011-03-29,92
2011-03-30,95
2011-03-31,97
2011-04-01,100
2011-04-02,97
2011-04-03,95
2011-04-04,92
2011-04-05,90
2011-04-06,87
2011-04-07,85
2011-04-08,82
2011-04-09,80
2011-04-10,77
2011-04-11,75
2011-04-12,72
2011-04-13,70
2011-04-14,67
2011-04-15,65
2011-04-16,63
2011-04-17,60
2011-04-18,58
2011-04-19,55
2011-04-20,53
2011-04-21,50
2011-04-22,48
2011-04-23,45
2011-04-24,43
2011-04-25,40
2011-04-26,38
2011-04-27,35
2011-04-28,33
2011-04-29,30
2011-04-30,28
2011-05-01,26
2011-05-02,26
2011-05-03,26
2011-05-04,26
2011-05-05,26
2011-05-06,26
2011-05-07,26
2011-05-08,26
2011-05-09,26
2011-05-10,26
2011-05-11,26
2011-05-12,27
2011-05-13,27
2011-05-14,27
2011-05-15,27
2011-05-16,27
2011-05-17,27
2011-05-18,27
2011-05-19,27
2011-05-20,27
2011-05-21,27
2011-05-22,28
2011-05-23,28
2011-05-24,28
2011-05-25,28
2011-05-26,28
2011-05-27,28
2011-05-28,28
2011-05-29,28
2011-05-30,28
2011-05-31,28
2011-06-01,29
2011-06-02,28
2011-06-03,28
2011-06-04,27
2011-06-05,27
2011-06-06,26
2011-06-07,26
2011-06-08,25
2011-06-09,25
2011-06-10,25
2011-06-11,24
2011-06-12,24
2011-06-13,23
2011-06-14,23
2011-06-15,22
2011-06-16,22
2011-06-17,22
2011-06-18,21
2011-06-19,21
2011-06-20,20
2011-06-21,20
2011-06-22,19
2011-06-23,19
2011-06-24,19
2011-06-25,18
2011-06-26,18
2011-06-27,17
