Date,CardTronics
2008-07-03,83
2008-07-04,83
2008-07-05,83
2008-07-06,83
2008-07-07,83
2008-07-08,83
2008-07-09,83
2008-07-10,83
2008-07-11,83
2008-07-12,83
2008-07-13,83
2008-07-14,83
2008-07-15,83
2008-07-16,83
2008-07-17,83
2008-07-18,83
2008-07-19,83
2008-07-20,83
2008-07-21,83
2008-07-22,83
2008-07-23,83
2008-07-24,83
2008-07-25,83
2008-07-26,83
2008-07-27,83
2008-07-28,83
2008-07-29,83
2008-07-30,83
2008-07-31,83
2008-08-01,83
2008-08-02,83
2008-08-03,83
2008-08-04,83
2008-08-05,83
2008-08-06,83
2008-08-07,83
2008-08-08,83
2008-08-09,83
2008-08-10,83
2008-08-11,83
2008-08-12,83
2008-08-13,83
2008-08-14,83
2008-08-15,83
2008-08-16,83
2008-08-17,84
2008-08-18,84
2008-08-19,84
2008-08-20,84
2008-08-21,84
2008-08-22,84
2008-08-23,84
2008-08-24,84
2008-08-25,84
2008-08-26,84
2008-08-27,84
2008-08-28,84
2008-08-29,84
2008-08-30,84
2008-08-31,84
2008-09-01,85
2008-09-02,83
2008-09-03,82
2008-09-04,80
2008-09-05,79
2008-09-06,77
2008-09-07,76
2008-09-08,74
2008-09-09,73
2008-09-10,71
2008-09-11,70
2008-09-12,68
2008-09-13,67
2008-09-14,65
2008-09-15,64
2008-09-16,62
2008-09-17,61
2008-09-18,59
2008-09-19,58
2008-09-20,56
2008-09-21,55
2008-09-22,53
2008-09-23,52
2008-09-24,50
2008-09-25,49
2008-09-26,47
2008-09-27,46
2008-09-28,44
2008-09-29,43
2008-09-30,41
2008-10-01,40
2008-10-02,40
2008-10-03,40
2008-10-04,41
2008-10-05,41
2008-10-06,41
2008-10-07,42
2008-10-08,42
2008-10-09,42
2008-10-10,43
2008-10-11,43
2008-10-12,43
2008-10-13,44
2008-10-14,44
2008-10-15,44
2008-10-16,45
2008-10-17,45
2008-10-18,46
2008-10-19,46
2008-10-20,46
2008-10-21,47
2008-10-22,47
2008-10-23,47
2008-10-24,48
2008-10-25,48
2008-10-26,48
2008-10-27,49
2008-10-28,49
2008-10-29,49
2008-10-30,50
2008-10-31,50
2008-11-01,51
2008-11-02,51
2008-11-03,52
2008-11-04,53
2008-11-05,54
2008-11-06,55
2008-11-07,56
2008-11-08,57
2008-11-09,58
2008-11-10,59
2008-11-11,60
2008-11-12,61
2008-11-13,62
2008-11-14,63
2008-11-15,64
2008-11-16,65
2008-11-17,65
2008-11-18,66
2008-11-19,67
2008-11-20,68
2008-11-21,69
2008-11-22,70
2008-11-23,71
2008-11-24,72
2008-11-25,73
2008-11-26,74
2008-11-27,75
2008-11-28,76
2008-11-29,77
2008-11-30,78
2008-12-01,79
2008-12-02,78
2008-12-03,77
2008-12-04,76
2008-12-05,76
2008-12-06,75
2008-12-07,74
2008-12-08,74
2008-12-09,73
2008-12-10,72
2008-12-11,72
2008-12-12,71
2008-12-13,70
2008-12-14,70
2008-12-15,69
2008-12-16,68
2008-12-17,68
2008-12-18,67
2008-12-19,66
2008-12-20,66
2008-12-21,65
2008-12-22,64
2008-12-23,64
2008-12-24,63
2008-12-25,62
2008-12-26,62
2008-12-27,61
2008-12-28,60
2008-12-29,60
2008-12-30,59
2008-12-31,58
2009-01-01,58
2009-01-02,57
2009-01-03,57
2009-01-04,57
2009-01-05,56
2009-01-06,56
2009-01-07,56
2009-01-08,56
2009-01-09,55
2009-01-10,55
2009-01-11,55
2009-01-12,55
2009-01-13,54
2009-01-14,54
2009-01-15,54
2009-01-16,54
2009-01-17,53
2009-01-18,53
2009-01-19,53
2009-01-20,53
2009-01-21,52
2009-01-22,52
2009-01-23,52
2009-01-24,52
2009-01-25,51
2009-01-26,51
2009-01-27,51
2009-01-28,51
2009-01-29,50
2009-01-30,50
2009-01-31,50
2009-02-01,50
