Date,Health Insurance Innovations
2012-06-01,68
2012-06-02,68
2012-06-03,69
2012-06-04,69
2012-06-05,70
2012-06-06,71
2012-06-07,71
2012-06-08,72
2012-06-09,72
2012-06-10,73
2012-06-11,74
2012-06-12,74
2012-06-13,75
2012-06-14,75
2012-06-15,76
2012-06-16,77
2012-06-17,77
2012-06-18,78
2012-06-19,78
2012-06-20,79
2012-06-21,80
2012-06-22,80
2012-06-23,81
2012-06-24,81
2012-06-25,82
2012-06-26,83
2012-06-27,83
2012-06-28,84
2012-06-29,84
2012-06-30,85
2012-07-01,86
2012-07-02,85
2012-07-03,85
2012-07-04,85
2012-07-05,85
2012-07-06,85
2012-07-07,84
2012-07-08,84
2012-07-09,84
2012-07-10,84
2012-07-11,84
2012-07-12,83
2012-07-13,83
2012-07-14,83
2012-07-15,83
2012-07-16,83
2012-07-17,82
2012-07-18,82
2012-07-19,82
2012-07-20,82
2012-07-21,82
2012-07-22,81
2012-07-23,81
2012-07-24,81
2012-07-25,81
2012-07-26,81
2012-07-27,80
2012-07-28,80
2012-07-29,80
2012-07-30,80
2012-07-31,80
2012-08-01,80
2012-08-02,79
2012-08-03,79
2012-08-04,78
2012-08-05,78
2012-08-06,77
2012-08-07,77
2012-08-08,76
2012-08-09,76
2012-08-10,75
2012-08-11,75
2012-08-12,75
2012-08-13,74
2012-08-14,74
2012-08-15,73
2012-08-16,73
2012-08-17,72
2012-08-18,72
2012-08-19,71
2012-08-20,71
2012-08-21,70
2012-08-22,70
2012-08-23,70
2012-08-24,69
2012-08-25,69
2012-08-26,68
2012-08-27,68
2012-08-28,67
2012-08-29,67
2012-08-30,66
2012-08-31,66
2012-09-01,66
2012-09-02,65
2012-09-03,65
2012-09-04,65
2012-09-05,65
2012-09-06,65
2012-09-07,65
2012-09-08,65
2012-09-09,65
2012-09-10,65
2012-09-11,65
2012-09-12,65
2012-09-13,65
2012-09-14,65
2012-09-15,65
2012-09-16,65
2012-09-17,65
2012-09-18,65
2012-09-19,65
2012-09-20,65
2012-09-21,65
2012-09-22,65
2012-09-23,65
2012-09-24,65
2012-09-25,65
2012-09-26,65
2012-09-27,65
2012-09-28,65
2012-09-29,65
2012-09-30,65
2012-10-01,65
2012-10-02,65
2012-10-03,65
2012-10-04,66
2012-10-05,66
2012-10-06,66
2012-10-07,67
2012-10-08,67
2012-10-09,67
2012-10-10,68
2012-10-11,68
2012-10-12,68
2012-10-13,69
2012-10-14,69
2012-10-15,69
2012-10-16,70
2012-10-17,70
2012-10-18,71
2012-10-19,71
2012-10-20,71
2012-10-21,72
2012-10-22,72
2012-10-23,72
2012-10-24,73
2012-10-25,73
2012-10-26,73
2012-10-27,74
2012-10-28,74
2012-10-29,74
2012-10-30,75
2012-10-31,75
2012-11-01,76
2012-11-02,75
2012-11-03,74
2012-11-04,74
2012-11-05,73
2012-11-06,73
2012-11-07,72
2012-11-08,72
2012-11-09,71
2012-11-10,71
2012-11-11,70
2012-11-12,70
2012-11-13,69
2012-11-14,69
2012-11-15,68
2012-11-16,68
2012-11-17,67
2012-11-18,66
2012-11-19,66
2012-11-20,65
2012-11-21,65
2012-11-22,64
2012-11-23,64
2012-11-24,63
2012-11-25,63
2012-11-26,62
2012-11-27,62
2012-11-28,61
2012-11-29,61
2012-11-30,60
2012-12-01,60
2012-12-02,60
2012-12-03,60
2012-12-04,60
2012-12-05,60
2012-12-06,60
2012-12-07,60
2012-12-08,60
2012-12-09,61
2012-12-10,61
2012-12-11,61
2012-12-12,61
2012-12-13,61
2012-12-14,61
2012-12-15,61
2012-12-16,61
2012-12-17,62
2012-12-18,62
2012-12-19,62
2012-12-20,62
2012-12-21,62
2012-12-22,62
2012-12-23,62
2012-12-24,62
2012-12-25,63
2012-12-26,63
2012-12-27,63
2012-12-28,63
2012-12-29,63
2012-12-30,63
2012-12-31,63
2013-01-01,64
2013-01-02,65
2013-01-03,66
2013-01-04,67
2013-01-05,68
2013-01-06,69
2013-01-07,70
2013-01-08,72
2013-01-09,73
2013-01-10,74
2013-01-11,75
2013-01-12,76
2013-01-13,77
2013-01-14,79
2013-01-15,80
2013-01-16,81
2013-01-17,82
2013-01-18,83
2013-01-19,84
2013-01-20,86
2013-01-21,87
2013-01-22,88
2013-01-23,89
2013-01-24,90
2013-01-25,91
2013-01-26,93
2013-01-27,94
2013-01-28,95
2013-01-29,96
2013-01-30,97
2013-01-31,98
2013-02-01,100
2013-02-02,98
2013-02-03,97
2013-02-04,96
2013-02-05,95
2013-02-06,94
2013-02-07,92
2013-02-08,91
2013-02-09,90
2013-02-10,89
2013-02-11,88
2013-02-12,87
2013-02-13,85
2013-02-14,84
2013-02-15,83
2013-02-16,82
2013-02-17,81
2013-02-18,79
2013-02-19,78
2013-02-20,77
2013-02-21,76
2013-02-22,75
2013-02-23,74
2013-02-24,72
2013-02-25,71
2013-02-26,70
2013-02-27,69
2013-02-28,68
2013-03-01,67
2013-03-02,66
2013-03-03,66
2013-03-04,66
2013-03-05,65
2013-03-06,65
2013-03-07,65
2013-03-08,64
2013-03-09,64
2013-03-10,64
2013-03-11,63
2013-03-12,63
2013-03-13,63
2013-03-14,62
2013-03-15,62
2013-03-16,62
2013-03-17,61
2013-03-18,61
2013-03-19,61
2013-03-20,60
2013-03-21,60
2013-03-22,60
2013-03-23,59
2013-03-24,59
2013-03-25,59
2013-03-26,58
2013-03-27,58
2013-03-28,58
2013-03-29,57
2013-03-30,57
2013-03-31,57
2013-04-01,57
2013-04-02,57
2013-04-03,58
2013-04-04,59
2013-04-05,60
2013-04-06,61
2013-04-07,62
2013-04-08,63
2013-04-09,64
2013-04-10,65
2013-04-11,66
2013-04-12,66
2013-04-13,67
2013-04-14,68
2013-04-15,69
2013-04-16,70
2013-04-17,71
2013-04-18,72
2013-04-19,73
2013-04-20,74
2013-04-21,75
2013-04-22,75
2013-04-23,76
2013-04-24,77
2013-04-25,78
2013-04-26,79
2013-04-27,80
2013-04-28,81
2013-04-29,82
2013-04-30,83
2013-05-01,84
2013-05-02,83
2013-05-03,82
2013-05-04,81
2013-05-05,80
2013-05-06,79
2013-05-07,78
2013-05-08,77
2013-05-09,76
2013-05-10,75
2013-05-11,74
2013-05-12,73
2013-05-13,72
2013-05-14,71
2013-05-15,70
2013-05-16,69
2013-05-17,69
2013-05-18,68
2013-05-19,67
2013-05-20,66
2013-05-21,65
2013-05-22,64
2013-05-23,63
2013-05-24,62
2013-05-25,61
2013-05-26,60
2013-05-27,59
2013-05-28,58
2013-05-29,57
2013-05-30,56
2013-05-31,55
2013-06-01,55
2013-06-02,55
2013-06-03,55
2013-06-04,55
2013-06-05,55
2013-06-06,55
2013-06-07,55
2013-06-08,55
2013-06-09,56
2013-06-10,56
2013-06-11,56
2013-06-12,56
2013-06-13,56
2013-06-14,56
2013-06-15,56
2013-06-16,57
2013-06-17,57
2013-06-18,57
2013-06-19,57
2013-06-20,57
2013-06-21,57
2013-06-22,57
2013-06-23,57
2013-06-24,58
2013-06-25,58
2013-06-26,58
2013-06-27,58
2013-06-28,58
2013-06-29,58
2013-06-30,58
2013-07-01,59
2013-07-02,59
2013-07-03,59
2013-07-04,60
2013-07-05,60
2013-07-06,60
2013-07-07,61
2013-07-08,61
2013-07-09,61
2013-07-10,62
2013-07-11,62
2013-07-12,62
2013-07-13,63
2013-07-14,63
2013-07-15,63
2013-07-16,64
2013-07-17,64
2013-07-18,65
2013-07-19,65
2013-07-20,65
2013-07-21,66
2013-07-22,66
2013-07-23,66
2013-07-24,67
2013-07-25,67
2013-07-26,67
2013-07-27,68
2013-07-28,68
2013-07-29,68
2013-07-30,69
2013-07-31,69
2013-08-01,70
2013-08-02,69
2013-08-03,68
2013-08-04,67
2013-08-05,66
2013-08-06,65
2013-08-07,64
2013-08-08,63
2013-08-09,62
2013-08-10,61
2013-08-11,60
2013-08-12,59
2013-08-13,58
2013-08-14,57
2013-08-15,56
2013-08-16,55
2013-08-17,55
2013-08-18,54
2013-08-19,53
2013-08-20,52
2013-08-21,51
2013-08-22,50
2013-08-23,49
2013-08-24,48
2013-08-25,47
2013-08-26,46
2013-08-27,45
2013-08-28,44
2013-08-29,43
2013-08-30,42
2013-08-31,41
2013-09-01,41
2013-09-02,42
2013-09-03,43
2013-09-04,44
2013-09-05,45
2013-09-06,46
2013-09-07,47
2013-09-08,48
2013-09-09,50
2013-09-10,51
2013-09-11,52
2013-09-12,53
2013-09-13,54
2013-09-14,55
2013-09-15,56
2013-09-16,58
2013-09-17,59
2013-09-18,60
2013-09-19,61
2013-09-20,62
2013-09-21,63
2013-09-22,64
2013-09-23,65
2013-09-24,67
2013-09-25,68
2013-09-26,69
2013-09-27,70
2013-09-28,71
2013-09-29,72
2013-09-30,73
2013-10-01,75
2013-10-02,74
2013-10-03,74
2013-10-04,74
2013-10-05,74
2013-10-06,74
2013-10-07,73
2013-10-08,73
2013-10-09,73
2013-10-10,73
2013-10-11,73
2013-10-12,72
2013-10-13,72
2013-10-14,72
2013-10-15,72
2013-10-16,72
2013-10-17,71
2013-10-18,71
2013-10-19,71
2013-10-20,71
2013-10-21,71
2013-10-22,70
2013-10-23,70
2013-10-24,70
2013-10-25,70
2013-10-26,70
2013-10-27,69
2013-10-28,69
2013-10-29,69
2013-10-30,69
2013-10-31,69
2013-11-01,69
2013-11-02,68
2013-11-03,67
2013-11-04,66
2013-11-05,65
2013-11-06,64
2013-11-07,63
2013-11-08,62
2013-11-09,61
2013-11-10,60
2013-11-11,60
2013-11-12,59
