Date,Groupon
2010-12-01,44
2010-12-02,56
2010-12-03,63
2010-12-04,68
2010-12-05,60
2010-12-06,61
2010-12-07,55
2010-12-08,45
2010-12-09,40
2010-12-10,39
2010-12-11,31
2010-12-12,30
2010-12-13,29
2010-12-14,27
2010-12-15,26
2010-12-16,27
2010-12-17,24
2010-12-18,23
2010-12-19,23
2010-12-20,21
2010-12-21,20
2010-12-22,19
2010-12-23,18
2010-12-24,16
2010-12-25,16
2010-12-26,16
2010-12-27,17
2010-12-28,17
2010-12-29,18
2010-12-30,19
2010-12-31,20
2011-01-01,20
2011-01-02,20
2011-01-03,22
2011-01-04,22
2011-01-05,21
2011-01-06,21
2011-01-07,23
2011-01-08,23
2011-01-09,23
2011-01-10,24
2011-01-11,24
2011-01-12,24
2011-01-13,26
2011-01-14,23
2011-01-15,29
2011-01-16,26
2011-01-17,26
2011-01-18,22
2011-01-19,27
2011-01-20,26
2011-01-21,25
2011-01-22,27
2011-01-23,24
2011-01-24,23
2011-01-25,21
2011-01-26,21
2011-01-27,20
2011-01-28,19
2011-01-29,18
2011-01-30,17
2011-01-31,17
2011-02-01,17
2011-02-02,17
2011-02-03,17
2011-02-04,16
2011-02-05,16
2011-02-06,17
2011-02-07,18
2011-02-08,19
2011-02-09,21
2011-02-10,19
2011-02-11,21
2011-02-12,23
2011-02-13,21
2011-02-14,20
2011-02-15,19
2011-02-16,17
2011-02-17,16
2011-02-18,16
2011-02-19,15
2011-02-20,15
2011-02-21,15
2011-02-22,13
2011-02-23,16
2011-02-24,16
2011-02-25,15
2011-02-26,16
2011-02-27,15
2011-02-28,15
2011-03-01,15
2011-03-02,15
2011-03-03,15
2011-03-04,14
2011-03-05,14
2011-03-06,15
2011-03-07,16
2011-03-08,17
2011-03-09,18
2011-03-10,20
2011-03-11,20
2011-03-12,18
2011-03-13,22
2011-03-14,21
2011-03-15,21
2011-03-16,21
2011-03-17,19
2011-03-18,22
2011-03-19,23
2011-03-20,22
2011-03-21,22
2011-03-22,23
2011-03-23,21
2011-03-24,22
2011-03-25,24
2011-03-26,22
2011-03-27,22
2011-03-28,23
2011-03-29,23
2011-03-30,24
2011-03-31,23
2011-04-01,23
2011-04-02,23
2011-04-03,23
2011-04-04,22
2011-04-05,20
2011-04-06,19
2011-04-07,19
2011-04-08,18
