Date,MSCI Inc
2007-01-13,98
2007-01-14,90
2007-01-15,90
2007-01-16,79
2007-01-17,95
2007-01-18,92
2007-01-19,89
2007-01-20,95
2007-01-21,88
2007-01-22,81
2007-01-23,80
2007-01-24,81
2007-01-25,80
2007-01-26,70
2007-01-27,72
2007-01-28,73
2007-01-29,76
2007-01-30,79
2007-01-31,77
2007-02-01,80
2007-02-02,86
2007-02-03,102
2007-02-04,89
2007-02-05,80
2007-02-06,85
2007-02-07,82
2007-02-08,92
2007-02-09,74
2007-02-10,92
2007-02-11,84
2007-02-12,78
2007-02-13,85
2007-02-14,85
2007-02-15,88
2007-02-16,97
2007-02-17,98
2007-02-18,90
2007-02-19,89
2007-02-20,84
2007-02-21,75
2007-02-22,86
2007-02-23,83
2007-02-24,79
2007-02-25,78
2007-02-26,78
2007-02-27,71
2007-02-28,76
2007-03-01,83
2007-03-02,89
2007-03-03,81
2007-03-04,74
2007-03-05,73
2007-03-06,78
2007-03-07,70
2007-03-08,74
2007-03-09,70
2007-03-10,69
2007-03-11,65
2007-03-12,64
2007-03-13,65
2007-03-14,55
2007-03-15,65
2007-03-16,58
2007-03-17,59
2007-03-18,60
2007-03-19,61
2007-03-20,63
2007-03-21,67
2007-03-22,65
2007-03-23,72
2007-03-24,73
2007-03-25,71
2007-03-26,70
2007-03-27,71
2007-03-28,68
2007-03-29,56
2007-03-30,70
2007-03-31,66
2007-04-01,65
2007-04-02,63
2007-04-03,68
2007-04-04,68
2007-04-05,61
2007-04-06,64
2007-04-07,65
2007-04-08,66
2007-04-09,68
2007-04-10,69
2007-04-11,77
2007-04-12,68
2007-04-13,77
2007-04-14,76
2007-04-15,76
2007-04-16,77
2007-04-17,70
2007-04-18,81
2007-04-19,77
2007-04-20,74
2007-04-21,82
2007-04-22,78
2007-04-23,70
2007-04-24,80
2007-04-25,82
2007-04-26,75
2007-04-27,89
2007-04-28,80
2007-04-29,81
2007-04-30,82
2007-05-01,81
2007-05-02,86
2007-05-03,92
2007-05-04,78
2007-05-05,90
2007-05-06,87
2007-05-07,86
2007-05-08,93
2007-05-09,75
2007-05-10,84
2007-05-11,88
2007-05-12,78
2007-05-13,77
2007-05-14,76
2007-05-15,75
2007-05-16,72
2007-05-17,72
2007-05-18,78
2007-05-19,71
2007-05-20,70
2007-05-21,68
2007-05-22,70
2007-05-23,68
2007-05-24,63
2007-05-25,63
2007-05-26,64
2007-05-27,65
2007-05-28,67
2007-05-29,61
2007-05-30,74
2007-05-31,69
2007-06-01,80
2007-06-02,75
2007-06-03,75
2007-06-04,75
2007-06-05,81
