Date,LinkedIn
2010-07-10,14
2010-07-11,14
2010-07-12,15
2010-07-13,15
2010-07-14,16
2010-07-15,17
2010-07-16,18
2010-07-17,19
2010-07-18,18
2010-07-19,18
2010-07-20,17
2010-07-21,17
2010-07-22,18
2010-07-23,15
2010-07-24,18
2010-07-25,16
2010-07-26,16
2010-07-27,13
2010-07-28,17
2010-07-29,14
2010-07-30,17
2010-07-31,16
2010-08-01,16
2010-08-02,17
2010-08-03,17
2010-08-04,16
2010-08-05,20
2010-08-06,16
2010-08-07,22
2010-08-08,19
2010-08-09,19
2010-08-10,20
2010-08-11,20
2010-08-12,19
2010-08-13,17
2010-08-14,20
2010-08-15,18
2010-08-16,18
2010-08-17,17
2010-08-18,17
2010-08-19,15
2010-08-20,18
2010-08-21,15
2010-08-22,15
2010-08-23,15
2010-08-24,16
2010-08-25,14
2010-08-26,13
2010-08-27,14
2010-08-28,14
2010-08-29,14
2010-08-30,14
2010-08-31,15
2010-09-01,14
2010-09-02,14
2010-09-03,17
2010-09-04,15
2010-09-05,16
2010-09-06,16
2010-09-07,15
2010-09-08,17
2010-09-09,18
2010-09-10,16
2010-09-11,17
2010-09-12,17
2010-09-13,17
2010-09-14,19
2010-09-15,15
2010-09-16,19
2010-09-17,16
2010-09-18,19
2010-09-19,17
2010-09-20,17
2010-09-21,16
2010-09-22,17
2010-09-23,16
2010-09-24,15
2010-09-25,16
2010-09-26,16
2010-09-27,15
2010-09-28,17
2010-09-29,17
2010-09-30,19
2010-10-01,18
2010-10-02,18
2010-10-03,18
2010-10-04,18
2010-10-05,18
2010-10-06,19
2010-10-07,19
2010-10-08,18
2010-10-09,18
2010-10-10,19
2010-10-11,19
2010-10-12,20
2010-10-13,19
2010-10-14,21
2010-10-15,19
2010-10-16,22
2010-10-17,19
2010-10-18,18
2010-10-19,18
2010-10-20,15
2010-10-21,16
2010-10-22,14
2010-10-23,13
2010-10-24,14
2010-10-25,14
2010-10-26,16
2010-10-27,14
2010-10-28,18
2010-10-29,18
2010-10-30,21
2010-10-31,19
2010-11-01,18
2010-11-02,21
2010-11-03,16
2010-11-04,20
2010-11-05,19
2010-11-06,19
2010-11-07,19
2010-11-08,18
2010-11-09,15
2010-11-10,18
2010-11-11,16
2010-11-12,16
2010-11-13,17
2010-11-14,16
2010-11-15,17
2010-11-16,17
2010-11-17,16
2010-11-18,20
2010-11-19,20
2010-11-20,20
2010-11-21,20
2010-11-22,19
2010-11-23,19
2010-11-24,18
2010-11-25,16
2010-11-26,16
2010-11-27,16
2010-11-28,16
2010-11-29,16
2010-11-30,16
2010-12-01,17
2010-12-02,16
2010-12-03,16
2010-12-04,19
2010-12-05,18
2010-12-06,18
2010-12-07,15
2010-12-08,18
2010-12-09,18
2010-12-10,18
2010-12-11,17
2010-12-12,18
2010-12-13,18
2010-12-14,15
2010-12-15,20
2010-12-16,18
2010-12-17,18
2010-12-18,19
2010-12-19,18
2010-12-20,15
2010-12-21,17
2010-12-22,16
2010-12-23,16
2010-12-24,14
2010-12-25,13
2010-12-26,13
