Date,Transunion
2011-01-01,0
2011-01-02,1
2011-01-03,2
2011-01-04,4
2011-01-05,5
2011-01-06,7
2011-01-07,8
2011-01-08,10
2011-01-09,11
2011-01-10,13
2011-01-11,14
2011-01-12,15
2011-01-13,17
2011-01-14,18
2011-01-15,20
2011-01-16,21
2011-01-17,23
2011-01-18,24
2011-01-19,26
2011-01-20,27
2011-01-21,29
2011-01-22,30
2011-01-23,31
2011-01-24,33
2011-01-25,34
2011-01-26,36
2011-01-27,37
2011-01-28,39
2011-01-29,40
2011-01-30,42
2011-01-31,43
2011-02-01,45
2011-02-02,45
2011-02-03,45
2011-02-04,45
2011-02-05,45
2011-02-06,45
2011-02-07,45
2011-02-08,45
2011-02-09,45
2011-02-10,45
2011-02-11,46
2011-02-12,46
2011-02-13,46
2011-02-14,46
2011-02-15,46
2011-02-16,46
2011-02-17,46
2011-02-18,46
2011-02-19,46
2011-02-20,47
2011-02-21,47
2011-02-22,47
2011-02-23,47
2011-02-24,47
2011-02-25,47
2011-02-26,47
2011-02-27,47
2011-02-28,47
2011-03-01,48
2011-03-02,48
2011-03-03,49
2011-03-04,49
2011-03-05,50
2011-03-06,50
2011-03-07,51
2011-03-08,52
2011-03-09,52
2011-03-10,53
2011-03-11,53
2011-03-12,54
2011-03-13,54
2011-03-14,55
2011-03-15,56
2011-03-16,56
2011-03-17,57
2011-03-18,57
2011-03-19,58
2011-03-20,59
2011-03-21,59
2011-03-22,60
2011-03-23,60
2011-03-24,61
2011-03-25,61
2011-03-26,62
2011-03-27,63
2011-03-28,63
2011-03-29,64
2011-03-30,64
2011-03-31,65
2011-04-01,66
2011-04-02,66
2011-04-03,67
2011-04-04,67
2011-04-05,68
2011-04-06,68
2011-04-07,69
2011-04-08,69
2011-04-09,70
2011-04-10,71
2011-04-11,71
2011-04-12,72
2011-04-13,72
2011-04-14,73
2011-04-15,73
2011-04-16,74
2011-04-17,75
2011-04-18,75
2011-04-19,76
2011-04-20,76
2011-04-21,77
2011-04-22,77
2011-04-23,78
2011-04-24,79
2011-04-25,79
2011-04-26,80
2011-04-27,80
2011-04-28,81
2011-04-29,81
2011-04-30,82
2011-05-01,83
2011-05-02,83
2011-05-03,84
2011-05-04,84
2011-05-05,85
2011-05-06,85
2011-05-07,86
2011-05-08,86
2011-05-09,87
2011-05-10,87
2011-05-11,88
2011-05-12,89
2011-05-13,89
2011-05-14,90
2011-05-15,90
2011-05-16,91
2011-05-17,91
2011-05-18,92
