Date,Covisint
2012-11-01,74
2012-11-02,75
2012-11-03,75
2012-11-04,78
2012-11-05,82
2012-11-06,82
2012-11-07,89
2012-11-08,97
2012-11-09,98
2012-11-10,99
2012-11-11,93
2012-11-12,88
2012-11-13,82
2012-11-14,77
2012-11-15,72
2012-11-16,66
2012-11-17,61
2012-11-18,62
2012-11-19,63
2012-11-20,60
2012-11-21,71
2012-11-22,68
2012-11-23,68
2012-11-24,70
2012-11-25,70
2012-11-26,70
2012-11-27,73
2012-11-28,69
2012-11-29,69
2012-11-30,69
2012-12-01,71
2012-12-02,70
2012-12-03,71
2012-12-04,67
2012-12-05,74
2012-12-06,72
2012-12-07,74
2012-12-08,74
2012-12-09,74
2012-12-10,74
2012-12-11,74
2012-12-12,74
2012-12-13,67
2012-12-14,74
2012-12-15,78
2012-12-16,76
2012-12-17,77
2012-12-18,76
2012-12-19,84
2012-12-20,82
2012-12-21,83
2012-12-22,85
2012-12-23,77
2012-12-24,69
2012-12-25,61
2012-12-26,53
2012-12-27,45
2012-12-28,37
2012-12-29,30
2012-12-30,33
2012-12-31,36
2013-01-01,40
2013-01-02,43
2013-01-03,46
2013-01-04,49
2013-01-05,53
2013-01-06,56
2013-01-07,60
2013-01-08,67
2013-01-09,67
2013-01-10,69
2013-01-11,78
2013-01-12,78
2013-01-13,78
2013-01-14,79
2013-01-15,75
2013-01-16,78
2013-01-17,85
2013-01-18,81
2013-01-19,80
2013-01-20,80
2013-01-21,81
2013-01-22,86
2013-01-23,86
2013-01-24,81
2013-01-25,86
2013-01-26,85
2013-01-27,84
2013-01-28,83
2013-01-29,73
2013-01-30,88
2013-01-31,80
2013-02-01,79
2013-02-02,81
2013-02-03,78
2013-02-04,78
2013-02-05,76
2013-02-06,79
2013-02-07,70
2013-02-08,82
2013-02-09,75
2013-02-10,75
2013-02-11,75
2013-02-12,78
2013-02-13,64
2013-02-14,80
2013-02-15,74
2013-02-16,75
2013-02-17,76
2013-02-18,78
2013-02-19,79
2013-02-20,93
2013-02-21,75
2013-02-22,89
2013-02-23,91
2013-02-24,85
2013-02-25,82
2013-02-26,78
2013-02-27,75
2013-02-28,77
2013-03-01,69
2013-03-02,67
2013-03-03,68
2013-03-04,69
2013-03-05,76
2013-03-06,74
2013-03-07,69
2013-03-08,70
2013-03-09,76
2013-03-10,71
2013-03-11,69
2013-03-12,70
2013-03-13,65
2013-03-14,63
2013-03-15,57
2013-03-16,62
2013-03-17,62
2013-03-18,65
2013-03-19,61
2013-03-20,69
2013-03-21,73
2013-03-22,79
2013-03-23,80
2013-03-24,77
2013-03-25,74
2013-03-26,69
2013-03-27,66
2013-03-28,65
2013-03-29,62
2013-03-30,59
2013-03-31,61
2013-05-01,71
2013-05-02,63
2013-05-03,72
2013-05-04,63
2013-05-05,63
2013-05-06,63
2013-05-07,62
2013-05-08,65
2013-05-09,65
2013-05-10,65
2013-05-11,65
2013-05-12,65
2013-05-13,71
2013-05-14,63
2013-05-15,64
2013-05-16,72
2013-05-17,64
2013-05-18,68
2013-05-19,69
2013-05-20,71
2013-05-21,74
2013-05-22,74
2013-05-23,75
2013-05-24,77
2013-05-25,86
2013-05-26,78
2013-05-27,76
2013-05-28,73
2013-05-29,71
2013-05-30,69
2013-05-31,68
2013-06-01,65
2013-06-02,65
2013-06-03,65
2013-06-04,57
2013-06-05,68
2013-06-06,65
2013-06-07,67
2013-06-08,68
2013-06-09,70
2013-06-10,72
2013-06-11,73
2013-06-12,79
2013-06-13,74
2013-06-14,83
2013-06-15,83
2013-06-16,80
2013-06-17,77
2013-06-18,74
2013-06-19,74
2013-06-20,68
2013-06-21,65
2013-06-22,62
2013-06-23,62
2013-06-24,63
2013-06-25,64
2013-06-26,64
2013-06-27,61
2013-06-28,67
2013-06-29,66
2013-06-30,65
2013-07-01,65
2013-07-02,65
2013-07-03,65
2013-07-04,65
2013-07-05,65
2013-07-06,65
2013-07-07,67
2013-07-08,70
2013-07-09,75
2013-07-10,74
2013-07-11,72
2013-07-12,82
2013-07-13,81
2013-07-14,83
2013-07-15,85
2013-07-16,95
2013-07-17,90
2013-07-18,93
2013-07-19,94
2013-07-20,96
2013-07-21,92
2013-07-22,88
2013-07-23,90
2013-07-24,73
2013-07-25,82
2013-07-26,73
2013-07-27,69
2013-07-28,67
2013-07-29,66
2013-07-30,64
2013-07-31,66
2013-08-01,62
2013-08-02,56
2013-08-03,57
2013-08-04,58
2013-08-05,59
2013-08-06,61
2013-08-07,61
2013-08-08,65
2013-08-09,65
2013-08-10,64
2013-08-11,62
2013-08-12,61
2013-08-13,58
2013-08-14,57
2013-08-15,56
2013-08-16,55
2013-08-17,54
2013-08-18,55
2013-08-19,57
2013-08-20,64
2013-08-21,59
2013-08-22,63
2013-08-23,63
2013-08-24,64
2013-08-25,63
2013-08-26,63
2013-08-27,62
2013-08-28,61
2013-08-29,62
2013-08-30,59
2013-08-31,58
2013-09-01,58
2013-09-02,58
2013-09-03,62
2013-09-04,59
2013-09-05,59
2013-09-06,59
2013-09-07,59
2013-09-08,59
2013-09-09,59
2013-09-10,56
2013-09-11,61
2013-09-12,60
2013-09-13,56
2013-09-14,60
2013-09-15,59
2013-09-16,58
2013-09-17,61
2013-09-18,57
2013-09-19,53
2013-09-20,54
2013-09-21,54
2013-09-22,59
2013-09-23,63
2013-09-24,72
2013-09-25,71
2013-09-26,72
2013-09-27,85
2013-09-28,97
2013-09-29,82
2013-09-30,77
2013-10-01,72
2013-10-02,67
2013-10-03,59
2013-10-04,59
2013-10-05,51
2013-10-06,53
2013-10-07,54
2013-10-08,57
2013-10-09,58
2013-10-10,56
2013-10-11,69
2013-10-12,64
2013-10-13,63
2013-10-14,62
2013-10-15,61
2013-10-16,61
2013-10-17,60
2013-10-18,55
2013-10-19,55
2013-10-20,55
2013-10-21,56
2013-10-22,64
2013-10-23,58
2013-10-24,59
2013-10-25,59
2013-10-26,60
2013-10-27,60
2013-10-28,58
2013-10-29,63
2013-10-30,62
2013-10-31,63
2013-11-01,64
2013-11-02,65
2013-11-03,64
2013-11-04,56
2013-11-05,65
2013-11-06,61
2013-11-07,61
2013-11-08,60
2013-11-09,59
2013-11-10,61
2013-11-11,64
2013-11-12,66
2013-11-13,68
2013-11-14,74
2013-11-15,80
2013-11-16,78
2013-11-17,77
2013-11-18,77
2013-11-19,73
2013-11-20,75
2013-11-21,75
2013-11-22,82
2013-11-23,74
2013-11-24,71
2013-11-25,68
2013-11-26,70
2013-11-27,62
2013-11-28,57
2013-11-29,57
2013-11-30,52
2013-12-01,55
2013-12-02,58
2013-12-03,56
2013-12-04,59
2013-12-05,72
2013-12-06,74
2013-12-07,75
2013-12-08,74
2013-12-09,74
2013-12-10,71
2013-12-11,73
2013-12-12,78
2013-12-13,66
2013-12-14,71
2013-12-15,69
2013-12-16,68
2013-12-17,66
2013-12-18,71
2013-12-19,63
2013-12-20,62
2013-12-21,61
2013-12-22,55
2013-12-23,49
2013-12-24,43
2013-12-25,37
2013-12-26,31
2013-12-27,25
2013-12-28,20
2013-12-29,20
2013-12-30,21
2013-12-31,22
2014-01-01,23
2014-01-02,24
2014-01-03,25
2014-01-04,26
2014-01-05,31
2014-01-06,36
2014-01-07,38
2014-01-08,47
2014-01-09,53
2014-01-10,59
2014-01-11,64
2014-01-12,65
2014-01-13,66
2014-01-14,72
2014-01-15,66
2014-01-16,67
2014-01-17,65
2014-01-18,76
2014-01-19,70
2014-01-20,69
2014-01-21,63
2014-01-22,69
2014-01-23,71
2014-01-24,69
2014-01-25,63
2014-01-26,64
2014-01-27,65
2014-01-28,74
2014-01-29,63
2014-01-30,65
2014-01-31,68
2014-02-01,69
