Date,Viewsonic
2007-01-07,85
2007-01-08,84
2007-01-09,83
2007-01-10,82
2007-01-11,80
2007-01-12,79
2007-01-13,78
2007-01-14,77
2007-01-15,74
2007-01-16,73
2007-01-17,72
2007-01-18,71
2007-01-19,70
2007-01-20,69
2007-01-21,73
2007-01-22,77
2007-01-23,81
2007-01-24,85
2007-01-25,89
2007-01-26,92
2007-01-27,96
2007-01-28,93
2007-01-29,90
2007-01-30,87
2007-01-31,84
2007-02-01,82
2007-02-02,79
2007-02-03,76
2007-02-04,74
2007-02-05,71
2007-02-06,69
2007-02-07,68
2007-02-08,66
2007-02-09,64
2007-02-10,62
2007-02-11,65
2007-02-12,68
2007-02-13,71
2007-02-14,74
2007-02-15,76
2007-02-16,79
2007-02-17,82
2007-02-18,76
2007-02-19,69
2007-02-20,64
2007-02-21,59
2007-02-22,54
2007-02-23,48
2007-02-24,43
2007-02-25,47
2007-02-26,52
2007-02-27,57
2007-02-28,61
2007-03-01,65
2007-03-02,69
2007-03-03,74
2007-03-04,71
2007-03-05,66
2007-03-06,63
2007-03-07,60
2007-03-08,57
2007-03-09,54
2007-03-10,51
2007-03-11,50
2007-03-12,49
2007-03-13,49
2007-03-14,49
2007-03-15,49
2007-03-16,48
2007-03-17,48
2007-03-18,46
2007-03-19,44
2007-03-20,41
2007-03-21,39
2007-03-22,36
2007-03-23,34
2007-03-24,32
2007-03-25,33
2007-04-01,45
2007-04-02,48
2007-04-03,49
2007-04-04,51
2007-04-05,53
2007-04-06,55
2007-04-07,57
2007-04-08,55
2007-04-09,53
2007-04-10,52
2007-04-11,50
2007-04-12,48
2007-04-13,46
2007-04-14,45
2007-04-15,45
2007-04-16,44
2007-04-17,44
2007-04-18,44
2007-04-19,44
2007-04-20,44
2007-04-21,44
2007-04-22,48
2007-04-23,52
2007-04-24,55
2007-04-25,59
2007-04-26,62
2007-04-27,66
2007-04-28,70
2007-04-29,65
2007-04-30,60
2007-05-01,55
2007-05-02,51
2007-05-03,46
2007-05-04,41
2007-05-05,36
2007-05-06,35
2007-05-07,34
2007-05-08,33
2007-05-09,32
2007-05-10,31
2007-05-11,30
2007-05-12,28
2007-05-13,33
2007-05-14,37
2007-05-15,42
2007-05-16,46
2007-05-17,50
2007-05-18,55
2007-05-19,59
2007-05-20,59
2007-05-21,57
2007-05-22,56
2007-05-23,56
2007-05-24,55
2007-05-25,54
2007-05-26,53
2007-05-27,53
2007-05-28,53
2007-05-29,53
2007-05-30,52
2007-05-31,52
2007-06-01,51
2007-06-02,51
2007-06-03,47
2007-06-04,42
2007-06-05,38
2007-06-06,34
2007-06-07,31
2007-06-08,27
2007-06-09,23
2007-06-10,29
2007-06-11,35
2007-06-12,41
2007-06-13,46
2007-06-14,52
2007-06-15,58
2007-06-16,63
2007-06-17,58
2007-06-18,53
2007-06-19,48
2007-06-20,43
2007-06-21,38
2007-06-22,33
2007-06-23,28
2007-06-24,30
2007-07-01,37
2007-07-02,36
2007-07-03,35
2007-07-04,34
2007-07-05,33
2007-07-06,32
2007-07-07,30
2007-07-08,32
2007-07-09,33
2007-07-10,34
2007-07-11,35
2007-07-12,37
2007-07-13,38
2007-07-14,39
2007-07-15,40
2007-07-16,40
2007-07-17,41
2007-07-18,41
2007-07-19,42
2007-07-20,43
2007-07-21,43
