Date,FXCM
2010-03-01,89
2010-03-02,88
2010-03-03,87
2010-03-04,86
2010-03-05,85
2010-03-06,84
2010-03-07,83
2010-03-08,82
2010-03-09,81
2010-03-10,80
2010-03-11,79
2010-03-12,78
2010-03-13,77
2010-03-14,76
2010-03-15,75
2010-03-16,74
2010-03-17,73
2010-03-18,72
2010-03-19,71
2010-03-20,70
2010-03-21,69
2010-03-22,68
2010-03-23,67
2010-03-24,66
2010-03-25,65
2010-03-26,64
2010-03-27,63
2010-03-28,62
2010-03-29,61
2010-03-30,60
2010-03-31,59
2010-04-01,59
2010-04-02,60
2010-04-03,61
2010-04-04,63
2010-04-05,64
2010-04-06,65
2010-04-07,67
2010-04-08,68
2010-04-09,69
2010-04-10,71
2010-04-11,72
2010-04-12,74
2010-04-13,75
2010-04-14,76
2010-04-15,78
2010-04-16,79
2010-04-17,80
2010-04-18,82
2010-04-19,83
2010-04-20,84
2010-04-21,86
2010-04-22,87
2010-04-23,89
2010-04-24,90
2010-04-25,91
2010-04-26,93
2010-04-27,94
2010-04-28,95
2010-04-29,97
2010-04-30,98
2010-05-01,100
2010-05-02,99
2010-05-03,98
2010-05-04,97
2010-05-05,96
2010-05-06,95
2010-05-07,94
2010-05-08,93
2010-05-09,92
2010-05-10,91
2010-05-11,90
2010-05-12,89
2010-05-13,88
2010-05-14,87
2010-05-15,86
2010-05-16,85
2010-05-17,84
2010-05-18,83
2010-05-19,82
2010-05-20,81
2010-05-21,80
2010-05-22,79
2010-05-23,78
2010-05-24,77
2010-05-25,76
2010-05-26,75
2010-05-27,74
2010-05-28,73
2010-05-29,72
2010-05-30,71
2010-05-31,70
2010-06-01,70
2010-06-02,69
2010-06-03,69
2010-06-04,69
2010-06-05,69
2010-06-06,69
2010-06-07,69
2010-06-08,68
2010-06-09,68
2010-06-10,68
2010-06-11,68
2010-06-12,68
2010-06-13,68
2010-06-14,67
2010-06-15,67
2010-06-16,67
2010-06-17,67
2010-06-18,67
2010-06-19,67
2010-06-20,66
2010-06-21,66
2010-06-22,66
2010-06-23,66
2010-06-24,66
2010-06-25,66
2010-06-26,65
2010-06-27,65
2010-06-28,65
2010-06-29,65
2010-06-30,65
2010-07-01,65
2010-07-02,65
2010-07-03,65
2010-07-04,65
2010-07-05,66
2010-07-06,66
2010-07-07,66
2010-07-08,66
2010-07-09,67
2010-07-10,67
2010-07-11,67
2010-07-12,67
2010-07-13,68
2010-07-14,68
2010-07-15,68
2010-07-16,68
2010-07-17,69
2010-07-18,69
2010-07-19,69
2010-07-20,69
2010-07-21,70
2010-07-22,70
2010-07-23,70
2010-07-24,70
2010-07-25,71
2010-07-26,71
2010-07-27,71
2010-07-28,71
2010-07-29,72
2010-07-30,72
2010-07-31,72
2010-08-01,73
2010-08-02,72
2010-08-03,71
2010-08-04,70
2010-08-05,69
2010-08-06,69
2010-08-07,68
2010-08-08,67
2010-08-09,66
2010-08-10,66
2010-08-11,65
2010-08-12,64
2010-08-13,63
2010-08-14,62
2010-08-15,62
2010-08-16,61
2010-08-17,60
2010-08-18,59
2010-08-19,59
2010-08-20,58
2010-08-21,57
2010-08-22,56
2010-08-23,55
2010-08-24,55
2010-08-25,54
2010-08-26,53
2010-08-27,52
2010-08-28,52
2010-08-29,51
2010-08-30,50
2010-08-31,49
2010-09-01,49
2010-09-02,49
2010-09-03,50
2010-09-04,50
2010-09-05,51
2010-09-06,51
2010-09-07,52
2010-09-08,52
2010-09-09,53
2010-09-10,54
2010-09-11,54
2010-09-12,55
2010-09-13,55
2010-09-14,56
2010-09-15,56
2010-09-16,57
2010-09-17,58
2010-09-18,58
2010-09-19,59
2010-09-20,59
2010-09-21,60
2010-09-22,60
2010-09-23,61
2010-09-24,62
2010-09-25,62
2010-09-26,63
2010-09-27,63
2010-09-28,64
2010-09-29,64
2010-09-30,65
2010-10-01,66
2010-10-02,65
2010-10-03,65
2010-10-04,64
2010-10-05,64
2010-10-06,63
2010-10-07,63
2010-10-08,62
2010-10-09,62
2010-10-10,61
2010-10-11,61
2010-10-12,60
2010-10-13,60
2010-10-14,59
2010-10-15,59
2010-10-16,58
2010-10-17,58
2010-10-18,57
2010-10-19,57
2010-10-20,56
2010-10-21,56
2010-10-22,55
2010-10-23,55
2010-10-24,54
2010-10-25,54
2010-10-26,53
2010-10-27,53
2010-10-28,52
2010-10-29,52
2010-10-30,51
2010-10-31,51
2010-11-01,51
2010-11-02,51
2010-11-03,52
2010-11-04,53
2010-11-05,54
2010-11-06,55
2010-11-07,56
2010-11-08,57
2010-11-09,58
2010-11-10,59
2010-11-11,60
2010-11-12,60
2010-11-13,61
2010-11-14,62
2010-11-15,63
2010-11-16,64
2010-11-17,65
2010-11-18,66
2010-11-19,67
2010-11-20,68
2010-11-21,69
2010-11-22,69
2010-11-23,70
2010-11-24,71
2010-11-25,72
2010-11-26,73
2010-11-27,74
2010-11-28,75
2010-11-29,76
2010-11-30,77
2010-12-01,78
2010-12-02,77
2010-12-03,76
2010-12-04,75
2010-12-05,75
2010-12-06,74
2010-12-07,73
2010-12-08,73
2010-12-09,72
2010-12-10,71
2010-12-11,70
2010-12-12,70
2010-12-13,69
2010-12-14,68
2010-12-15,68
2010-12-16,67
2010-12-17,66
2010-12-18,65
