Date,AutoTrader
2011-12-10,82
2011-12-11,82
2011-12-12,81
2011-12-13,81
2011-12-14,80
2011-12-15,80
2011-12-16,79
2011-12-17,79
2011-12-18,75
2011-12-19,73
2011-12-20,70
2011-12-21,67
2011-12-22,64
2011-12-23,60
2011-12-24,57
2011-12-25,57
2011-12-26,56
2011-12-27,56
2011-12-28,56
2011-12-29,56
2011-12-30,56
2011-12-31,56
2012-01-01,56
2012-01-02,56
2012-01-03,56
2012-01-04,56
2012-01-05,56
2012-01-06,56
2012-01-07,56
2012-01-08,58
2012-01-09,60
2012-01-10,62
2012-01-11,64
2012-01-12,66
2012-01-13,68
2012-01-14,70
2012-01-15,68
2012-01-16,65
2012-01-17,63
2012-01-18,60
2012-01-19,58
2012-01-20,55
2012-01-21,53
2012-01-22,58
2012-01-23,62
2012-01-24,67
2012-01-25,72
2012-01-26,77
2012-01-27,82
2012-01-28,87
2012-01-29,87
2012-01-30,87
2012-01-31,87
2012-02-01,87
2012-02-02,87
2012-02-03,86
2012-02-04,86
2012-02-05,85
2012-02-06,84
2012-02-07,83
2012-02-08,81
2012-02-09,80
2012-02-10,79
2012-02-11,78
2012-02-12,81
2012-02-13,85
2012-02-14,88
2012-02-15,91
2012-02-16,94
2012-02-17,98
2012-02-18,101
2012-02-19,94
2012-02-20,87
2012-02-21,81
2012-02-22,74
2012-02-23,68
2012-02-24,62
2012-02-25,56
2012-02-26,58
2012-03-04,68
2012-03-05,66
2012-03-06,65
2012-03-07,64
2012-03-08,63
2012-03-09,61
2012-03-10,60
2012-03-11,63
2012-03-12,66
2012-03-13,69
2012-03-14,72
2012-03-15,75
2012-03-16,78
2012-03-17,81
2012-03-18,80
2012-03-19,80
2012-03-20,79
2012-03-21,78
2012-03-22,77
2012-03-23,76
2012-03-24,74
2012-03-25,72
2012-03-26,69
2012-03-27,66
2012-03-28,64
2012-03-29,61
2012-03-30,59
2012-03-31,57
2012-04-01,59
2012-04-02,61
2012-04-03,63
2012-04-04,66
2012-04-05,69
2012-04-06,72
2012-04-07,75
2012-04-08,78
2012-04-09,83
2012-04-10,86
2012-04-11,90
2012-04-12,93
2012-04-13,96
2012-04-14,100
2012-04-15,92
2012-04-16,84
2012-04-17,76
2012-04-18,69
2012-04-19,61
2012-04-20,54
2012-04-21,47
2012-04-22,48
2012-04-23,50
2012-04-24,52
2012-04-25,54
2012-04-26,56
2012-04-27,58
2012-04-28,60
2012-04-29,57
2012-04-30,55
2012-05-01,53
2012-05-02,51
2012-05-03,48
2012-05-04,46
2012-05-05,44
2012-05-06,43
2012-05-07,43
2012-05-08,42
2012-05-09,42
2012-05-10,42
2012-05-11,42
2012-05-12,41
2012-05-13,46
2012-05-14,52
2012-05-15,57
2012-05-16,62
2012-05-17,67
2012-05-18,72
2012-05-19,77
2012-05-20,73
2012-05-21,67
2012-05-22,64
2012-05-23,61
2012-05-24,58
2012-05-25,54
2012-05-26,51
2012-05-27,56
2012-06-03,85
2012-06-04,101
2012-06-05,65
2012-06-06,66
2012-06-07,64
2012-06-08,60
2012-06-09,56
2012-06-10,56
2012-06-11,56
2012-06-12,55
2012-06-13,53
2012-06-14,52
2012-06-15,51
2012-06-16,49
2012-06-17,50
2012-06-18,50
2012-06-19,50
2012-06-20,50
2012-06-21,50
2012-06-22,50
2012-06-23,50
2012-06-24,50
2012-06-25,51
2012-06-26,51
2012-06-27,51
2012-06-28,51
2012-06-29,51
2012-06-30,51
2012-07-01,50
2012-07-02,48
2012-07-03,47
2012-07-04,46
2012-07-05,45
2012-07-06,43
2012-07-07,42
2012-07-08,43
2012-07-09,44
2012-07-10,45
2012-07-11,47
2012-07-12,48
2012-07-13,49
2012-07-14,50
2012-07-15,51
2012-07-16,53
2012-07-17,54
2012-07-18,56
2012-07-19,57
2012-07-20,58
2012-07-21,59
2012-07-22,58
2012-07-23,56
2012-07-24,54
2012-07-25,53
2012-07-26,51
2012-07-27,49
2012-07-28,48
2012-07-29,50
2012-07-30,51
2012-07-31,53
2012-08-01,55
2012-08-02,56
2012-08-03,58
2012-08-04,60
2012-08-05,58
2012-08-06,55
2012-08-07,53
2012-08-08,50
2012-08-09,47
2012-08-10,45
2012-08-11,42
2012-08-12,44
2012-08-13,47
2012-08-14,49
2012-08-15,51
2012-08-16,53
2012-08-17,55
2012-08-18,57
2012-08-19,57
2012-08-20,56
2012-08-21,56
2012-08-22,56
2012-08-23,56
2012-08-24,56
2012-08-25,56
2012-08-26,55
2012-09-02,51
2012-09-03,52
2012-09-04,53
2012-09-05,53
2012-09-06,54
2012-09-07,55
2012-09-08,55
2012-09-09,56
2012-09-10,57
2012-09-11,58
2012-09-12,59
2012-09-13,60
2012-09-14,61
2012-09-15,62
2012-09-16,59
2012-09-17,56
2012-09-18,53
2012-09-19,51
2012-09-20,49
2012-09-21,46
2012-09-22,44
2012-09-23,46
2012-09-24,49
2012-09-25,52
2012-09-26,54
2012-09-27,56
