Date,Dollar General
2009-02-01,62
2009-02-02,61
2009-02-03,61
2009-02-04,61
2009-02-05,61
2009-02-06,61
2009-02-07,61
2009-02-08,61
2009-02-09,61
2009-02-10,61
2009-02-11,61
2009-02-12,61
2009-02-13,61
2009-02-14,61
2009-02-15,61
2009-02-16,60
2009-02-17,60
2009-02-18,60
2009-02-19,60
2009-02-20,60
2009-02-21,60
2009-02-22,60
2009-02-23,60
2009-02-24,60
2009-02-25,60
2009-02-26,60
2009-02-27,60
2009-02-28,60
2009-03-01,60
2009-03-02,60
2009-03-03,60
2009-03-04,60
2009-03-05,60
2009-03-06,60
2009-03-07,60
2009-03-08,60
2009-03-09,60
2009-03-10,60
2009-03-11,60
2009-03-12,60
2009-03-13,60
2009-03-14,60
2009-03-15,60
2009-03-16,60
2009-03-17,60
2009-03-18,60
2009-03-19,60
2009-03-20,60
2009-03-21,60
2009-03-22,60
2009-03-23,60
2009-03-24,60
2009-03-25,60
2009-03-26,60
2009-03-27,60
2009-03-28,60
2009-03-29,60
2009-03-30,60
2009-03-31,60
2009-04-01,61
2009-04-02,60
2009-04-03,59
2009-04-04,58
2009-04-05,57
2009-04-06,57
2009-04-07,56
2009-04-08,55
2009-04-09,54
2009-04-10,53
2009-04-11,53
2009-04-12,52
2009-04-13,51
2009-04-14,50
2009-04-15,49
2009-04-16,49
2009-04-17,48
2009-04-18,47
2009-04-19,46
2009-04-20,45
2009-04-21,45
2009-04-22,44
2009-04-23,43
2009-04-24,42
2009-04-25,41
2009-04-26,41
2009-04-27,40
2009-04-28,39
2009-04-29,38
2009-04-30,37
2009-05-01,37
2009-05-02,37
2009-05-03,37
2009-05-04,38
2009-05-05,38
2009-05-06,39
2009-05-07,39
2009-05-08,40
2009-05-09,40
2009-05-10,41
2009-05-11,41
2009-05-12,42
2009-05-13,42
2009-05-14,43
2009-05-15,43
2009-05-16,44
2009-05-17,44
2009-05-18,45
2009-05-19,45
2009-05-20,46
2009-05-21,46
2009-05-22,47
2009-05-23,47
2009-05-24,48
2009-05-25,48
2009-05-26,49
2009-05-27,49
2009-05-28,50
2009-05-29,50
2009-05-30,51
2009-05-31,51
2009-06-01,52
2009-06-02,51
2009-06-03,51
2009-06-04,50
2009-06-05,50
2009-06-06,49
2009-06-07,49
2009-06-08,48
2009-06-09,48
2009-06-10,48
2009-06-11,47
2009-06-12,47
2009-06-13,46
2009-06-14,46
2009-06-15,45
2009-06-16,45
2009-06-17,45
2009-06-18,44
2009-06-19,44
2009-06-20,43
2009-06-21,43
2009-06-22,42
2009-06-23,42
2009-06-24,42
2009-06-25,41
2009-06-26,41
2009-06-27,40
2009-06-28,40
2009-06-29,39
2009-06-30,39
2009-07-01,39
2009-07-02,40
2009-07-03,41
2009-07-04,42
2009-07-05,43
2009-07-06,44
2009-07-07,45
2009-07-08,47
2009-07-09,48
2009-07-10,49
2009-07-11,50
2009-07-12,51
2009-07-13,52
2009-07-14,54
2009-07-15,55
2009-07-16,56
2009-07-17,57
2009-07-18,58
2009-07-19,59
2009-07-20,61
2009-07-21,62
2009-07-22,63
2009-07-23,64
2009-07-24,65
2009-07-25,66
2009-07-26,68
2009-07-27,69
2009-07-28,70
2009-07-29,71
2009-07-30,72
2009-07-31,73
2009-08-01,75
2009-08-02,74
2009-08-03,73
2009-08-04,72
2009-08-05,71
2009-08-06,71
2009-08-07,70
2009-08-08,69
2009-08-09,68
2009-08-10,68
2009-08-11,67
2009-08-12,66
2009-08-13,65
2009-08-14,64
2009-08-15,64
2009-08-16,63
2009-08-17,62
2009-08-18,61
2009-08-19,61
2009-08-20,60
2009-08-21,59
2009-08-22,58
2009-08-23,57
2009-08-24,57
2009-08-25,56
2009-08-26,55
2009-08-27,54
2009-08-28,54
2009-08-29,53
2009-08-30,52
2009-08-31,51
2009-09-01,51
2009-09-02,50
2009-09-03,50
2009-09-04,50
2009-09-05,49
2009-09-06,49
2009-09-07,49
2009-09-08,49
2009-09-09,48
2009-09-10,48
2009-09-11,48
2009-09-12,48
2009-09-13,47
2009-09-14,47
2009-09-15,47
2009-09-16,47
2009-09-17,46
2009-09-18,46
2009-09-19,46
2009-09-20,45
2009-09-21,45
2009-09-22,45
2009-09-23,45
2009-09-24,44
2009-09-25,44
2009-09-26,44
2009-09-27,44
2009-09-28,43
2009-09-29,43
2009-09-30,43
2009-10-01,43
2009-10-02,44
2009-10-03,46
2009-10-04,48
2009-10-05,50
2009-10-06,52
2009-10-07,54
2009-10-08,55
2009-10-09,57
2009-10-10,59
2009-10-11,61
2009-10-12,63
2009-10-13,65
2009-10-14,66
2009-10-15,68
2009-10-16,70
2009-10-17,72
2009-10-18,74
2009-10-19,76
2009-10-20,77
2009-10-21,79
2009-10-22,81
2009-10-23,83
2009-10-24,85
2009-10-25,87
2009-10-26,88
2009-10-27,90
2009-10-28,92
2009-10-29,94
2009-10-30,96
2009-10-31,98
2009-11-01,100
2009-11-02,98
2009-11-03,96
2009-11-04,95
2009-11-05,93
2009-11-06,92
2009-11-07,90
2009-11-08,88
2009-11-09,87
2009-11-10,85
2009-11-11,84
2009-11-12,82
2009-11-13,80
2009-11-14,79
2009-11-15,77
2009-11-16,76
2009-11-17,74
2009-11-18,72
2009-11-19,71
2009-11-20,69
2009-11-21,68
2009-11-22,66
2009-11-23,64
2009-11-24,63
2009-11-25,61
2009-11-26,60
2009-11-27,58
2009-11-28,56
2009-11-29,55
2009-11-30,53
2009-12-01,52
2009-12-02,51
2009-12-03,51
2009-12-04,51
2009-12-05,51
2009-12-06,51
2009-12-07,51
2009-12-08,51
2009-12-09,51
2009-12-10,51
2009-12-11,51
2009-12-12,51
2009-12-13,51
2009-12-14,51
2009-12-15,51
2009-12-16,51
2009-12-17,50
2009-12-18,50
2009-12-19,50
2009-12-20,50
2009-12-21,50
2009-12-22,50
2009-12-23,50
2009-12-24,50
2009-12-25,50
2009-12-26,50
2009-12-27,50
2009-12-28,50
2009-12-29,50
2009-12-30,50
2009-12-31,50
2010-01-01,50
2010-01-02,49
2010-01-03,49
2010-01-04,49
2010-01-05,48
2010-01-06,48
2010-01-07,48
2010-01-08,47
2010-01-09,47
2010-01-10,47
2010-01-11,46
2010-01-12,46
2010-01-13,46
2010-01-14,45
2010-01-15,45
2010-01-16,45
2010-01-17,44
2010-01-18,44
2010-01-19,44
2010-01-20,43
2010-01-21,43
2010-01-22,43
2010-01-23,42
2010-01-24,42
2010-01-25,42
2010-01-26,41
2010-01-27,41
2010-01-28,41
2010-01-29,40
2010-01-30,40
2010-01-31,40
2010-02-01,40
2010-02-02,39
2010-02-03,39
2010-02-04,39
2010-02-05,38
2010-02-06,38
2010-02-07,38
2010-02-08,38
2010-02-09,37
2010-02-10,37
2010-02-11,37
2010-02-12,36
2010-02-13,36
2010-02-14,36
2010-02-15,36
2010-02-16,35
2010-02-17,35
