Date,Facebook
2011-08-01,38
2011-08-02,38
2011-08-03,40
2011-08-04,40
2011-08-05,40
2011-08-06,43
2011-08-07,44
2011-08-08,39
2011-08-09,45
2011-08-10,47
2011-08-11,45
2011-08-12,49
2011-08-13,51
2011-08-14,48
2011-08-15,44
2011-08-16,45
2011-08-17,45
2011-08-18,43
2011-08-19,43
2011-08-20,43
2011-08-21,42
2011-08-22,39
2011-08-23,41
2011-08-24,42
2011-08-25,41
2011-08-26,42
2011-08-27,43
2011-08-28,42
2011-08-29,39
2011-08-30,40
2011-08-31,39
2011-09-01,37
2011-09-02,37
2011-09-03,38
2011-09-04,37
2011-09-05,35
2011-09-06,39
2011-09-07,39
2011-09-08,40
2011-09-09,42
2011-09-10,42
2011-09-11,43
2011-09-12,39
2011-09-13,42
2011-09-14,43
2011-09-15,43
2011-09-16,43
2011-09-17,45
2011-09-18,44
2011-09-19,41
2011-09-20,44
2011-09-21,44
2011-09-22,43
2011-09-23,43
2011-09-24,46
2011-09-25,43
2011-09-26,41
2011-09-27,44
2011-09-28,43
2011-09-29,43
2011-09-30,43
2011-10-01,45
2011-10-02,41
2011-10-03,42
2011-10-04,43
2011-10-05,45
2011-10-06,43
2011-10-07,45
2011-10-08,46
2011-10-09,45
2011-10-10,41
2011-10-11,44
2011-10-12,42
2011-10-13,43
2011-10-14,42
2011-10-15,42
2011-10-16,41
2011-10-17,40
2011-10-18,40
2011-10-19,41
2011-10-20,40
2011-10-21,40
2011-10-22,41
2011-10-23,40
2011-10-24,37
2011-10-25,40
2011-10-26,40
2011-10-27,39
2011-10-28,39
2011-10-29,41
2011-10-30,40
2011-10-31,38
2011-11-01,40
2011-11-02,40
2011-11-03,40
2011-11-04,41
2011-11-05,42
2011-11-06,41
2011-11-07,39
2011-11-08,40
2011-11-09,40
2011-11-10,39
2011-11-11,40
2011-11-12,42
2011-11-13,39
2011-11-14,39
2011-11-15,41
2011-11-16,42
2011-11-17,42
2011-11-18,43
2011-11-19,46
2011-11-20,43
2011-11-21,40
2011-11-22,43
