Date,Bankrate
2010-10-01,84
2010-10-02,83
2010-10-03,82
2010-10-04,81
2010-10-05,81
2010-10-06,80
2010-10-07,79
2010-10-08,79
2010-10-09,78
2010-10-10,77
2010-10-11,77
2010-10-12,76
2010-10-13,75
2010-10-14,75
2010-10-15,74
2010-10-16,73
2010-10-17,73
2010-10-18,72
2010-10-19,71
2010-10-20,71
2010-10-21,70
2010-10-22,69
2010-10-23,69
2010-10-24,68
2010-10-25,67
2010-10-26,67
2010-10-27,66
2010-10-28,65
2010-10-29,65
2010-10-30,64
2010-10-31,63
2010-11-01,63
2010-11-02,64
2010-11-03,65
2010-11-04,66
2010-11-05,67
2010-11-06,68
2010-11-07,69
2010-11-08,70
2010-11-09,71
2010-11-10,72
2010-11-11,73
2010-11-12,74
2010-11-13,75
2010-11-14,76
2010-11-15,77
2010-11-16,78
2010-11-17,79
2010-11-18,80
2010-11-19,81
2010-11-20,82
2010-11-21,83
2010-11-22,84
2010-11-23,85
2010-11-24,86
2010-11-25,87
2010-11-26,88
2010-11-27,89
2010-11-28,90
2010-11-29,91
2010-11-30,92
2010-12-01,94
2010-12-02,93
2010-12-03,92
2010-12-04,92
2010-12-05,91
2010-12-06,91
2010-12-07,90
2010-12-08,90
2010-12-09,89
2010-12-10,89
2010-12-11,88
2010-12-12,87
2010-12-13,87
2010-12-14,86
2010-12-15,86
2010-12-16,85
2010-12-17,85
2010-12-18,84
2010-12-19,84
2010-12-20,83
2010-12-21,83
2010-12-22,82
2010-12-23,81
2010-12-24,81
2010-12-25,80
2010-12-26,80
2010-12-27,79
2010-12-28,79
2010-12-29,78
2010-12-30,78
2010-12-31,77
2011-01-01,77
2011-01-02,76
2011-01-03,75
2011-01-04,74
2011-01-05,74
2011-01-06,73
2011-01-07,72
2011-01-08,72
2011-01-09,71
2011-01-10,70
2011-01-11,69
2011-01-12,69
2011-01-13,68
2011-01-14,67
2011-01-15,67
2011-01-16,66
2011-01-17,65
2011-01-18,64
2011-01-19,64
2011-01-20,63
2011-01-21,62
2011-01-22,62
2011-01-23,61
2011-01-24,60
2011-01-25,59
2011-01-26,59
2011-01-27,58
2011-01-28,57
2011-01-29,57
2011-01-30,56
2011-01-31,55
2011-02-01,55
2011-02-02,54
2011-02-03,54
2011-02-04,54
2011-02-05,54
2011-02-06,54
2011-02-07,54
2011-02-08,54
2011-02-09,54
2011-02-10,54
2011-02-11,53
