Date,Nielsen Holdings
2009-12-01,58
2009-12-02,58
2009-12-03,59
2009-12-04,60
2009-12-05,61
2009-12-06,62
2009-12-07,62
2009-12-08,63
2009-12-09,64
2009-12-10,65
2009-12-11,66
2009-12-12,66
2009-12-13,67
2009-12-14,68
2009-12-15,69
2009-12-16,70
2009-12-17,70
2009-12-18,71
2009-12-19,72
2009-12-20,73
2009-12-21,74
2009-12-22,74
2009-12-23,75
2009-12-24,76
2009-12-25,77
2009-12-26,78
2009-12-27,78
2009-12-28,79
2009-12-29,80
2009-12-30,81
2009-12-31,82
2010-01-01,83
2010-01-02,81
2010-01-03,80
2010-01-04,79
2010-01-05,78
2010-01-06,77
2010-01-07,76
2010-01-08,75
2010-01-09,73
2010-01-10,72
2010-01-11,71
2010-01-12,70
2010-01-13,69
2010-01-14,68
2010-01-15,67
2010-01-16,66
2010-01-17,64
2010-01-18,63
2010-01-19,62
2010-01-20,61
2010-01-21,60
2010-01-22,59
2010-01-23,58
2010-01-24,57
2010-01-25,55
2010-01-26,54
2010-01-27,53
2010-01-28,52
2010-01-29,51
2010-01-30,50
2010-01-31,49
2010-02-01,48
2010-02-02,48
2010-02-03,49
2010-02-04,50
2010-02-05,50
2010-02-06,51
2010-02-07,52
2010-02-08,52
2010-02-09,53
2010-02-10,54
2010-02-11,54
2010-02-12,55
2010-02-13,56
2010-02-14,56
2010-02-15,57
2010-02-16,58
2010-02-17,58
2010-02-18,59
2010-02-19,60
2010-02-20,60
2010-02-21,61
2010-02-22,62
2010-02-23,62
2010-02-24,63
2010-02-25,64
2010-02-26,64
2010-02-27,65
2010-02-28,66
2010-03-01,67
2010-03-02,66
2010-03-03,66
2010-03-04,65
2010-03-05,65
2010-03-06,65
2010-03-07,64
2010-03-08,64
2010-03-09,64
2010-03-10,63
2010-03-11,63
2010-03-12,63
2010-03-13,62
2010-03-14,62
2010-03-15,62
2010-03-16,61
2010-03-17,61
2010-03-18,60
2010-03-19,60
2010-03-20,60
2010-03-21,59
2010-03-22,59
2010-03-23,59
2010-03-24,58
2010-03-25,58
2010-03-26,58
2010-03-27,57
2010-03-28,57
2010-03-29,57
2010-03-30,56
2010-03-31,56
2010-04-01,56
2010-04-02,56
2010-04-03,56
2010-04-04,56
2010-04-05,56
2010-04-06,56
2010-04-07,56
2010-04-08,56
2010-04-09,57
2010-04-10,57
2010-04-11,57
2010-04-12,57
2010-04-13,57
2010-04-14,57
2010-04-15,57
2010-04-16,58
2010-04-17,58
2010-04-18,58
2010-04-19,58
2010-04-20,58
2010-04-21,58
2010-04-22,58
2010-04-23,58
2010-04-24,59
2010-04-25,59
2010-04-26,59
2010-04-27,59
2010-04-28,59
2010-04-29,59
2010-04-30,59
2010-05-01,60
2010-05-02,60
2010-05-03,61
2010-05-04,62
2010-05-05,62
2010-05-06,63
2010-05-07,64
2010-05-08,65
2010-05-09,65
2010-05-10,66
2010-05-11,67
2010-05-12,68
2010-05-13,68
2010-05-14,69
2010-05-15,70
2010-05-16,71
2010-05-17,71
2010-05-18,72
2010-05-19,73
2010-05-20,74
2010-05-21,74
2010-05-22,75
2010-05-23,76
2010-05-24,77
2010-05-25,77
2010-05-26,78
2010-05-27,79
2010-05-28,80
2010-05-29,80
2010-05-30,81
2010-05-31,82
2010-06-01,83
2010-06-02,82
2010-06-03,81
2010-06-04,80
2010-06-05,79
2010-06-06,78
2010-06-07,77
2010-06-08,76
2010-06-09,75
2010-06-10,74
2010-06-11,74
2010-06-12,73
2010-06-13,72
2010-06-14,71
2010-06-15,70
2010-06-16,69
2010-06-17,68
2010-06-18,67
2010-06-19,66
2010-06-20,65
2010-06-21,65
2010-06-22,64
2010-06-23,63
2010-06-24,62
2010-06-25,61
2010-06-26,60
2010-06-27,59
2010-06-28,58
2010-06-29,57
2010-06-30,56
2010-07-01,56
2010-07-02,55
2010-07-03,55
2010-07-04,55
2010-07-05,54
2010-07-06,54
2010-07-07,54
2010-07-08,54
2010-07-09,53
2010-07-10,53
2010-07-11,53
2010-07-12,53
2010-07-13,52
2010-07-14,52
2010-07-15,52
2010-07-16,52
2010-07-17,51
2010-07-18,51
2010-07-19,51
2010-07-20,51
2010-07-21,50
2010-07-22,50
2010-07-23,50
2010-07-24,50
2010-07-25,49
2010-07-26,49
2010-07-27,49
2010-07-28,49
2010-07-29,48
2010-07-30,48
2010-07-31,48
2010-08-01,48
2010-08-02,48
2010-08-03,49
2010-08-04,49
2010-08-05,50
2010-08-06,50
2010-08-07,51
2010-08-08,52
2010-08-09,52
2010-08-10,53
2010-08-11,53
2010-08-12,54
2010-08-13,54
2010-08-14,55
2010-08-15,56
2010-08-16,56
2010-08-17,57
2010-08-18,57
2010-08-19,58
2010-08-20,59
2010-08-21,59
2010-08-22,60
2010-08-23,60
2010-08-24,61
2010-08-25,61
2010-08-26,62
2010-08-27,63
2010-08-28,63
2010-08-29,64
2010-08-30,64
2010-08-31,65
2010-09-01,66
2010-09-02,65
2010-09-03,65
2010-09-04,65
2010-09-05,65
2010-09-06,65
2010-09-07,65
2010-09-08,65
2010-09-09,65
2010-09-10,65
2010-09-11,65
2010-09-12,65
2010-09-13,65
2010-09-14,65
2010-09-15,65
2010-09-16,65
2010-09-17,65
2010-09-18,65
2010-09-19,65
2010-09-20,65
2010-09-21,65
2010-09-22,65
2010-09-23,65
2010-09-24,65
2010-09-25,65
2010-09-26,65
2010-09-27,65
2010-09-28,65
2010-09-29,65
2010-09-30,65
2010-10-01,65
2010-10-02,65
2010-10-03,65
2010-10-04,65
2010-10-05,65
2010-10-06,65
2010-10-07,65
2010-10-08,66
2010-10-09,66
2010-10-10,66
2010-10-11,66
2010-10-12,66
2010-10-13,66
2010-10-14,67
2010-10-15,67
2010-10-16,67
2010-10-17,67
2010-10-18,67
2010-10-19,67
2010-10-20,68
2010-10-21,68
2010-10-22,68
2010-10-23,68
2010-10-24,68
2010-10-25,68
2010-10-26,69
2010-10-27,69
2010-10-28,69
2010-10-29,69
2010-10-30,69
2010-10-31,69
2010-11-01,70
2010-11-02,69
2010-11-03,69
2010-11-04,69
2010-11-05,69
2010-11-06,69
2010-11-07,69
2010-11-08,68
2010-11-09,68
2010-11-10,68
2010-11-11,68
2010-11-12,68
2010-11-13,68
2010-11-14,67
2010-11-15,67
2010-11-16,67
2010-11-17,67
2010-11-18,67
2010-11-19,67
2010-11-20,66
2010-11-21,66
2010-11-22,66
2010-11-23,66
2010-11-24,66
2010-11-25,66
2010-11-26,65
2010-11-27,65
2010-11-28,65
2010-11-29,65
2010-11-30,65
2010-12-01,65
2010-12-02,66
2010-12-03,67
2010-12-04,68
2010-12-05,69
2010-12-06,70
2010-12-07,71
2010-12-08,72
2010-12-09,74
2010-12-10,75
2010-12-11,76
2010-12-12,77
2010-12-13,78
2010-12-14,79
2010-12-15,80
2010-12-16,81
2010-12-17,83
2010-12-18,84
2010-12-19,85
2010-12-20,86
2010-12-21,87
2010-12-22,88
2010-12-23,89
2010-12-24,90
2010-12-25,92
2010-12-26,93
2010-12-27,94
2010-12-28,95
2010-12-29,96
2010-12-30,97
2010-12-31,98
2011-01-01,100
2011-01-02,99
2011-01-03,98
2011-01-04,98
2011-01-05,97
2011-01-06,97
2011-01-07,96
2011-01-08,96
2011-01-09,95
2011-01-10,95
2011-01-11,94
2011-01-12,93
2011-01-13,93
2011-01-14,92
2011-01-15,92
2011-01-16,91
2011-01-17,91
2011-01-18,90
2011-01-19,90
2011-01-20,89
2011-01-21,89
2011-01-22,88
2011-01-23,87
2011-01-24,87
2011-01-25,86
2011-01-26,86
2011-01-27,85
2011-01-28,85
2011-01-29,84
2011-01-30,84
2011-01-31,83
2011-02-01,83
2011-02-02,82
2011-02-03,82
2011-02-04,82
2011-02-05,82
2011-02-06,82
2011-02-07,82
2011-02-08,82
2011-02-09,82
2011-02-10,82
2011-02-11,81
2011-02-12,81
2011-02-13,81
2011-02-14,81
2011-02-15,81
2011-02-16,81
2011-02-17,81
2011-02-18,81
2011-02-19,81
2011-02-20,80
2011-02-21,80
2011-02-22,80
2011-02-23,80
2011-02-24,80
2011-02-25,80
2011-02-26,80
2011-02-27,80
2011-02-28,80
2011-03-01,80
2011-03-02,79
2011-03-03,78
2011-03-04,78
2011-03-05,77
2011-03-06,76
2011-03-07,76
2011-03-08,75
2011-03-09,75
2011-03-10,74
2011-03-11,73
2011-03-12,73
2011-03-13,72
2011-03-14,72
2011-03-15,71
2011-03-16,70
2011-03-17,70
2011-03-18,69
2011-03-19,68
2011-03-20,68
2011-03-21,67
2011-03-22,67
2011-03-23,66
2011-03-24,65
2011-03-25,65
2011-03-26,64
2011-03-27,64
2011-03-28,63
2011-03-29,62
2011-03-30,62
2011-03-31,61
2011-04-01,61
2011-04-02,61
2011-04-03,61
2011-04-04,62
2011-04-05,62
2011-04-06,63
2011-04-07,63
2011-04-08,63
2011-04-09,64
2011-04-10,64
2011-04-11,65
2011-04-12,65
2011-04-13,65
2011-04-14,66
2011-04-15,66
2011-04-16,67
2011-04-17,67
2011-04-18,67
2011-04-19,68
2011-04-20,68
2011-04-21,69
2011-04-22,69
2011-04-23,69
2011-04-24,70
2011-04-25,70
2011-04-26,71
2011-04-27,71
2011-04-28,71
2011-04-29,72
2011-04-30,72
2011-05-01,73
2011-05-02,72
2011-05-03,72
2011-05-04,72
2011-05-05,72
2011-05-06,71
2011-05-07,71
2011-05-08,71
2011-05-09,71
2011-05-10,70
2011-05-11,70
2011-05-12,70
2011-05-13,70
2011-05-14,70
2011-05-15,69
2011-05-16,69
2011-05-17,69
2011-05-18,69
2011-05-19,68
2011-05-20,68
2011-05-21,68
2011-05-22,68
2011-05-23,68
2011-05-24,67
2011-05-25,67
2011-05-26,67
2011-05-27,67
2011-05-28,66
2011-05-29,66
2011-05-30,66
2011-05-31,66
2011-06-01,66
2011-06-02,65
2011-06-03,65
2011-06-04,64
2011-06-05,64
2011-06-06,63
2011-06-07,63
2011-06-08,62
2011-06-09,62
2011-06-10,61
2011-06-11,61
2011-06-12,60
2011-06-13,60
2011-06-14,59
2011-06-15,59
2011-06-16,59
2011-06-17,58
2011-06-18,58
2011-06-19,57
2011-06-20,57
2011-06-21,56
2011-06-22,56
2011-06-23,55
2011-06-24,55
2011-06-25,54
2011-06-26,54
2011-06-27,53
2011-06-28,53
2011-06-29,52
2011-06-30,52
2011-07-01,52
2011-07-02,52
2011-07-03,53
2011-07-04,54
2011-07-05,55
2011-07-06,56
2011-07-07,57
2011-07-08,58
2011-07-09,58
2011-07-10,59
2011-07-11,60
2011-07-12,61
2011-07-13,62
2011-07-14,63
2011-07-15,64
2011-07-16,65
2011-07-17,65
2011-07-18,66
2011-07-19,67
2011-07-20,68
2011-07-21,69
2011-07-22,70
2011-07-23,71
2011-07-24,72
2011-07-25,72
2011-07-26,73
2011-07-27,74
2011-07-28,75
2011-07-29,76
2011-07-30,77
2011-07-31,78
2011-08-01,79
2011-08-02,78
2011-08-03,77
2011-08-04,77
2011-08-05,76
2011-08-06,75
2011-08-07,75
2011-08-08,74
2011-08-09,74
2011-08-10,73
2011-08-11,72
2011-08-12,72
2011-08-13,71
2011-08-14,71
2011-08-15,70
2011-08-16,69
2011-08-17,69
2011-08-18,68
2011-08-19,67
2011-08-20,67
2011-08-21,66
2011-08-22,66
2011-08-23,65
2011-08-24,64
2011-08-25,64
2011-08-26,63
2011-08-27,63
2011-08-28,62
2011-08-29,61
2011-08-30,61
2011-08-31,60
2011-09-01,60
2011-09-02,60
2011-09-03,61
2011-09-04,62
2011-09-05,63
2011-09-06,63
2011-09-07,64
2011-09-08,65
2011-09-09,66
2011-09-10,66
2011-09-11,67
2011-09-12,68
2011-09-13,69
2011-09-14,69
2011-09-15,70
2011-09-16,71
2011-09-17,72
2011-09-18,73
2011-09-19,73
2011-09-20,74
2011-09-21,75
2011-09-22,76
2011-09-23,76
2011-09-24,77
2011-09-25,78
2011-09-26,79
2011-09-27,79
2011-09-28,80
2011-09-29,81
2011-09-30,82
2011-10-01,83
2011-10-02,82
2011-10-03,82
2011-10-04,82
2011-10-05,82
2011-10-06,81
2011-10-07,81
2011-10-08,81
2011-10-09,81
2011-10-10,80
2011-10-11,80
2011-10-12,80
2011-10-13,80
2011-10-14,80
2011-10-15,79
2011-10-16,79
2011-10-17,79
2011-10-18,79
2011-10-19,78
2011-10-20,78
2011-10-21,78
2011-10-22,78
2011-10-23,78
2011-10-24,77
2011-10-25,77
2011-10-26,77
2011-10-27,77
2011-10-28,76
2011-10-29,76
2011-10-30,76
2011-10-31,76
2011-11-01,76
