Date,West Corporation
2009-04-01,77
2009-04-02,76
2009-04-03,76
2009-04-04,76
2009-04-05,76
2009-04-06,76
2009-04-07,75
2009-04-08,75
2009-04-09,75
2009-04-10,75
2009-04-11,75
2009-04-12,74
2009-04-13,74
2009-04-14,74
2009-04-15,74
2009-04-16,74
2009-04-17,73
2009-04-18,73
2009-04-19,73
2009-04-20,73
2009-04-21,73
2009-04-22,72
2009-04-23,72
2009-04-24,72
2009-04-25,72
2009-04-26,72
2009-04-27,71
2009-04-28,71
2009-04-29,71
2009-04-30,71
2009-05-01,71
2009-05-02,71
2009-05-03,71
2009-05-04,71
2009-05-05,71
2009-05-06,71
2009-05-07,71
2009-05-08,71
2009-05-09,71
2009-05-10,71
2009-05-11,71
2009-05-12,71
2009-05-13,71
2009-05-14,71
2009-05-15,71
2009-05-16,71
2009-05-17,71
2009-05-18,71
2009-05-19,71
2009-05-20,71
2009-05-21,71
2009-05-22,71
2009-05-23,71
2009-05-24,71
2009-05-25,71
2009-05-26,71
2009-05-27,71
2009-05-28,71
2009-05-29,71
2009-05-30,71
2009-05-31,71
2009-06-01,71
2009-06-02,71
2009-06-03,71
2009-06-04,71
2009-06-05,71
2009-06-06,71
2009-06-07,71
2009-06-08,71
2009-06-09,71
2009-06-10,71
2009-06-11,71
2009-06-12,71
2009-06-13,71
2009-06-14,71
2009-06-15,71
2009-06-16,72
2009-06-17,72
2009-06-18,72
2009-06-19,72
2009-06-20,72
2009-06-21,72
2009-06-22,72
2009-06-23,72
2009-06-24,72
2009-06-25,72
2009-06-26,72
2009-06-27,72
2009-06-28,72
2009-06-29,72
2009-06-30,72
2009-07-01,73
2009-07-02,73
2009-07-03,73
2009-07-04,73
2009-07-05,73
2009-07-06,73
2009-07-07,73
2009-07-08,73
2009-07-09,73
2009-07-10,73
2009-07-11,73
2009-07-12,73
2009-07-13,73
2009-07-14,73
2009-07-15,73
2009-07-16,73
2009-07-17,73
2009-07-18,73
2009-07-19,73
2009-07-20,73
2009-07-21,73
2009-07-22,73
2009-07-23,73
2009-07-24,73
2009-07-25,73
2009-07-26,73
2009-07-27,73
2009-07-28,73
2009-07-29,73
2009-07-30,73
2009-07-31,73
2009-08-01,74
2009-08-02,74
2009-08-03,74
2009-08-04,74
2009-08-05,74
2009-08-06,74
2009-08-07,74
2009-08-08,74
2009-08-09,74
2009-08-10,74
2009-08-11,74
2009-08-12,74
2009-08-13,74
2009-08-14,74
2009-08-15,74
2009-08-16,74
2009-08-17,74
2009-08-18,74
2009-08-19,74
2009-08-20,74
2009-08-21,74
2009-08-22,74
2009-08-23,74
2009-08-24,74
2009-08-25,74
2009-08-26,74
2009-08-27,74
2009-08-28,74
2009-08-29,74
2009-08-30,74
2009-08-31,74
2009-09-01,75
2009-09-02,75
2009-09-03,75
2009-09-04,75
2009-09-05,75
2009-09-06,75
2009-09-07,75
2009-09-08,75
2009-09-09,75
2009-09-10,75
2009-09-11,75
2009-09-12,75
2009-09-13,75
2009-09-14,75
2009-09-15,75
2009-09-16,75
2009-09-17,75
2009-09-18,75
2009-09-19,75
2009-09-20,75
2009-09-21,75
2009-09-22,75
2009-09-23,75
2009-09-24,75
2009-09-25,75
2009-09-26,75
2009-09-27,75
2009-09-28,75
2009-09-29,75
2009-09-30,75
2009-10-01,76
2009-10-02,76
2009-10-03,76
2009-10-04,76
2009-10-05,76
2009-10-06,76
2009-10-07,76
2009-10-08,76
2009-10-09,76
2009-10-10,76
2009-10-11,76
2009-10-12,76
2009-10-13,76
2009-10-14,76
2009-10-15,76
2009-10-16,76
2009-10-17,76
2009-10-18,76
2009-10-19,76
2009-10-20,76
2009-10-21,76
2009-10-22,76
2009-10-23,76
2009-10-24,76
2009-10-25,76
2009-10-26,76
2009-10-27,76
2009-10-28,76
2009-10-29,76
2009-10-30,76
2009-10-31,76
2009-11-01,77
2009-11-02,76
2009-11-03,75
2009-11-04,75
2009-11-05,74
2009-11-06,74
2009-11-07,73
2009-11-08,72
2009-11-09,72
2009-11-10,71
2009-11-11,71
2009-11-12,70
2009-11-13,69
2009-11-14,69
2009-11-15,68
2009-11-16,68
2009-11-17,67
2009-11-18,66
2009-11-19,66
2009-11-20,65
2009-11-21,65
2009-11-22,64
2009-11-23,63
2009-11-24,63
2009-11-25,62
2009-11-26,62
2009-11-27,61
2009-11-28,60
2009-11-29,60
2009-11-30,59
2009-12-01,59
2009-12-02,59
2009-12-03,59
2009-12-04,59
2009-12-05,59
2009-12-06,59
2009-12-07,59
2009-12-08,59
2009-12-09,59
2009-12-10,59
2009-12-11,59
2009-12-12,59
2009-12-13,59
2009-12-14,59
2009-12-15,59
2009-12-16,59
2009-12-17,59
2009-12-18,59
2009-12-19,59
2009-12-20,59
2009-12-21,59
2009-12-22,59
2009-12-23,59
2009-12-24,59
2009-12-25,59
2009-12-26,59
2009-12-27,59
2009-12-28,59
2009-12-29,59
2009-12-30,59
2009-12-31,59
2010-01-01,59
2010-01-02,58
2010-01-03,58
2010-01-04,58
2010-01-05,58
2010-01-06,58
2010-01-07,58
2010-01-08,58
2010-01-09,58
2010-01-10,58
2010-01-11,58
2010-01-12,58
2010-01-13,58
2010-01-14,58
2010-01-15,58
2010-01-16,58
2010-01-17,58
2010-01-18,58
2010-01-19,58
2010-01-20,58
2010-01-21,58
2010-01-22,58
2010-01-23,58
2010-01-24,58
2010-01-25,58
2010-01-26,58
2010-01-27,58
2010-01-28,58
2010-01-29,58
2010-01-30,58
2010-01-31,58
2010-02-01,58
2010-02-02,58
2010-02-03,58
2010-02-04,58
2010-02-05,58
2010-02-06,58
2010-02-07,58
2010-02-08,58
2010-02-09,58
2010-02-10,58
2010-02-11,58
2010-02-12,58
2010-02-13,58
2010-02-14,58
2010-02-15,58
2010-02-16,58
2010-02-17,58
2010-02-18,58
2010-02-19,58
2010-02-20,58
2010-02-21,58
2010-02-22,58
2010-02-23,58
2010-02-24,58
2010-02-25,58
2010-02-26,58
2010-02-27,58
2010-02-28,58
2010-03-01,58
2010-03-02,58
2010-03-03,58
2010-03-04,58
2010-03-05,58
2010-03-06,58
2010-03-07,58
2010-03-08,58
2010-03-09,58
2010-03-10,58
2010-03-11,58
2010-03-12,58
2010-03-13,58
2010-03-14,58
2010-03-15,58
2010-03-16,58
2010-03-17,58
2010-03-18,58
2010-03-19,58
2010-03-20,58
2010-03-21,58
2010-03-22,58
2010-03-23,58
2010-03-24,58
2010-03-25,58
2010-03-26,58
2010-03-27,58
2010-03-28,58
2010-03-29,58
2010-03-30,58
2010-03-31,58
2010-04-01,58
2010-04-02,58
2010-04-03,59
2010-04-04,60
2010-04-05,61
2010-04-06,62
2010-04-07,63
2010-04-08,64
