Date,Bleach
2012-08-01,92
2012-08-02,91
2012-08-03,90
2012-08-04,89
2012-08-05,88
2012-08-06,87
2012-08-07,86
2012-08-08,85
2012-08-09,85
2012-08-10,84
2012-08-11,83
2012-08-12,82
2012-08-13,81
2012-08-14,80
2012-08-15,79
2012-08-16,78
2012-08-17,78
2012-08-18,77
2012-08-19,76
2012-08-20,75
2012-08-21,74
2012-08-22,73
2012-08-23,72
2012-08-24,71
2012-08-25,71
2012-08-26,70
2012-08-27,69
2012-08-28,68
2012-08-29,67
2012-08-30,66
2012-08-31,65
2012-09-01,65
2012-09-02,65
2012-09-03,66
2012-09-04,66
2012-09-05,67
2012-09-06,68
2012-09-07,68
2012-09-08,69
2012-09-09,69
2012-09-10,70
2012-09-11,71
2012-09-12,71
2012-09-13,72
2012-09-14,72
2012-09-15,73
2012-09-16,74
2012-09-17,74
2012-09-18,75
2012-09-19,75
2012-09-20,76
2012-09-21,77
2012-09-22,77
2012-09-23,78
2012-09-24,78
2012-09-25,79
2012-09-26,80
2012-09-27,80
2012-09-28,81
2012-09-29,81
2012-09-30,82
2012-10-01,83
2012-10-02,83
2012-10-03,84
2012-10-04,84
2012-10-05,85
2012-10-06,85
2012-10-07,86
2012-10-08,86
2012-10-09,87
2012-10-10,87
2012-10-11,88
2012-10-12,89
2012-10-13,89
2012-10-14,90
2012-10-15,90
2012-10-16,91
2012-10-17,91
2012-10-18,92
2012-10-19,92
2012-10-20,93
2012-10-21,93
2012-10-22,94
2012-10-23,95
2012-10-24,95
2012-10-25,96
2012-10-26,96
2012-10-27,97
2012-10-28,97
2012-10-29,98
2012-10-30,98
2012-10-31,99
2012-11-01,100
2012-11-02,99
2012-11-03,99
2012-11-04,99
2012-11-05,99
2012-11-06,99
2012-11-07,98
2012-11-08,98
2012-11-09,98
2012-11-10,98
2012-11-11,98
2012-11-12,97
2012-11-13,97
2012-11-14,97
2012-11-15,97
2012-11-16,97
2012-11-17,96
2012-11-18,96
2012-11-19,96
2012-11-20,96
2012-11-21,96
2012-11-22,95
2012-11-23,95
2012-11-24,95
2012-11-25,95
2012-11-26,95
2012-11-27,94
2012-11-28,94
2012-11-29,94
2012-11-30,94
2012-12-01,94
2012-12-02,93
2012-12-03,92
2012-12-04,91
2012-12-05,91
2012-12-06,90
2012-12-07,89
2012-12-08,88
2012-12-09,88
2012-12-10,87
2012-12-11,86
2012-12-12,85
2012-12-13,85
2012-12-14,84
2012-12-15,83
2012-12-16,82
2012-12-17,82
2012-12-18,81
2012-12-19,80
2012-12-20,79
2012-12-21,79
2012-12-22,78
2012-12-23,77
2012-12-24,76
2012-12-25,76
2012-12-26,75
2012-12-27,74
2012-12-28,73
2012-12-29,73
2012-12-30,72
2012-12-31,71
2013-01-01,71
2013-01-02,71
2013-01-03,72
2013-01-04,72
2013-01-05,73
