Date,Canaccord Adams Inc
2010-09-11,37
2010-09-12,40
2010-09-13,43
2010-09-14,46
2010-09-15,49
2010-09-16,52
2010-09-17,55
2010-09-18,59
2010-09-19,59
2010-09-20,59
2010-09-21,59
2010-09-22,59
2010-09-23,59
2010-09-24,59
2010-09-25,59
2010-09-26,61
2010-09-27,63
2010-09-28,66
2010-09-29,68
2010-09-30,70
2010-10-01,73
2010-10-02,75
2010-10-03,73
2010-10-04,70
2010-10-05,68
2010-10-06,66
2010-10-07,64
2010-10-08,62
2010-10-09,60
2010-10-10,59
2010-10-11,58
2010-10-12,57
2010-10-13,56
2010-10-14,55
2010-10-15,54
2010-10-16,53
2010-10-17,52
2010-10-18,51
2010-10-19,50
2010-10-20,49
2010-10-21,48
2010-10-22,47
2010-10-23,47
2010-10-24,49
2010-10-25,51
2010-10-26,53
2010-10-27,56
2010-10-28,58
2010-10-29,60
2010-10-30,62
2010-10-31,60
2010-11-07,42
2010-11-08,42
2010-11-09,42
2010-11-10,42
2010-11-11,42
2010-11-12,42
2010-11-13,42
2010-11-14,43
2010-11-15,44
2010-11-16,46
2010-11-17,47
2010-11-18,49
2010-11-19,50
2010-11-20,52
2010-11-21,57
2010-11-22,62
2010-11-23,67
2010-11-24,72
2010-11-25,77
2010-11-26,82
2010-11-27,87
2010-11-28,81
2010-11-29,75
2010-11-30,69
2010-12-01,63
2010-12-02,57
2010-12-03,51
2010-12-04,45
2010-12-05,46
2010-12-06,48
2010-12-07,49
2010-12-08,50
2010-12-09,52
2010-12-10,53
2010-12-11,55
2010-12-12,53
2010-12-13,51
2010-12-14,49
2010-12-15,47
2010-12-16,45
2010-12-17,43
2010-12-18,42
2010-12-19,42
2010-12-20,42
2010-12-21,43
2010-12-22,43
2010-12-23,43
2010-12-24,44
2010-12-25,44
2010-12-26,42
2010-12-27,40
2010-12-28,38
2010-12-29,36
2010-12-30,34
2010-12-31,32
2011-01-01,31
2011-01-02,32
2011-01-03,34
2011-01-04,36
2011-01-05,38
2011-01-06,40
2011-01-07,42
2011-01-08,44
2011-01-09,43
2011-01-10,42
2011-01-11,41
2011-01-12,40
2011-01-13,39
2011-01-14,38
2011-01-15,38
2011-01-16,41
2011-01-17,44
2011-01-18,47
2011-01-19,51
2011-01-20,54
2011-01-21,57
2011-01-22,61
2011-01-23,60
2011-01-24,59
2011-01-25,58
2011-01-26,57
2011-01-27,56
2011-01-28,55
2011-01-29,54
2011-01-30,56
2011-02-06,66
2011-02-07,63
2011-02-08,60
2011-02-09,58
2011-02-10,55
2011-02-11,52
2011-02-12,50
2011-02-13,49
2011-02-14,49
2011-02-15,48
2011-02-16,48
2011-02-17,47
2011-02-18,47
2011-02-19,46
2011-02-20,45
2011-02-21,43
2011-02-22,42
2011-02-23,41
2011-02-24,40
2011-02-25,39
2011-02-26,38
2011-02-27,41
2011-02-28,45
2011-03-01,48
2011-03-02,52
2011-03-03,55
2011-03-04,58
2011-03-05,62
2011-03-06,60
2011-03-07,59
2011-03-08,57
2011-03-09,55
2011-03-10,54
2011-03-11,52
2011-03-12,51
2011-03-13,48
2011-03-14,44
2011-03-15,41
2011-03-16,38
2011-03-17,35
2011-03-18,32
2011-03-19,29
2011-03-20,30
2011-03-21,31
2011-03-22,32
2011-03-23,33
2011-03-24,34
2011-03-25,35
2011-03-26,36
2011-03-27,38
2011-05-01,35
2011-05-02,37
2011-05-03,38
2011-05-04,40
2011-05-05,41
2011-05-06,43
2011-05-07,44
2011-05-08,44
2011-05-09,43
2011-05-10,42
2011-05-11,42
2011-05-12,41
2011-05-13,41
2011-05-14,40
2011-05-15,39
2011-05-16,37
2011-05-17,36
2011-05-18,35
2011-05-19,34
2011-05-20,33
2011-05-21,32
2011-05-22,34
2011-05-23,37
2011-05-24,40
2011-05-25,42
2011-05-26,45
2011-05-27,48
2011-05-28,51
2011-05-29,51
2011-05-30,52
2011-05-31,53
2011-06-01,53
2011-06-02,54
2011-06-03,54
2011-06-04,55
2011-06-05,56
2011-06-06,57
2011-06-07,58
2011-06-08,59
2011-06-09,60
2011-06-10,61
2011-06-11,62
2011-06-12,59
2011-06-13,57
2011-06-14,55
2011-06-15,52
2011-06-16,50
2011-06-17,47
2011-06-18,45
2011-06-19,44
2011-06-20,43
2011-06-21,43
2011-06-22,42
2011-06-23,41
2011-06-24,41
2011-06-25,40
2011-06-26,39
2011-06-27,37
2011-06-28,36
2011-06-29,35
2011-06-30,34
2011-07-01,33
2011-07-02,32
2011-07-03,34
2011-07-04,36
2011-07-05,38
2011-07-06,41
2011-07-07,43
2011-07-08,45
2011-07-09,48
2011-07-10,48
2011-07-11,48
2011-07-12,48
2011-07-13,48
2011-07-14,48
2011-07-15,48
2011-07-16,48
2011-07-17,49
2011-07-18,51
2011-07-19,52
2011-07-20,54
2011-07-21,56
2011-07-22,57
2011-07-23,59
2011-07-24,57
2011-07-25,56
2011-07-26,54
2011-07-27,53
2011-07-28,52
2011-07-29,50
2011-07-30,49
2011-07-31,47
