Date,Wells Fargo Securities
2012-01-01,66
2012-01-02,73
2012-01-03,69
2012-01-04,72
2012-01-05,77
2012-01-06,74
2012-01-07,83
2012-01-08,76
2012-01-09,76
2012-01-10,76
2012-01-11,79
2012-01-12,77
2012-01-13,77
2012-01-14,86
2012-01-15,78
2012-01-16,78
2012-01-17,78
2012-01-18,85
2012-01-19,79
2012-01-20,81
2012-01-21,85
2012-01-22,88
2012-01-23,78
2012-01-24,78
2012-01-25,78
2012-01-26,77
2012-01-27,77
2012-01-28,84
2012-01-29,77
2012-01-30,78
2012-01-31,80
2012-02-01,80
2012-02-02,81
2012-02-03,83
2012-02-04,91
2012-02-05,83
2012-02-06,83
2012-02-07,83
2012-02-08,83
2012-02-09,85
2012-02-10,83
2012-02-11,93
2012-02-12,84
2012-02-13,83
2012-02-14,82
2012-02-15,86
2012-02-16,84
2012-02-17,81
2012-02-18,95
2012-02-19,81
2012-02-20,87
2012-02-21,83
2012-02-22,83
2012-02-23,91
2012-02-24,85
2012-02-25,91
2012-02-26,92
2012-02-27,84
2012-02-28,83
2012-02-29,83
2012-03-01,86
2012-03-02,84
2012-03-03,84
2012-03-04,80
2012-03-05,80
2012-03-06,79
2012-03-07,79
2012-03-08,79
2012-03-09,78
2012-03-10,82
2012-03-11,81
2012-03-12,80
2012-03-13,81
2012-03-14,82
2012-03-15,87
2012-03-16,84
2012-03-17,100
2012-03-18,86
2012-03-19,87
2012-03-20,90
2012-03-21,90
2012-03-22,93
2012-03-23,95
2012-03-24,97
2012-03-25,103
2012-03-26,92
2012-03-27,91
2012-03-28,89
2012-03-29,88
2012-03-30,92
2012-03-31,90
2012-04-01,86
2012-04-02,86
2012-04-03,86
2012-04-04,92
2012-04-05,86
2012-04-06,86
2012-04-07,94
2012-04-08,92
2012-04-09,83
2012-04-10,82
2012-04-11,83
2012-04-12,80
2012-04-13,84
2012-04-14,84
2012-04-15,79
2012-04-16,80
2012-04-17,82
2012-04-18,84
2012-04-19,83
2012-04-20,86
2012-04-21,90
2012-04-22,94
2012-04-23,84
2012-04-24,84
2012-04-25,85
2012-04-26,88
2012-04-27,82
2012-04-28,93
2012-04-29,83
2012-04-30,80
2012-05-01,81
2012-05-02,79
2012-05-03,80
2012-05-04,77
2012-05-05,87
2012-05-06,79
2012-05-07,74
2012-05-08,73
2012-05-09,79
2012-05-10,71
2012-05-11,72
2012-05-12,73
2012-05-13,71
2012-05-14,73
2012-05-15,75
2012-05-16,77
2012-05-17,82
2012-05-18,81
2012-05-19,94
2012-05-20,80
2012-05-21,78
2012-05-22,75
2012-05-23,73
2012-05-24,75
2012-05-25,68
2012-05-26,73
2012-05-27,65
2012-05-28,65
2012-05-29,64
2012-05-30,64
2012-05-31,63
2012-06-01,66
2012-06-02,71
2012-06-03,64
2012-06-04,66
2012-06-05,72
2012-06-06,69
2012-06-07,70
2012-06-08,73
2012-06-09,78
2012-06-10,77
2012-06-11,72
2012-06-12,72
2012-06-13,71
2012-06-14,77
2012-06-15,70
2012-06-16,78
2012-06-17,73
2012-06-18,69
