Date,JP Morgan Securities
2010-09-01,59
2010-09-02,61
2010-09-03,59
2010-09-04,66
2010-09-05,60
2010-09-06,60
2010-09-07,60
2010-09-08,61
2010-09-09,64
2010-09-10,61
2010-09-11,65
2010-09-12,67
2010-09-13,67
2010-09-14,70
2010-09-15,76
2010-09-16,76
2010-09-17,80
2010-09-18,87
2010-09-19,79
2010-09-20,76
2010-09-21,73
2010-09-22,74
2010-09-23,67
2010-09-24,64
2010-09-25,65
2010-09-26,62
2010-09-27,64
2010-09-28,66
2010-09-29,69
2010-09-30,70
2010-10-01,72
2010-10-02,87
2010-10-03,73
2010-10-04,73
2010-10-05,73
2010-10-06,81
2010-10-07,73
2010-10-08,76
2010-10-09,77
2010-10-10,78
2010-10-11,77
2010-10-12,80
2010-10-13,82
2010-10-14,91
2010-10-15,91
2010-10-16,90
2010-10-17,88
2010-10-18,87
2010-10-19,87
2010-10-20,88
2010-10-21,86
2010-10-22,88
2010-10-23,88
2010-10-24,82
2010-10-25,80
2010-10-26,78
2010-10-27,81
2010-10-28,74
2010-10-29,74
2010-10-30,70
2010-10-31,69
2010-11-01,69
2010-11-02,74
2010-11-03,70
2010-11-04,67
2010-11-05,67
2010-11-06,73
2010-11-07,68
2010-11-08,69
2010-11-09,70
2010-11-10,73
2010-11-11,77
2010-11-12,74
2010-11-13,79
2010-11-14,78
2010-11-15,80
2010-11-16,88
2010-11-17,84
2010-11-18,88
2010-11-19,88
2010-11-20,101
2010-11-21,91
2010-11-22,82
2010-11-23,78
2010-11-24,79
2010-11-25,73
2010-11-26,68
2010-11-27,62
2010-11-28,62
2010-11-29,62
2010-11-30,63
2010-12-01,63
2010-12-02,64
2010-12-03,64
2010-12-04,70
2010-12-05,69
2010-12-06,74
2010-12-07,79
2010-12-08,86
2010-12-09,92
2010-12-10,93
2010-12-11,99
2010-12-12,94
2010-12-13,91
2010-12-14,88
2010-12-15,85
2010-12-16,80
2010-12-17,79
2010-12-18,78
2010-12-19,71
2010-12-20,69
2010-12-21,66
2010-12-22,64
2010-12-23,63
2010-12-24,60
2010-12-25,57
2010-12-26,56
2010-12-27,56
2010-12-28,59
2010-12-29,56
2010-12-30,57
2010-12-31,56
2011-01-01,56
2011-01-02,58
2011-01-03,61
2011-01-04,65
2011-01-05,66
2011-01-06,69
2011-01-07,72
2011-01-08,81
2011-01-09,80
2011-01-10,76
2011-01-11,77
2011-01-12,81
2011-01-13,79
2011-01-14,80
2011-01-15,94
2011-01-16,81
2011-01-17,79
2011-01-18,78
2011-01-19,78
2011-01-20,79
2011-01-21,75
2011-01-22,82
2011-01-23,74
2011-01-24,73
2011-01-25,72
2011-01-26,71
2011-01-27,73
2011-01-28,69
2011-01-29,74
2011-01-30,66
2011-01-31,65
2011-02-01,64
2011-02-02,65
2011-02-03,61
2011-02-04,60
2011-02-05,59
2011-02-06,60
2011-02-07,62
2011-02-08,63
2011-02-09,66
2011-02-10,66
2011-02-11,68
2011-02-12,74
2011-02-13,72
2011-02-14,70
2011-02-15,72
2011-02-16,71
2011-02-17,76
2011-02-18,72
2011-02-19,83
2011-02-20,71
2011-02-21,69
2011-02-22,67
2011-02-23,65
2011-02-24,67
2011-02-25,61
2011-02-26,67
2011-02-27,62
2011-02-28,65
2011-03-01,67
2011-03-02,76
2011-03-03,72
2011-03-04,78
2011-03-05,82
2011-03-06,77
2011-03-07,77
2011-03-08,78
2011-03-09,77
2011-03-10,80
2011-03-11,83
2011-03-12,77
2011-03-13,76
2011-03-14,75
2011-03-15,74
2011-03-16,73
2011-03-17,74
2011-03-18,71
2011-03-19,72
2011-03-20,70
2011-03-21,70
2011-03-22,72
2011-03-23,70
2011-03-24,70
2011-03-25,75
2011-03-26,71
