Date,Citigroup
2012-06-01,58
2012-06-02,58
2012-06-03,60
2012-06-04,62
2012-06-05,68
2012-06-06,66
2012-06-07,68
2012-06-08,70
2012-06-09,77
2012-06-10,71
2012-06-11,70
2012-06-12,69
2012-06-13,74
2012-06-14,67
2012-06-15,66
2012-06-16,72
2012-06-17,62
2012-06-18,59
2012-06-19,56
2012-06-20,54
2012-06-21,51
2012-06-22,49
2012-06-23,48
2012-06-24,46
2012-06-25,46
2012-06-26,46
2012-06-27,46
2012-06-28,46
2012-06-29,46
2012-06-30,47
2012-07-01,47
2012-07-02,47
2012-07-03,47
2012-07-04,51
2012-07-05,48
2012-07-06,48
2012-07-07,49
2012-07-08,49
2012-07-09,50
2012-07-10,51
2012-07-11,52
2012-07-12,53
2012-07-13,54
2012-07-14,55
2012-07-15,57
2012-07-16,59
2012-07-17,70
2012-07-18,64
2012-07-19,68
2012-07-20,68
2012-07-21,77
2012-07-22,68
2012-07-23,65
2012-07-24,63
2012-07-25,60
2012-07-26,58
2012-07-27,55
2012-07-28,53
2012-07-29,52
2012-07-30,51
2012-07-31,50
2012-08-01,49
2012-08-02,48
2012-08-03,50
2012-08-04,46
2012-08-05,46
2012-08-06,46
2012-08-07,46
2012-08-08,48
2012-08-09,47
2012-08-10,47
2012-08-11,48
2012-08-12,47
2012-08-13,46
2012-08-14,45
2012-08-15,45
2012-08-16,44
2012-08-17,43
2012-08-18,43
2012-08-19,43
2012-08-20,48
2012-08-21,45
2012-08-22,45
2012-08-23,47
2012-08-24,47
2012-08-25,48
2012-08-26,45
2012-08-27,43
2012-08-28,40
2012-08-29,39
2012-08-30,35
2012-08-31,33
2012-09-01,31
2012-09-02,33
2012-09-03,35
2012-09-04,37
2012-09-05,40
2012-09-06,41
2012-09-07,43
2012-09-08,46
2012-09-09,47
2012-09-10,49
2012-09-11,51
2012-09-12,53
2012-09-13,57
2012-09-14,57
2012-09-15,60
2012-09-16,58
2012-09-17,57
2012-09-18,59
2012-09-19,54
2012-09-20,53
2012-09-21,51
2012-09-22,51
2012-09-23,50
2012-09-24,50
2012-09-25,50
2012-09-26,50
2012-09-27,53
2012-09-28,50
2012-09-29,51
2012-09-30,51
2012-10-01,51
2012-10-02,52
2012-10-03,52
2012-10-04,53
2012-10-05,52
2012-10-06,56
2012-10-07,53
2012-10-08,53
2012-10-09,53
2012-10-10,54
2012-10-11,53
2012-10-12,53
2012-10-13,53
2012-10-14,59
2012-10-15,66
2012-10-16,73
2012-10-17,88
2012-10-18,91
2012-10-19,98
2012-10-20,100
2012-10-21,95
2012-10-22,91
2012-10-23,90
2012-10-24,82
2012-10-25,77
2012-10-26,79
2012-10-27,70
2012-10-28,65
2012-10-29,62
