Date,Credit Suisse
2013-11-20,54
2013-11-21,55
2013-11-22,60
2013-11-23,58
2013-11-24,57
2013-11-25,56
2013-11-26,55
2013-11-27,55
2013-11-28,54
2013-11-29,55
2013-11-30,53
2013-12-01,53
2013-12-02,53
2013-12-03,56
2013-12-04,53
2013-12-05,55
2013-12-06,53
2013-12-07,54
2013-12-08,55
2013-12-09,56
2013-12-10,59
2013-12-11,58
2013-12-12,61
2013-12-13,60
2013-12-14,61
2013-12-15,59
2013-12-16,57
2013-12-17,56
2013-12-18,54
2013-12-19,53
2013-12-20,53
2013-12-21,50
2013-12-22,50
2013-12-23,50
2013-12-24,50
2013-12-25,50
2013-12-26,50
2013-12-27,50
2013-12-28,51
2013-12-29,51
2013-12-30,52
2013-12-31,52
2014-01-01,53
2014-01-02,53
2014-01-03,54
2014-01-04,60
2014-01-05,54
2014-01-06,54
2014-01-07,53
2014-01-08,53
2014-01-09,55
2014-01-10,53
2014-01-11,52
2014-01-12,54
2014-01-13,56
2014-01-14,58
2014-01-15,62
2014-01-16,62
2014-01-17,64
2014-01-18,67
2014-01-19,64
2014-01-20,61
2014-01-21,59
2014-01-22,56
2014-01-23,57
2014-01-24,52
2014-01-25,49
2014-01-26,49
2014-01-27,49
2014-01-28,51
2014-01-29,50
2014-01-30,51
2014-01-31,51
2014-02-01,52
