Date,Goldman Sachs
2013-08-20,71
2013-08-21,72
2013-08-22,72
2013-08-23,72
2013-08-24,82
2013-08-25,70
2013-08-26,67
2013-08-27,65
2013-08-28,63
2013-08-29,60
2013-08-30,57
2013-08-31,57
2013-09-01,53
2013-09-02,51
2013-09-03,51
2013-09-04,47
2013-09-05,47
2013-09-06,46
2013-09-07,42
2013-09-08,45
2013-09-09,48
2013-09-10,51
2013-09-11,54
2013-09-12,60
2013-09-13,63
2013-09-14,64
2013-09-15,63
2013-09-16,62
2013-09-17,62
2013-09-18,62
2013-09-19,63
2013-09-20,58
2013-09-21,58
2013-09-22,58
2013-09-23,59
2013-09-24,60
2013-09-25,60
2013-09-26,68
2013-09-27,63
2013-09-28,63
2013-09-29,62
2013-09-30,61
2013-10-01,60
2013-10-02,61
2013-10-03,58
2013-10-04,60
2013-10-05,56
2013-10-06,56
2013-10-07,57
2013-10-08,57
2013-10-09,58
2013-10-10,59
2013-10-11,61
2013-10-12,64
2013-10-13,59
2013-10-14,60
2013-10-15,57
2013-10-16,58
2013-10-17,56
2013-10-18,60
2013-10-19,57
2013-10-20,54
2013-10-21,53
2013-10-22,52
2013-10-23,51
2013-10-24,50
2013-10-25,50
2013-10-26,51
2013-10-27,49
2013-10-28,50
2013-10-29,50
2013-10-30,55
2013-10-31,51
2013-11-01,52
2013-11-02,53
2013-11-03,53
2013-11-04,56
2013-11-05,53
2013-11-06,54
2013-11-07,57
2013-11-08,54
2013-11-09,55
2013-11-10,55
2013-11-11,56
2013-11-12,61
2013-11-13,57
2013-11-14,58
2013-11-15,60
2013-11-16,61
2013-11-17,59
2013-11-18,59
2013-11-19,61
2013-11-20,60
2013-11-21,62
2013-11-22,63
2013-11-23,67
2013-11-24,61
2013-11-25,61
2013-11-26,60
2013-11-27,60
2013-11-28,65
2013-11-29,60
2013-11-30,59
2013-12-01,59
2013-12-02,59
2013-12-03,63
2013-12-04,59
2013-12-05,60
2013-12-06,61
2013-12-07,61
2013-12-08,58
2013-12-09,56
2013-12-10,55
2013-12-11,53
2013-12-12,51
2013-12-13,53
2013-12-14,48
2013-12-15,48
2013-12-16,48
2013-12-17,53
2013-12-18,48
2013-12-19,48
2013-12-20,48
2013-12-21,52
2013-12-22,47
2013-12-23,45
2013-12-24,44
2013-12-25,42
2013-12-26,41
2013-12-27,39
2013-12-28,38
2013-12-29,39
2013-12-30,41
2013-12-31,43
2014-01-01,45
2014-01-02,46
2014-01-03,47
2014-01-04,53
2014-01-05,50
2014-01-06,52
2014-01-07,54
2014-01-08,56
2014-01-09,62
2014-01-10,59
2014-01-11,68
2014-01-12,60
2014-01-13,59
2014-01-14,59
2014-01-15,59
2014-01-16,58
2014-01-17,62
2014-01-18,61
2014-01-19,57
2014-01-20,58
2014-01-21,59
2014-01-22,63
2014-01-23,61
2014-01-24,65
2014-01-25,63
2014-01-26,63
2014-01-27,63
2014-01-28,63
2014-01-29,63
2014-01-30,63
2014-01-31,63
2014-02-01,64
