Date,RBC Capital Markets
2013-03-01,90
2013-03-02,90
2013-03-03,90
2013-03-04,90
2013-03-05,91
2013-03-06,91
2013-03-07,91
2013-03-08,92
2013-03-09,92
2013-03-10,92
2013-03-11,93
2013-03-12,93
2013-03-13,93
2013-03-14,94
2013-03-15,94
2013-03-16,94
2013-03-17,95
2013-03-18,95
2013-03-19,95
2013-03-20,96
2013-03-21,96
2013-03-22,96
2013-03-23,97
2013-03-24,97
2013-03-25,97
2013-03-26,98
2013-03-27,98
2013-03-28,98
2013-03-29,99
2013-03-30,99
2013-03-31,99
2013-04-01,100
2013-04-02,98
2013-04-03,97
2013-04-04,95
2013-04-05,94
2013-04-06,93
2013-04-07,91
2013-04-08,90
2013-04-09,88
2013-04-10,87
2013-04-11,86
2013-04-12,84
2013-04-13,83
2013-04-14,81
2013-04-15,80
2013-04-16,79
2013-04-17,77
2013-04-18,76
2013-04-19,74
2013-04-20,73
2013-04-21,72
2013-04-22,70
2013-04-23,69
2013-04-24,67
2013-04-25,66
2013-04-26,65
2013-04-27,63
2013-04-28,62
2013-04-29,60
2013-04-30,59
2013-05-01,58
2013-05-02,58
2013-05-03,58
2013-05-04,58
2013-05-05,58
2013-05-06,58
2013-05-07,58
2013-05-08,58
2013-05-09,58
2013-05-10,58
2013-05-11,58
2013-05-12,58
2013-05-13,58
2013-05-14,58
2013-05-15,58
2013-05-16,58
2013-05-17,58
2013-05-18,58
2013-05-19,58
2013-05-20,58
2013-05-21,58
2013-05-22,58
2013-05-23,58
2013-05-24,58
2013-05-25,58
2013-05-26,58
2013-05-27,58
2013-05-28,58
2013-05-29,58
2013-05-30,58
2013-05-31,58
2013-06-01,58
2013-06-02,58
2013-06-03,58
2013-06-04,58
2013-06-05,58
2013-06-06,58
2013-06-07,58
2013-06-08,58
2013-06-09,58
2013-06-10,58
2013-06-11,58
2013-06-12,58
2013-06-13,58
2013-06-14,58
2013-06-15,58
2013-06-16,58
2013-06-17,58
2013-06-18,58
2013-06-19,58
2013-06-20,58
2013-06-21,58
2013-06-22,58
2013-06-23,58
2013-06-24,58
2013-06-25,58
2013-06-26,58
2013-06-27,58
2013-06-28,58
2013-06-29,58
2013-06-30,58
2013-07-01,58
2013-07-02,58
2013-07-03,58
2013-07-04,59
2013-07-05,59
2013-07-06,60
2013-07-07,60
2013-07-08,60
2013-07-09,61
2013-07-10,61
2013-07-11,62
2013-07-12,62
2013-07-13,63
2013-07-14,63
2013-07-15,63
2013-07-16,64
2013-07-17,64
2013-07-18,65
2013-07-19,65
2013-07-20,65
2013-07-21,66
2013-07-22,66
2013-07-23,67
2013-07-24,67
2013-07-25,68
2013-07-26,68
2013-07-27,68
2013-07-28,69
2013-07-29,69
2013-07-30,70
2013-07-31,70
2013-08-01,71
2013-08-02,70
2013-08-03,70
2013-08-04,70
2013-08-05,69
2013-08-06,69
2013-08-07,69
2013-08-08,68
2013-08-09,68
2013-08-10,68
2013-08-11,67
2013-08-12,67
2013-08-13,67
2013-08-14,66
2013-08-15,66
2013-08-16,66
2013-08-17,65
2013-08-18,65
2013-08-19,65
2013-08-20,64
2013-08-21,64
2013-08-22,64
2013-08-23,63
2013-08-24,63
2013-08-25,63
2013-08-26,62
2013-08-27,62
2013-08-28,62
2013-08-29,61
2013-08-30,61
2013-08-31,61
2013-09-01,61
2013-09-02,60
2013-09-03,60
2013-09-04,60
2013-09-05,60
2013-09-06,59
2013-09-07,59
2013-09-08,59
2013-09-09,59
2013-09-10,58
2013-09-11,58
2013-09-12,58
2013-09-13,58
2013-09-14,57
2013-09-15,57
2013-09-16,57
2013-09-17,57
2013-09-18,57
2013-09-19,56
2013-09-20,56
2013-09-21,56
2013-09-22,56
2013-09-23,55
2013-09-24,55
2013-09-25,55
2013-09-26,55
2013-09-27,54
2013-09-28,54
2013-09-29,54
2013-09-30,54
2013-10-01,54
2013-10-02,54
2013-10-03,54
2013-10-04,54
2013-10-05,55
2013-10-06,55
2013-10-07,55
2013-10-08,56
2013-10-09,56
2013-10-10,56
2013-10-11,57
2013-10-12,57
2013-10-13,57
2013-10-14,58
2013-10-15,58
2013-10-16,58
2013-10-17,59
2013-10-18,59
2013-10-19,59
2013-10-20,60
2013-10-21,60
2013-10-22,60
2013-10-23,61
2013-10-24,61
2013-10-25,61
2013-10-26,62
2013-10-27,62
2013-10-28,62
2013-10-29,63
2013-10-30,63
2013-10-31,63
2013-11-01,64
2013-11-02,64
2013-11-03,65
2013-11-04,66
2013-11-05,66
2013-11-06,67
2013-11-07,68
2013-11-08,68
2013-11-09,69
2013-11-10,70
2013-11-11,70
2013-11-12,71
2013-11-13,72
2013-11-14,72
2013-11-15,73
2013-11-16,74
2013-11-17,74
2013-11-18,75
2013-11-19,76
2013-11-20,76
2013-11-21,77
2013-11-22,78
2013-11-23,78
2013-11-24,79
2013-11-25,80
2013-11-26,80
2013-11-27,81
2013-11-28,82
2013-11-29,82
2013-11-30,83
2013-12-01,84
2013-12-02,84
2013-12-03,84
2013-12-04,84
2013-12-05,84
2013-12-06,84
2013-12-07,84
2013-12-08,84
2013-12-09,85
2013-12-10,85
2013-12-11,85
2013-12-12,85
2013-12-13,85
2013-12-14,85
2013-12-15,85
2013-12-16,85
2013-12-17,86
2013-12-18,86
2013-12-19,86
2013-12-20,86
2013-12-21,86
2013-12-22,86
2013-12-23,86
2013-12-24,86
2013-12-25,87
2013-12-26,87
2013-12-27,87
2013-12-28,87
2013-12-29,87
