Date,Morgan Keegan
2008-02-01,0
2008-02-02,2
2008-02-03,4
2008-02-04,7
2008-02-05,9
2008-02-06,12
2008-02-07,14
2008-02-08,17
2008-02-09,19
2008-02-10,22
2008-02-11,24
2008-02-12,27
2008-02-13,29
2008-02-14,32
2008-02-15,34
2008-02-16,37
2008-02-17,39
2008-02-18,42
2008-02-19,44
2008-02-20,47
2008-02-21,49
2008-02-22,52
2008-02-23,54
2008-02-24,57
2008-02-25,59
2008-02-26,62
2008-02-27,64
2008-02-28,67
2008-02-29,69
2008-03-01,72
2008-03-02,71
2008-03-03,71
2008-03-04,70
2008-03-05,70
2008-03-06,70
2008-03-07,69
2008-03-08,69
2008-03-09,69
2008-03-10,68
2008-03-11,68
2008-03-12,68
2008-03-13,67
2008-03-14,67
2008-03-15,67
2008-03-16,66
2008-03-17,66
2008-03-18,65
2008-03-19,65
2008-03-20,65
2008-03-21,64
2008-03-22,64
2008-03-23,64
2008-03-24,63
2008-03-25,63
2008-03-26,63
2008-03-27,62
2008-03-28,62
2008-03-29,62
2008-03-30,61
2008-03-31,61
2008-04-01,61
2008-04-02,61
2008-04-03,61
2008-04-04,61
2008-04-05,62
2008-04-06,62
2008-04-07,62
2008-04-08,63
2008-04-09,63
2008-04-10,63
2008-04-11,64
2008-04-12,64
2008-04-13,64
2008-04-14,64
2008-04-15,65
2008-04-16,65
2008-04-17,65
2008-04-18,66
2008-04-19,66
2008-04-20,66
2008-04-21,67
2008-04-22,67
2008-04-23,67
2008-04-24,67
2008-04-25,68
2008-04-26,68
2008-04-27,68
2008-04-28,69
2008-04-29,69
2008-04-30,69
2008-05-01,70
2008-05-02,69
2008-05-03,69
2008-05-04,68
2008-05-05,68
2008-05-06,67
2008-05-07,67
2008-05-08,66
2008-05-09,66
2008-05-10,65
2008-05-11,65
2008-05-12,65
2008-05-13,64
2008-05-14,64
2008-05-15,63
2008-05-16,63
2008-05-17,62
2008-05-18,62
2008-05-19,61
2008-05-20,61
2008-05-21,60
2008-05-22,60
2008-05-23,60
2008-05-24,59
2008-05-25,59
2008-05-26,58
2008-05-27,58
2008-05-28,57
2008-05-29,57
2008-05-30,56
2008-05-31,56
2008-06-01,56
2008-06-02,56
2008-06-03,57
2008-06-04,57
2008-06-05,58
2008-06-06,58
2008-06-07,59
2008-06-08,59
2008-06-09,60
2008-06-10,60
2008-06-11,61
2008-06-12,61
2008-06-13,62
2008-06-14,62
2008-06-15,63
2008-06-16,63
2008-06-17,64
2008-06-18,64
2008-06-19,65
2008-06-20,65
2008-06-21,66
2008-06-22,66
2008-06-23,67
2008-06-24,67
2008-06-25,68
2008-06-26,68
2008-06-27,69
2008-06-28,69
2008-06-29,70
2008-06-30,70
2008-07-01,71
2008-07-02,71
2008-07-03,71
2008-07-04,72
2008-07-05,72
2008-07-06,73
2008-07-07,73
2008-07-08,74
2008-07-09,74
2008-07-10,75
2008-07-11,75
2008-07-12,75
2008-07-13,76
2008-07-14,76
2008-07-15,77
2008-07-16,77
2008-07-17,78
2008-07-18,78
2008-07-19,79
2008-07-20,79
2008-07-21,80
2008-07-22,80
2008-07-23,80
2008-07-24,81
2008-07-25,81
2008-07-26,82
2008-07-27,82
2008-07-28,83
2008-07-29,83
2008-07-30,84
2008-07-31,84
2008-08-01,85
2008-08-02,85
2008-08-03,85
2008-08-04,86
2008-08-05,86
2008-08-06,87
2008-08-07,87
2008-08-08,88
2008-08-09,88
2008-08-10,89
2008-08-11,89
2008-08-12,90
2008-08-13,90
2008-08-14,91
2008-08-15,91
2008-08-16,92
2008-08-17,92
2008-08-18,93
2008-08-19,93
