Date,SunTrust Robinson Humphrey
2011-12-01,74
2011-12-02,74
2011-12-03,75
2011-12-04,76
2011-12-05,77
2011-12-06,78
2011-12-07,79
2011-12-08,79
2011-12-09,80
2011-12-10,81
2011-12-11,82
2011-12-12,83
2011-12-13,84
2011-12-14,84
2011-12-15,85
2011-12-16,86
2011-12-17,87
2011-12-18,88
2011-12-19,89
2011-12-20,89
2011-12-21,90
2011-12-22,91
2011-12-23,92
2011-12-24,93
2011-12-25,94
2011-12-26,94
2011-12-27,95
2011-12-28,96
2011-12-29,97
2011-12-30,98
2011-12-31,99
2012-01-01,100
2012-01-02,98
2012-01-03,97
2012-01-04,96
2012-01-05,95
2012-01-06,94
2012-01-07,93
2012-01-08,92
2012-01-09,91
2012-01-10,90
2012-01-11,89
2012-01-12,88
2012-01-13,87
2012-01-14,86
2012-01-15,85
2012-01-16,84
2012-01-17,83
2012-01-18,82
2012-01-19,81
2012-01-20,80
2012-01-21,79
2012-01-22,78
2012-01-23,77
2012-01-24,76
2012-01-25,75
2012-01-26,74
2012-01-27,73
2012-01-28,72
2012-01-29,71
2012-01-30,70
2012-01-31,69
2012-02-01,68
2012-02-02,68
2012-02-03,69
2012-02-04,70
2012-02-05,71
2012-02-06,72
2012-02-07,73
2012-02-08,74
2012-02-09,74
2012-02-10,75
2012-02-11,76
2012-02-12,77
2012-02-13,78
2012-02-14,79
2012-02-15,80
2012-02-16,80
2012-02-17,81
2012-02-18,82
2012-02-19,83
2012-02-20,84
2012-02-21,85
2012-02-22,86
2012-02-23,86
2012-02-24,87
2012-02-25,88
2012-02-26,89
2012-02-27,90
2012-02-28,91
2012-02-29,92
2012-03-01,93
2012-03-02,91
2012-03-03,90
2012-03-04,88
2012-03-05,87
2012-03-06,85
2012-03-07,84
2012-03-08,82
2012-03-09,81
2012-03-10,79
2012-03-11,78
2012-03-12,76
2012-03-13,75
2012-03-14,73
2012-03-15,72
2012-03-16,70
2012-03-17,69
2012-03-18,67
2012-03-19,66
2012-03-20,64
2012-03-21,63
2012-03-22,61
2012-03-23,60
2012-03-24,58
2012-03-25,57
2012-03-26,55
2012-03-27,54
2012-03-28,52
2012-03-29,51
2012-03-30,49
2012-03-31,48
2012-04-01,47
2012-04-02,47
2012-04-03,48
2012-04-04,48
2012-04-05,49
2012-04-06,50
2012-04-07,50
2012-04-08,51
2012-04-09,52
2012-04-10,52
2012-04-11,53
2012-04-12,53
2012-04-13,54
2012-04-14,55
2012-04-15,55
2012-04-16,56
2012-04-17,57
2012-04-18,57
2012-04-19,58
2012-04-20,59
2012-04-21,59
2012-04-22,60
2012-04-23,60
2012-04-24,61
2012-04-25,62
2012-04-26,62
2012-04-27,63
2012-04-28,64
2012-04-29,64
2012-04-30,65
2012-05-01,66
2012-05-02,65
2012-05-03,65
2012-05-04,64
2012-05-05,64
2012-05-06,63
2012-05-07,63
2012-05-08,62
2012-05-09,62
2012-05-10,61
2012-05-11,61
2012-05-12,60
2012-05-13,60
2012-05-14,59
2012-05-15,59
2012-05-16,58
2012-05-17,58
2012-05-18,57
2012-05-19,57
2012-05-20,56
2012-05-21,56
2012-05-22,55
2012-05-23,55
2012-05-24,54
2012-05-25,54
2012-05-26,53
2012-05-27,53
2012-05-28,52
2012-05-29,52
2012-05-30,51
2012-05-31,51
2012-06-01,51
2012-06-02,50
2012-06-03,50
2012-06-04,50
2012-06-05,50
2012-06-06,50
2012-06-07,50
2012-06-08,50
2012-06-09,49
2012-06-10,49
2012-06-11,49
2012-06-12,49
2012-06-13,49
2012-06-14,49
2012-06-15,49
2012-06-16,49
2012-06-17,48
2012-06-18,48
2012-06-19,48
2012-06-20,48
2012-06-21,48
2012-06-22,48
2012-06-23,48
2012-06-24,47
2012-06-25,47
2012-06-26,47
2012-06-27,47
2012-06-28,47
2012-06-29,47
2012-06-30,47
2012-07-01,47
2012-07-02,47
2012-07-03,48
2012-07-04,48
2012-07-05,49
2012-07-06,49
2012-07-07,50
2012-07-08,50
2012-07-09,51
2012-07-10,51
2012-07-11,52
2012-07-12,53
2012-07-13,53
2012-07-14,54
2012-07-15,54
2012-07-16,55
2012-07-17,55
2012-07-18,56
2012-07-19,56
2012-07-20,57
2012-07-21,57
2012-07-22,58
2012-07-23,59
2012-07-24,59
2012-07-25,60
2012-07-26,60
2012-07-27,61
2012-07-28,61
2012-07-29,62
2012-07-30,62
2012-07-31,63
2012-08-01,64
2012-08-02,63
2012-08-03,63
2012-08-04,62
2012-08-05,62
2012-08-06,62
2012-08-07,61
2012-08-08,61
2012-08-09,60
2012-08-10,60
2012-08-11,60
2012-08-12,59
2012-08-13,59
2012-08-14,58
2012-08-15,58
2012-08-16,58
2012-08-17,57
2012-08-18,57
2012-08-19,57
2012-08-20,56
2012-08-21,56
2012-08-22,55
2012-08-23,55
2012-08-24,55
2012-08-25,54
2012-08-26,54
2012-08-27,53
2012-08-28,53
2012-08-29,53
2012-08-30,52
2012-08-31,52
2012-09-01,52
2012-09-02,52
2012-09-03,53
2012-09-04,54
2012-09-05,55
2012-09-06,56
2012-09-07,57
2012-09-08,58
2012-09-09,59
2012-09-10,60
2012-09-11,61
2012-09-12,62
2012-09-13,63
2012-09-14,64
2012-09-15,65
2012-09-16,66
2012-09-17,66
2012-09-18,67
2012-09-19,68
2012-09-20,69
2012-09-21,70
2012-09-22,71
2012-09-23,72
2012-09-24,73
2012-09-25,74
2012-09-26,75
2012-09-27,76
2012-09-28,77
2012-09-29,78
2012-09-30,79
2012-10-01,80
2012-10-02,79
2012-10-03,78
2012-10-04,77
2012-10-05,76
2012-10-06,75
2012-10-07,74
2012-10-08,73
2012-10-09,73
2012-10-10,72
2012-10-11,71
2012-10-12,70
2012-10-13,69
2012-10-14,68
2012-10-15,67
2012-10-16,66
2012-10-17,66
2012-10-18,65
2012-10-19,64
2012-10-20,63
2012-10-21,62
2012-10-22,61
2012-10-23,60
2012-10-24,59
2012-10-25,59
2012-10-26,58
2012-10-27,57
2012-10-28,56
2012-10-29,55
2012-10-30,54
2012-10-31,53
2012-11-01,53
2012-11-02,52
2012-11-03,52
2012-11-04,52
2012-11-05,52
2012-11-06,52
2012-11-07,52
2012-11-08,51
2012-11-09,51
2012-11-10,51
2012-11-11,51
2012-11-12,51
2012-11-13,51
2012-11-14,50
2012-11-15,50
2012-11-16,50
2012-11-17,50
2012-11-18,50
2012-11-19,50
2012-11-20,49
2012-11-21,49
2012-11-22,49
2012-11-23,49
2012-11-24,49
2012-11-25,49
2012-11-26,48
2012-11-27,48
2012-11-28,48
2012-11-29,48
2012-11-30,48
2012-12-01,48
2012-12-02,49
2012-12-03,50
2012-12-04,51
2012-12-05,52
2012-12-06,53
2012-12-07,54
2012-12-08,55
2012-12-09,56
2012-12-10,57
2012-12-11,58
2012-12-12,59
2012-12-13,60
2012-12-14,61
2012-12-15,62
2012-12-16,63
2012-12-17,64
2012-12-18,65
2012-12-19,66
2012-12-20,67
2012-12-21,68
2012-12-22,69
2012-12-23,70
2012-12-24,71
2012-12-25,72
2012-12-26,73
2012-12-27,74
2012-12-28,75
2012-12-29,76
2012-12-30,77
2012-12-31,78
2013-01-01,79
2013-01-02,78
2013-01-03,77
2013-01-04,76
2013-01-05,76
2013-01-06,75
2013-01-07,74
2013-01-08,74
2013-01-09,73
2013-01-10,72
2013-01-11,71
2013-01-12,71
2013-01-13,70
2013-01-14,69
2013-01-15,69
2013-01-16,68
2013-01-17,67
2013-01-18,66
2013-01-19,66
2013-01-20,65
2013-01-21,64
2013-01-22,64
2013-01-23,63
2013-01-24,62
2013-01-25,61
2013-01-26,61
2013-01-27,60
2013-01-28,59
2013-01-29,59
2013-01-30,58
2013-01-31,57
2013-02-01,57
2013-02-02,57
2013-02-03,57
2013-02-04,58
2013-02-05,58
2013-02-06,58
2013-02-07,59
2013-02-08,59
2013-02-09,60
2013-02-10,60
2013-02-11,60
2013-02-12,61
2013-02-13,61
2013-02-14,62
2013-02-15,62
2013-02-16,62
2013-02-17,63
2013-02-18,63
2013-02-19,64
2013-02-20,64
2013-02-21,64
2013-02-22,65
2013-02-23,65
2013-02-24,66
2013-02-25,66
2013-02-26,66
2013-02-27,67
2013-02-28,67
2013-03-01,68
2013-03-02,68
2013-03-03,68
2013-03-04,68
2013-03-05,68
2013-03-06,68
2013-03-07,68
2013-03-08,68
2013-03-09,68
2013-03-10,68
2013-03-11,68
2013-03-12,68
2013-03-13,68
2013-03-14,68
2013-03-15,68
2013-03-16,68
2013-03-17,69
2013-03-18,69
2013-03-19,69
2013-03-20,69
2013-03-21,69
2013-03-22,69
2013-03-23,69
2013-03-24,69
2013-03-25,69
2013-03-26,69
2013-03-27,69
2013-03-28,69
2013-03-29,69
2013-03-30,69
2013-03-31,69
2013-04-01,70
2013-04-02,70
2013-04-03,70
2013-04-04,70
2013-04-05,70
2013-04-06,70
2013-04-07,70
2013-04-08,70
2013-04-09,70
2013-04-10,70
2013-04-11,70
2013-04-12,70
2013-04-13,70
2013-04-14,70
2013-04-15,70
2013-04-16,70
2013-04-17,70
2013-04-18,70
2013-04-19,70
2013-04-20,70
2013-04-21,70
2013-04-22,70
2013-04-23,70
2013-04-24,70
2013-04-25,70
2013-04-26,70
2013-04-27,70
2013-04-28,70
2013-04-29,70
2013-04-30,70
2013-05-01,71
2013-05-02,71
2013-05-03,71
2013-05-04,71
2013-05-05,71
2013-05-06,71
2013-05-07,71
2013-05-08,72
2013-05-09,72
2013-05-10,72
2013-05-11,72
2013-05-12,72
2013-05-13,72
2013-05-14,73
2013-05-15,73
2013-05-16,73
2013-05-17,73
2013-05-18,73
2013-05-19,73
2013-05-20,74
2013-05-21,74
2013-05-22,74
2013-05-23,74
2013-05-24,74
2013-05-25,74
2013-05-26,75
2013-05-27,75
2013-05-28,75
2013-05-29,75
2013-05-30,75
2013-05-31,75
2013-06-01,76
2013-06-02,75
2013-06-03,75
2013-06-04,74
2013-06-05,74
2013-06-06,73
2013-06-07,73
2013-06-08,72
2013-06-09,72
2013-06-10,72
2013-06-11,71
2013-06-12,71
2013-06-13,70
2013-06-14,70
2013-06-15,69
2013-06-16,69
2013-06-17,69
2013-06-18,68
2013-06-19,68
2013-06-20,67
2013-06-21,67
2013-06-22,66
2013-06-23,66
2013-06-24,66
2013-06-25,65
2013-06-26,65
2013-06-27,64
2013-06-28,64
2013-06-29,63
2013-06-30,63
2013-07-01,63
2013-07-02,63
2013-07-03,64
2013-07-04,64
2013-07-05,65
2013-07-06,66
2013-07-07,66
2013-07-08,67
2013-07-09,68
2013-07-10,68
2013-07-11,69
2013-07-12,70
2013-07-13,70
2013-07-14,71
2013-07-15,72
2013-07-16,72
2013-07-17,73
2013-07-18,73
2013-07-19,74
2013-07-20,75
2013-07-21,75
2013-07-22,76
2013-07-23,77
2013-07-24,77
2013-07-25,78
2013-07-26,79
2013-07-27,79
2013-07-28,80
2013-07-29,81
2013-07-30,81
2013-07-31,82
2013-08-01,83
2013-08-02,82
2013-08-03,81
2013-08-04,80
2013-08-05,79
2013-08-06,79
2013-08-07,78
2013-08-08,77
2013-08-09,76
2013-08-10,76
2013-08-11,75
2013-08-12,74
2013-08-13,73
2013-08-14,72
2013-08-15,72
2013-08-16,71
2013-08-17,70
2013-08-18,69
2013-08-19,69
2013-08-20,68
2013-08-21,67
2013-08-22,66
2013-08-23,65
2013-08-24,65
2013-08-25,64
2013-08-26,63
2013-08-27,62
2013-08-28,62
2013-08-29,61
2013-08-30,60
2013-08-31,59
2013-09-01,59
2013-09-02,58
2013-09-03,57
2013-09-04,57
2013-09-05,56
2013-09-06,56
2013-09-07,55
2013-09-08,55
2013-09-09,54
2013-09-10,54
2013-09-11,53
2013-09-12,53
2013-09-13,52
2013-09-14,52
2013-09-15,51
2013-09-16,51
2013-09-17,50
2013-09-18,49
2013-09-19,49
2013-09-20,48
2013-09-21,48
2013-09-22,47
2013-09-23,47
2013-09-24,46
2013-09-25,46
2013-09-26,45
2013-09-27,45
2013-09-28,44
2013-09-29,44
2013-09-30,43
2013-10-01,43
2013-10-02,43
2013-10-03,43
2013-10-04,43
2013-10-05,44
2013-10-06,44
2013-10-07,44
2013-10-08,45
2013-10-09,45
2013-10-10,45
2013-10-11,46
2013-10-12,46
2013-10-13,46
2013-10-14,47
2013-10-15,47
2013-10-16,47
2013-10-17,48
2013-10-18,48
2013-10-19,48
2013-10-20,49
2013-10-21,49
2013-10-22,49
2013-10-23,50
2013-10-24,50
2013-10-25,50
2013-10-26,51
2013-10-27,51
2013-10-28,51
2013-10-29,52
2013-10-30,52
2013-10-31,52
2013-11-01,53
2013-11-02,52
2013-11-03,52
2013-11-04,51
2013-11-05,51
2013-11-06,51
2013-11-07,50
2013-11-08,50
2013-11-09,50
2013-11-10,49
2013-11-11,49
2013-11-12,48
2013-11-13,48
2013-11-14,48
2013-11-15,47
2013-11-16,47
2013-11-17,47
2013-11-18,46
2013-11-19,46
2013-11-20,46
2013-11-21,45
2013-11-22,45
2013-11-23,44
2013-11-24,44
2013-11-25,44
2013-11-26,43
2013-11-27,43
2013-11-28,43
2013-11-29,42
2013-11-30,42
