Date,Morgan Stanley
2007-09-15,77
2007-09-16,78
2007-09-17,79
2007-09-18,80
2007-09-19,81
2007-09-20,82
2007-09-21,83
2007-09-22,90
2007-09-23,83
2007-09-24,82
2007-09-25,80
2007-09-26,79
2007-09-27,77
2007-09-28,76
2007-09-29,75
2007-09-30,75
2007-10-01,75
2007-10-02,76
2007-10-03,82
2007-10-04,77
2007-10-05,77
2007-10-06,78
2007-10-07,80
2007-10-08,82
2007-10-09,84
2007-10-10,87
2007-10-11,89
2007-10-12,91
2007-10-13,94
2007-10-14,91
2007-10-15,89
2007-10-16,91
2007-10-17,84
2007-10-18,82
2007-10-19,80
2007-10-20,79
2007-10-21,78
2007-10-22,78
2007-10-23,79
2007-10-24,80
2007-10-25,80
2007-10-26,83
2007-10-27,81
2007-10-28,80
2007-10-29,80
2007-10-30,80
2007-10-31,79
2007-11-01,79
2007-11-02,79
2007-11-03,79
2007-11-04,79
2007-11-05,79
2007-11-06,79
2007-11-07,80
2007-11-08,80
2007-11-09,80
2007-11-10,81
2007-11-11,79
2007-11-12,78
2007-11-13,77
2007-11-14,76
2007-11-15,75
2007-11-16,74
2007-11-17,73
2007-11-18,73
2007-11-19,73
2007-11-20,74
2007-11-21,74
2007-11-22,75
2007-11-23,76
2007-11-24,81
2007-11-25,73
2007-11-26,70
2007-11-27,68
2007-11-28,65
2007-11-29,63
2007-11-30,60
2007-12-01,58
2007-12-02,61
2007-12-03,64
2007-12-04,67
2007-12-05,71
2007-12-06,74
2007-12-07,77
2007-12-08,81
2007-12-09,78
2007-12-10,75
2007-12-11,74
2007-12-12,70
2007-12-13,66
2007-12-14,63
2007-12-15,60
2007-12-16,61
2007-12-17,63
2007-12-18,65
2007-12-19,67
2007-12-20,69
2007-12-21,71
2007-12-22,73
2007-12-23,74
2007-12-24,75
2007-12-25,77
2007-12-26,77
2007-12-27,78
2007-12-28,79
2007-12-29,80
2007-12-30,78
2007-12-31,76
2008-01-01,75
2008-01-02,73
2008-01-03,75
2008-01-04,70
2008-01-05,69
2008-01-06,69
2008-01-07,70
2008-01-08,70
2008-01-09,71
2008-01-10,71
2008-01-11,72
2008-01-12,73
2008-01-13,71
2008-01-14,69
2008-01-15,67
2008-01-16,66
2008-01-17,64
2008-01-18,64
2008-01-19,61
2008-01-20,62
2008-01-21,64
2008-01-22,65
2008-01-23,68
2008-01-24,71
2008-01-25,70
2008-01-26,72
2008-01-27,70
2008-01-28,69
2008-01-29,67
2008-01-30,66
2008-01-31,64
2008-02-01,63
2008-02-02,62
2008-02-03,63
2008-02-04,65
2008-02-05,68
2008-02-06,68
2008-02-07,69
2008-02-08,73
2008-02-09,73
2008-02-10,71
2008-02-11,70
2008-02-12,69
2008-02-13,68
2008-02-14,67
2008-02-15,66
2008-02-16,65
2008-02-17,64
2008-02-18,64
2008-02-19,65
2008-02-20,63
2008-02-21,62
2008-02-22,62
2008-02-23,63
2008-02-24,62
2008-02-25,63
2008-02-26,64
2008-02-27,65
2008-02-28,66
2008-02-29,67
2008-03-01,68
2008-03-02,67
2008-03-03,69
2008-03-04,65
2008-03-05,64
2008-03-06,63
2008-03-07,62
2008-03-08,62
2008-03-09,61
2008-03-10,61
2008-03-11,60
2008-03-12,60
2008-03-13,59
2008-03-14,59
2008-03-15,59
2008-03-16,61
2008-03-17,63
2008-03-18,66
2008-03-19,70
2008-03-20,72
2008-03-21,73
2008-03-22,76
2008-03-23,73
2008-03-24,70
2008-03-25,69
2008-03-26,65
2008-03-27,62
2008-03-28,59
2008-03-29,57
2008-03-30,57
2008-03-31,58
2008-04-01,59
2008-04-02,60
2008-04-03,61
2008-04-04,62
2008-04-05,65
2008-04-06,64
2008-04-07,65
2008-04-08,67
2008-04-09,68
2008-04-10,70
2008-04-11,71
2008-04-12,73
2008-04-13,73
2008-04-14,73
2008-04-15,73
2008-04-16,73
2008-04-17,78
2008-04-18,73
2008-04-19,73
2008-04-20,72
2008-04-21,72
2008-04-22,73
2008-04-23,72
2008-04-24,72
2008-04-25,72
2008-04-26,72
2008-04-27,69
2008-04-28,67
2008-04-29,67
2008-04-30,62
2008-05-01,59
2008-05-02,57
2008-05-03,55
2008-05-04,53
2008-05-05,52
2008-05-06,51
2008-05-07,50
2008-05-08,49
2008-05-09,48
2008-05-10,47
2008-05-11,50
2008-05-12,53
2008-05-13,56
2008-05-14,59
2008-05-15,62
2008-05-16,65
2008-05-17,68
2008-05-18,66
2008-05-19,66
2008-05-20,63
2008-05-21,61
2008-05-22,60
2008-05-23,58
2008-05-24,57
2008-05-25,54
2008-05-26,52
2008-05-27,50
2008-05-28,48
2008-05-29,46
2008-05-30,44
2008-05-31,42
2008-06-01,44
2008-06-02,47
2008-06-03,50
2008-06-04,54
2008-06-05,56
2008-06-06,59
2008-06-07,62
2008-06-08,62
2008-06-09,62
2008-06-10,63
2008-06-11,63
2008-06-12,64
2008-06-13,64
2008-06-14,65
