Date,RBC Capital Markets
2011-02-01,100
2011-02-02,98
2011-02-03,96
2011-02-04,94
2011-02-05,93
2011-02-06,91
2011-02-07,89
2011-02-08,87
2011-02-09,86
2011-02-10,84
2011-02-11,82
2011-02-12,80
2011-02-13,79
2011-02-14,77
2011-02-15,75
2011-02-16,73
2011-02-17,72
2011-02-18,70
2011-02-19,68
2011-02-20,66
2011-02-21,65
2011-02-22,63
2011-02-23,61
2011-02-24,59
2011-02-25,58
2011-02-26,56
2011-02-27,54
2011-02-28,52
2011-03-01,51
2011-03-02,51
2011-03-03,51
2011-03-04,51
2011-03-05,51
2011-03-06,51
2011-03-07,51
2011-03-08,51
2011-03-09,51
2011-03-10,51
2011-03-11,51
2011-03-12,51
2011-03-13,51
2011-03-14,51
2011-03-15,51
2011-03-16,51
2011-03-17,51
2011-03-18,51
2011-03-19,51
2011-03-20,51
2011-03-21,51
2011-03-22,51
2011-03-23,51
2011-03-24,51
2011-03-25,51
2011-03-26,51
2011-03-27,51
2011-03-28,51
2011-03-29,51
2011-03-30,51
2011-03-31,51
2011-04-01,51
2011-04-02,51
2011-04-03,51
2011-04-04,52
2011-04-05,52
2011-04-06,53
2011-04-07,53
2011-04-08,54
2011-04-09,54
2011-04-10,54
2011-04-11,55
2011-04-12,55
2011-04-13,56
2011-04-14,56
2011-04-15,57
2011-04-16,57
2011-04-17,57
2011-04-18,58
2011-04-19,58
2011-04-20,59
2011-04-21,59
2011-04-22,60
2011-04-23,60
2011-04-24,60
2011-04-25,61
2011-04-26,61
2011-04-27,62
2011-04-28,62
2011-04-29,63
2011-04-30,63
2011-05-01,64
2011-05-02,64
2011-05-03,64
2011-05-04,64
2011-05-05,64
2011-05-06,65
2011-05-07,65
2011-05-08,65
2011-05-09,65
2011-05-10,66
2011-05-11,66
2011-05-12,66
2011-05-13,66
2011-05-14,66
2011-05-15,67
2011-05-16,67
2011-05-17,67
2011-05-18,67
2011-05-19,68
2011-05-20,68
2011-05-21,68
2011-05-22,68
2011-05-23,68
2011-05-24,69
2011-05-25,69
2011-05-26,69
2011-05-27,69
