Date,Wells Fargo Securities
2010-09-11,53
2010-09-12,53
2010-09-13,53
2010-09-14,59
2010-09-15,54
2010-09-16,57
2010-09-17,54
2010-09-18,56
2010-09-19,55
2010-09-20,55
2010-09-21,55
2010-09-22,58
2010-09-23,55
2010-09-24,55
2010-09-25,57
2010-09-26,54
2010-09-27,54
2010-09-28,54
2010-09-29,55
2010-09-30,52
2010-10-01,52
2010-10-02,57
2010-10-03,52
2010-10-04,53
2010-10-05,53
2010-10-06,55
2010-10-07,54
2010-10-08,60
2010-10-09,56
2010-10-10,54
2010-10-11,53
2010-10-12,52
2010-10-13,51
2010-10-14,49
2010-10-15,49
2010-10-16,47
2010-10-17,49
2010-10-18,51
2010-10-19,53
2010-10-20,56
2010-10-21,62
2010-10-22,64
2010-10-23,63
2010-10-24,61
2010-10-25,59
2010-10-26,58
2010-10-27,58
2010-10-28,55
2010-10-29,57
2010-10-30,52
2010-10-31,54
2010-11-01,56
2010-11-02,59
2010-11-03,64
2010-11-04,64
2010-11-05,67
2010-11-06,69
2010-11-07,68
2010-11-08,68
2010-11-09,71
2010-11-10,69
2010-11-11,67
2010-11-12,67
2010-11-13,66
2010-11-14,65
2010-11-15,64
2010-11-16,67
2010-11-17,65
2010-11-18,66
2010-11-19,62
2010-11-20,68
2010-11-21,59
2010-11-22,56
2010-11-23,53
2010-11-24,50
2010-11-25,47
2010-11-26,44
2010-11-27,41
2010-11-28,42
2010-11-29,43
2010-11-30,49
2010-12-01,45
2010-12-02,46
2010-12-03,48
2010-12-04,51
2010-12-05,49
2010-12-06,50
2010-12-07,51
2010-12-08,52
2010-12-09,55
2010-12-10,54
2010-12-11,57
2010-12-12,55
2010-12-13,55
2010-12-14,55
2010-12-15,58
2010-12-16,55
2010-12-17,58
2010-12-18,55
2010-12-19,56
2010-12-20,57
2010-12-21,61
2010-12-22,60
2010-12-23,62
2010-12-24,69
2010-12-25,65
2010-12-26,63
2010-12-27,62
2010-12-28,61
2010-12-29,62
2010-12-30,59
2010-12-31,57
2011-01-01,60
2011-01-02,57
2011-01-03,58
2011-01-04,59
2011-01-05,60
2011-01-06,61
2011-01-07,63
2011-01-08,63
2011-01-09,62
2011-01-10,61
2011-01-11,62
2011-01-12,60
2011-01-13,66
2011-01-14,58
2011-01-15,58
2011-01-16,61
2011-01-17,60
2011-01-18,61
2011-01-19,62
2011-01-20,69
2011-01-21,68
2011-01-22,66
2011-01-23,66
2011-01-24,67
2011-01-25,68
2011-01-26,69
2011-01-27,71
2011-01-28,71
