Date,Wachovia
2007-03-10,7
2007-03-11,7
2007-03-12,8
2007-03-13,8
2007-03-14,9
2007-03-15,9
2007-03-16,10
2007-03-17,11
2007-03-18,11
2007-03-19,11
2007-03-20,11
2007-03-21,11
2007-03-22,11
2007-03-23,11
2007-03-24,12
2007-03-25,12
2007-03-26,12
2007-03-27,12
2007-03-28,13
2007-03-29,13
2007-03-30,13
2007-03-31,14
2007-04-01,14
2007-04-02,13
2007-04-03,13
2007-04-04,13
2007-04-05,13
2007-04-06,13
2007-04-07,13
2007-04-08,12
2007-04-09,12
2007-04-10,11
2007-04-11,11
2007-04-12,10
2007-04-13,10
2007-04-14,10
2007-04-15,10
2007-04-16,10
2007-04-17,10
2007-04-18,10
2007-04-19,10
2007-04-20,10
2007-04-21,11
2007-04-22,10
2007-04-23,10
2007-04-24,9
2007-04-25,9
2007-04-26,8
2007-04-27,8
2007-04-28,8
2007-04-29,8
2007-04-30,8
2007-05-01,8
2007-05-02,8
2007-05-03,8
2007-05-04,8
2007-05-05,9
2007-05-06,8
2007-05-07,8
2007-05-08,8
2007-05-09,8
2007-05-10,8
2007-05-11,8
2007-05-12,8
2007-05-13,7
2007-05-14,7
2007-05-15,6
2007-05-16,6
2007-05-17,5
2007-05-18,5
2007-05-19,5
2007-05-20,5
2007-05-21,5
2007-05-22,5
2007-05-23,6
2007-05-24,6
2007-05-25,6
2007-05-26,7
2007-05-27,7
2007-06-03,9
2007-06-04,9
2007-06-05,10
2007-06-06,10
2007-06-07,11
2007-06-08,11
2007-06-09,12
2007-06-10,11
2007-06-11,10
2007-06-12,9
2007-06-13,8
2007-06-14,7
2007-06-15,6
2007-06-16,5
2007-06-17,5
2007-06-18,5
2007-06-19,5
2007-06-20,6
2007-06-21,6
2007-06-22,6
2007-06-23,7
2007-06-24,7
2007-06-25,7
2007-06-26,7
2007-06-27,8
2007-06-28,8
2007-06-29,8
2007-06-30,9
2007-07-01,9
2007-07-02,9
2007-07-03,9
2007-07-04,9
2007-07-05,9
2007-07-06,9
2007-07-07,9
2007-07-08,8
2007-07-09,8
2007-07-10,8
2007-07-11,7
2007-07-12,7
2007-07-13,7
2007-07-14,7
2007-07-15,7
2007-07-16,7
2007-07-17,7
2007-07-18,7
2007-07-19,7
2007-07-20,7
2007-07-21,7
2007-07-22,6
2007-07-23,6
