Date,Cohen and Company
2007-06-01,86
2007-06-02,86
2007-06-03,86
2007-06-04,87
2007-06-05,87
2007-06-06,88
2007-06-07,88
2007-06-08,89
2007-06-09,89
2007-06-10,90
2007-06-11,90
2007-06-12,91
2007-06-13,91
2007-06-14,92
2007-06-15,92
2007-06-16,93
2007-06-17,93
2007-06-18,93
2007-06-19,94
2007-06-20,94
2007-06-21,95
2007-06-22,95
2007-06-23,96
2007-06-24,96
2007-06-25,97
2007-06-26,97
2007-06-27,98
2007-06-28,98
2007-06-29,99
2007-06-30,99
2007-07-01,100
2007-07-02,98
2007-07-03,97
2007-07-04,96
2007-07-05,94
2007-07-06,93
2007-07-07,92
2007-07-08,90
2007-07-09,89
2007-07-10,88
2007-07-11,86
2007-07-12,85
2007-07-13,84
2007-07-14,82
2007-07-15,81
2007-07-16,80
2007-07-17,78
2007-07-18,77
2007-07-19,76
2007-07-20,74
2007-07-21,73
2007-07-22,72
2007-07-23,70
2007-07-24,69
2007-07-25,68
2007-07-26,66
2007-07-27,65
2007-07-28,64
2007-07-29,62
2007-07-30,61
2007-07-31,60
2007-08-01,59
2007-08-02,59
2007-08-03,60
2007-08-04,61
2007-08-05,62
2007-08-06,63
2007-08-07,64
2007-08-08,65
2007-08-09,65
2007-08-10,66
2007-08-11,67
2007-08-12,68
2007-08-13,69
2007-08-14,70
2007-08-15,71
2007-08-16,72
2007-08-17,72
2007-08-18,73
2007-08-19,74
2007-08-20,75
2007-08-21,76
2007-08-22,77
2007-08-23,78
2007-08-24,79
2007-08-25,79
2007-08-26,80
2007-08-27,81
2007-08-28,82
2007-08-29,83
2007-08-30,84
2007-08-31,85
2007-09-01,86
2007-09-02,85
2007-09-03,85
2007-09-04,85
2007-09-05,84
2007-09-06,84
2007-09-07,84
2007-09-08,83
2007-09-09,83
2007-09-10,83
2007-09-11,82
2007-09-12,82
2007-09-13,82
2007-09-14,81
2007-09-15,81
2007-09-16,81
2007-09-17,80
2007-09-18,80
2007-09-19,80
2007-09-20,79
2007-09-21,79
2007-09-22,79
2007-09-23,78
2007-09-24,78
2007-09-25,78
2007-09-26,77
2007-09-27,77
2007-09-28,77
2007-09-29,76
2007-09-30,76
2007-10-01,76
2007-10-02,74
2007-10-03,73
2007-10-04,72
2007-10-05,70
2007-10-06,69
2007-10-07,68
2007-10-08,66
2007-10-09,65
2007-10-10,64
2007-10-11,63
2007-10-12,61
2007-10-13,60
2007-10-14,59
2007-10-15,57
2007-10-16,56
2007-10-17,55
2007-10-18,54
2007-10-19,52
2007-10-20,51
2007-10-21,50
2007-10-22,48
2007-10-23,47
2007-10-24,46
2007-10-25,45
2007-10-26,43
2007-10-27,42
2007-10-28,41
2007-10-29,39
2007-10-30,38
2007-10-31,37
2007-11-01,36
2007-11-02,36
2007-11-03,36
2007-11-04,37
2007-11-05,37
2007-11-06,38
2007-11-07,38
2007-11-08,39
2007-11-09,39
2007-11-10,40
2007-11-11,40
2007-11-12,41
2007-11-13,41
2007-11-14,42
2007-11-15,42
2007-11-16,43
2007-11-17,43
2007-11-18,43
2007-11-19,44
2007-11-20,44
2007-11-21,45
2007-11-22,45
2007-11-23,46
2007-11-24,46
2007-11-25,47
2007-11-26,47
2007-11-27,48
2007-11-28,48
2007-11-29,49
2007-11-30,49
2007-12-01,50
2007-12-02,50
2007-12-03,51
2007-12-04,51
2007-12-05,52
2007-12-06,52
2007-12-07,53
2007-12-08,53
2007-12-09,54
2007-12-10,54
2007-12-11,55
2007-12-12,56
2007-12-13,56
2007-12-14,57
2007-12-15,57
2007-12-16,58
2007-12-17,58
2007-12-18,59
2007-12-19,59
2007-12-20,60
2007-12-21,60
2007-12-22,61
2007-12-23,62
2007-12-24,62
2007-12-25,63
2007-12-26,63
2007-12-27,64
2007-12-28,64
2007-12-29,65
2007-12-30,65
2007-12-31,66
2008-01-01,67
2008-01-02,66
2008-01-03,66
2008-01-04,65
2008-01-05,65
2008-01-06,64
2008-01-07,64
2008-01-08,63
2008-01-09,63
2008-01-10,62
2008-01-11,62
2008-01-12,61
2008-01-13,61
2008-01-14,60
2008-01-15,60
2008-01-16,59
2008-01-17,59
2008-01-18,58
2008-01-19,58
2008-01-20,57
2008-01-21,57
2008-01-22,56
2008-01-23,56
2008-01-24,55
2008-01-25,55
2008-01-26,54
2008-01-27,54
2008-01-28,53
2008-01-29,53
2008-01-30,52
2008-01-31,52
2008-02-01,52
2008-02-02,52
2008-02-03,52
2008-02-04,52
2008-02-05,52
2008-02-06,52
2008-02-07,52
2008-02-08,52
2008-02-09,52
2008-02-10,52
2008-02-11,52
2008-02-12,52
2008-02-13,52
2008-02-14,52
2008-02-15,52
2008-02-16,53
2008-02-17,53
2008-02-18,53
2008-02-19,53
2008-02-20,53
2008-02-21,53
2008-02-22,53
2008-02-23,53
2008-02-24,53
2008-02-25,53
2008-02-26,53
2008-02-27,53
2008-02-28,53
2008-02-29,53
2008-03-01,54
2008-03-02,54
2008-03-03,54
2008-03-04,55
2008-03-05,55
2008-03-06,56
2008-03-07,56
2008-03-08,56
2008-03-09,57
2008-03-10,57
2008-03-11,58
2008-03-12,58
2008-03-13,59
2008-03-14,59
2008-03-15,59
2008-03-16,60
2008-03-17,60
2008-03-18,61
2008-03-19,61
2008-03-20,61
2008-03-21,62
2008-03-22,62
2008-03-23,63
2008-03-24,63
2008-03-25,64
2008-03-26,64
2008-03-27,64
2008-03-28,65
2008-03-29,65
2008-03-30,66
2008-03-31,66
2008-04-01,67
2008-04-02,66
2008-04-03,65
2008-04-04,64
2008-04-05,63
2008-04-06,62
2008-04-07,61
2008-04-08,60
2008-04-09,60
2008-04-10,59
2008-04-11,58
2008-04-12,57
2008-04-13,56
2008-04-14,55
2008-04-15,54
2008-04-16,54
2008-04-17,53
2008-04-18,52
2008-04-19,51
2008-04-20,50
2008-04-21,49
2008-04-22,48
2008-04-23,47
2008-04-24,47
2008-04-25,46
2008-04-26,45
2008-04-27,44
2008-04-28,43
2008-04-29,42
2008-04-30,41
2008-05-01,41
2008-05-02,41
2008-05-03,41
2008-05-04,41
2008-05-05,41
2008-05-06,42
2008-05-07,42
2008-05-08,42
2008-05-09,42
2008-05-10,43
2008-05-11,43
2008-05-12,43
2008-05-13,43
2008-05-14,43
2008-05-15,44
2008-05-16,44
2008-05-17,44
2008-05-18,44
2008-05-19,45
2008-05-20,45
2008-05-21,45
2008-05-22,45
2008-05-23,45
2008-05-24,46
2008-05-25,46
2008-05-26,46
2008-05-27,46
2008-05-28,47
2008-05-29,47
2008-05-30,47
2008-05-31,47
2008-06-01,48
2008-06-02,48
2008-06-03,48
2008-06-04,48
2008-06-05,49
2008-06-06,49
2008-06-07,49
2008-06-08,50
2008-06-09,50
2008-06-10,50
2008-06-11,51
2008-06-12,51
2008-06-13,51
2008-06-14,51
2008-06-15,52
2008-06-16,52
2008-06-17,52
2008-06-18,53
2008-06-19,53
2008-06-20,53
2008-06-21,54
2008-06-22,54
2008-06-23,54
2008-06-24,54
2008-06-25,55
2008-06-26,55
2008-06-27,55
2008-06-28,56
2008-06-29,56
2008-06-30,56
2008-07-01,57
2008-07-02,56
2008-07-03,55
2008-07-04,55
2008-07-05,54
2008-07-06,54
2008-07-07,53
2008-07-08,53
2008-07-09,52
2008-07-10,52
2008-07-11,51
2008-07-12,51
2008-07-13,50
2008-07-14,50
2008-07-15,49
2008-07-16,49
2008-07-17,48
2008-07-18,48
2008-07-19,47
2008-07-20,47
2008-07-21,46
2008-07-22,46
2008-07-23,45
2008-07-24,45
2008-07-25,44
2008-07-26,44
2008-07-27,43
2008-07-28,43
2008-07-29,42
2008-07-30,42
2008-07-31,41
2008-08-01,41
2008-08-02,41
2008-08-03,41
2008-08-04,41
2008-08-05,41
2008-08-06,41
2008-08-07,41
2008-08-08,42
2008-08-09,42
2008-08-10,42
2008-08-11,42
2008-08-12,42
2008-08-13,42
2008-08-14,43
2008-08-15,43
2008-08-16,43
2008-08-17,43
2008-08-18,43
2008-08-19,43
2008-08-20,44
2008-08-21,44
2008-08-22,44
2008-08-23,44
2008-08-24,44
2008-08-25,44
2008-08-26,45
2008-08-27,45
2008-08-28,45
2008-08-29,45
2008-08-30,45
2008-08-31,45
2008-09-01,46
2008-09-02,46
2008-09-03,47
2008-09-04,48
2008-09-05,48
2008-09-06,49
2008-09-07,50
2008-09-08,51
2008-09-09,51
2008-09-10,52
2008-09-11,53
2008-09-12,54
2008-09-13,54
2008-09-14,55
2008-09-15,56
2008-09-16,57
2008-09-17,57
2008-09-18,58
2008-09-19,59
2008-09-20,59
2008-09-21,60
2008-09-22,61
2008-09-23,62
2008-09-24,62
2008-09-25,63
2008-09-26,64
