Date,Raymond James
2013-02-01,98
2013-02-02,106
2013-02-03,96
2013-02-04,93
2013-02-05,90
2013-02-06,89
2013-02-07,84
2013-02-08,82
2013-02-09,78
2013-02-10,79
2013-02-11,81
2013-02-12,85
2013-02-13,84
2013-02-14,90
2013-02-15,88
2013-02-16,90
2013-02-17,90
2013-02-18,91
2013-02-19,92
2013-02-20,96
2013-02-21,94
2013-02-22,99
2013-02-23,95
2013-02-24,89
2013-02-25,83
2013-02-26,77
2013-02-27,71
2013-02-28,68
2013-03-01,59
2013-03-02,54
2013-03-03,56
2013-03-04,58
2013-03-05,60
2013-03-06,62
2013-03-07,64
2013-03-08,66
2013-03-09,68
2013-03-10,64
2013-03-11,60
2013-03-12,58
2013-03-13,55
2013-03-14,50
2013-03-15,46
2013-03-16,43
2013-03-17,43
2013-03-18,43
2013-03-19,43
2013-03-20,44
2013-03-21,44
2013-03-22,44
2013-03-23,45
2013-03-24,47
2013-03-25,50
2013-03-26,58
2013-03-27,56
2013-03-28,59
2013-03-29,62
2013-03-30,65
2013-03-31,64
2013-05-05,35
2013-05-06,35
2013-05-07,35
2013-05-08,35
2013-05-09,35
2013-05-10,35
2013-05-11,36
2013-05-12,36
2013-05-13,36
2013-05-14,37
2013-05-15,37
2013-05-16,37
2013-05-17,38
2013-05-18,38
2013-05-19,36
2013-05-20,35
2013-05-21,33
2013-05-22,32
2013-05-23,31
2013-05-24,29
2013-05-25,28
2013-05-26,27
2013-05-27,26
2013-05-28,25
2013-05-29,24
2013-05-30,23
2013-05-31,22
2013-06-01,21
2013-06-02,23
2013-06-03,25
2013-06-04,27
2013-06-05,30
2013-06-06,32
2013-06-07,34
2013-06-08,37
2013-06-09,36
2013-06-10,36
2013-06-11,35
2013-06-12,35
2013-06-13,34
2013-06-14,33
2013-06-15,33
2013-06-16,33
2013-06-17,32
2013-06-18,32
2013-06-19,31
2013-06-20,31
2013-06-21,31
2013-06-22,31
2013-06-23,31
2013-06-24,32
2013-06-25,33
2013-06-26,33
2013-06-27,34
2013-06-28,34
2013-06-29,35
2013-06-30,33
2013-07-01,30
2013-07-02,28
2013-07-03,25
2013-07-04,23
2013-07-05,21
2013-07-06,19
2013-07-07,20
2013-07-08,21
2013-07-09,23
2013-07-10,24
2013-07-11,26
2013-07-12,27
2013-07-13,29
2013-07-14,29
2013-07-15,29
2013-07-16,29
2013-07-17,29
2013-07-18,29
2013-07-19,30
2013-07-20,30
2013-07-21,28
2013-07-22,26
2013-07-23,25
2013-07-24,23
2013-07-25,22
2013-07-26,20
2013-07-27,19
2013-07-28,19
2013-08-04,23
2013-08-05,22
2013-08-06,21
2013-08-07,21
2013-08-08,20
2013-08-09,19
2013-08-10,19
2013-08-11,20
2013-08-12,21
2013-08-13,22
2013-08-14,23
2013-08-15,24
2013-08-16,25
2013-08-17,27
2013-08-18,26
2013-08-19,26
2013-08-20,25
2013-08-21,25
2013-08-22,24
2013-08-23,24
2013-08-24,24
2013-08-25,23
2013-08-26,23
2013-08-27,22
2013-08-28,22
2013-08-29,21
2013-08-30,21
2013-08-31,21
2013-09-01,21
2013-09-02,21
2013-09-03,21
2013-09-04,21
2013-09-05,21
2013-09-06,21
2013-09-07,21
2013-09-08,20
2013-09-09,20
2013-09-10,19
2013-09-11,19
2013-09-12,18
2013-09-13,18
2013-09-14,18
2013-09-15,17
2013-09-16,17
2013-09-17,16
2013-09-18,16
2013-09-19,15
2013-09-20,15
2013-09-21,15
2013-09-22,16
2013-09-23,18
2013-09-24,19
2013-09-25,21
2013-09-26,22
2013-09-27,24
2013-09-28,26
2013-09-29,25
2013-09-30,25
2013-10-01,24
2013-10-02,24
2013-10-03,23
2013-10-04,23
2013-10-05,23
2013-10-06,22
2013-10-07,22
2013-10-08,22
2013-10-09,22
2013-10-10,22
2013-10-11,22
2013-10-12,22
2013-10-13,21
2013-10-14,20
2013-10-15,19
2013-10-16,18
2013-10-17,17
2013-10-18,16
2013-10-19,16
2013-10-20,15
2013-10-21,15
2013-10-22,15
2013-10-23,15
2013-10-24,15
2013-10-25,15
2013-10-26,15
2013-10-27,15
2013-11-03,18
2013-11-04,18
2013-11-05,18
2013-11-06,18
2013-11-07,18
2013-11-08,18
2013-11-09,18
2013-11-10,17
2013-11-11,17
2013-11-12,17
2013-11-13,16
2013-11-14,16
2013-11-15,16
2013-11-16,16
2013-11-17,16
2013-11-18,16
2013-11-19,16
2013-11-20,16
2013-11-21,16
2013-11-22,16
2013-11-23,16
2013-11-24,16
2013-11-25,17
2013-11-26,17
2013-11-27,18
2013-11-28,19
2013-11-29,19
2013-11-30,20
2013-12-01,18
2013-12-02,17
2013-12-03,15
2013-12-04,14
2013-12-05,12
2013-12-06,11
2013-12-07,10
2013-12-08,10
2013-12-09,10
2013-12-10,11
2013-12-11,11
2013-12-12,12
2013-12-13,12
2013-12-14,13
2013-12-15,13
2013-12-16,13
2013-12-17,13
2013-12-18,13
2013-12-19,13
2013-12-20,14
2013-12-21,14
2013-12-22,14
2013-12-23,15
2013-12-24,15
2013-12-25,16
2013-12-26,16
2013-12-27,17
2013-12-28,18
2013-12-29,18
2013-12-30,19
2013-12-31,20
2014-01-01,20
2014-01-02,21
2014-01-03,22
2014-01-04,23
2014-01-05,23
2014-01-06,24
2014-01-07,25
2014-01-08,25
2014-01-09,26
2014-01-10,27
2014-01-11,27
2014-01-12,25
2014-01-13,22
2014-01-14,20
2014-01-15,18
2014-01-16,16
2014-01-17,14
2014-01-18,12
2014-01-19,13
2014-01-20,14
2014-01-21,15
2014-01-22,16
2014-01-23,17
2014-01-24,18
2014-01-25,20
2014-01-26,20
2014-02-01,22
2014-02-02,22
2014-02-03,22
2014-02-04,22
2014-02-05,22
2014-02-06,22
2014-02-07,22
2014-02-08,22
2014-02-09,22
2014-02-10,22
2014-02-11,22
2014-02-12,23
2014-02-13,23
2014-02-14,23
2014-02-15,24
2014-02-16,22
2014-02-17,20
2014-02-18,18
2014-02-19,16
2014-02-20,14
2014-02-21,12
2014-02-22,11
2014-02-23,12
2014-02-24,13
2014-02-25,14
2014-02-26,15
2014-02-27,16
2014-02-28,17
