Date,Morgan Joseph
2006-11-05,59
2006-11-06,57
2006-11-07,55
2006-11-08,52
2006-11-09,50
2006-11-10,48
2006-11-11,46
2006-11-12,47
2006-11-13,48
2006-11-14,49
2006-11-15,50
2006-11-16,51
2006-11-17,52
2006-11-18,54
2006-11-19,55
2006-11-20,56
2006-11-21,57
2006-11-22,59
2006-11-23,60
2006-11-24,61
2006-11-25,63
2006-11-26,64
2006-11-27,65
2006-11-28,66
2006-11-29,67
2006-11-30,68
2006-12-01,70
2006-12-02,71
2006-12-03,67
2006-12-04,63
2006-12-05,60
2006-12-06,56
2006-12-07,52
2006-12-08,48
2006-12-09,45
2006-12-10,46
2006-12-11,47
2006-12-12,48
2006-12-13,49
2006-12-14,50
2006-12-15,51
2006-12-16,52
2006-12-17,53
2006-12-18,54
2006-12-19,55
2006-12-20,56
2006-12-21,57
2006-12-22,58
2006-12-23,59
2006-12-24,58
2006-12-25,57
2006-12-26,57
2006-12-27,56
2006-12-28,56
2006-12-29,55
2006-12-30,55
2006-12-31,55
2007-01-01,55
2007-01-02,55
2007-01-03,55
2007-01-04,55
2007-01-05,55
2007-01-06,55
2007-01-07,55
2007-01-08,55
2007-01-09,56
2007-01-10,56
2007-01-11,57
2007-01-12,57
2007-01-13,58
2007-01-14,58
2007-01-15,59
2007-01-16,59
2007-01-17,60
2007-01-18,60
2007-01-19,61
2007-01-20,62
2007-01-21,61
2007-01-22,61
2007-01-23,60
2007-01-24,60
2007-01-25,59
2007-01-26,58
2007-01-27,58
2007-01-28,56
2007-02-04,44
2007-02-05,44
2007-02-06,44
2007-02-07,44
2007-02-08,44
2007-02-09,44
2007-02-10,44
2007-02-11,45
2007-02-12,46
2007-02-13,47
2007-02-14,49
2007-02-15,50
2007-02-16,51
2007-02-17,53
2007-02-18,54
2007-02-19,55
2007-02-20,56
2007-02-21,58
2007-02-22,59
2007-02-23,60
2007-02-24,62
2007-02-25,62
2007-02-26,62
2007-02-27,62
2007-02-28,62
2007-03-01,62
2007-03-02,62
2007-03-03,62
2007-03-04,61
2007-03-05,60
2007-03-06,59
2007-03-07,58
2007-03-08,57
2007-03-09,56
2007-03-10,55
2007-03-11,53
2007-03-12,50
2007-03-13,48
2007-03-14,46
2007-03-15,44
2007-03-16,42
2007-03-17,40
