Date,RBC Capital Markets
2010-02-07,73
2010-02-08,71
2010-02-09,68
2010-02-10,65
2010-02-11,63
2010-02-12,60
2010-02-13,58
2010-02-14,60
2010-02-15,63
2010-02-16,65
2010-02-17,67
2010-02-18,70
2010-02-19,72
2010-02-20,75
2010-02-21,71
2010-02-22,67
2010-02-23,63
2010-02-24,59
2010-02-25,55
2010-02-26,51
2010-02-27,48
2010-02-28,50
2010-03-01,52
2010-03-02,54
2010-03-03,56
2010-03-04,58
2010-03-05,60
2010-03-06,62
2010-03-07,61
2010-03-08,61
2010-03-09,61
2010-03-10,60
2010-03-11,60
2010-03-12,60
2010-03-13,60
2010-03-14,58
2010-03-15,57
2010-03-16,55
2010-03-17,54
2010-03-18,53
2010-03-19,51
2010-03-20,50
2010-03-21,50
2010-03-22,50
2010-03-23,50
2010-03-24,50
2010-03-25,50
2010-03-26,50
2010-03-27,50
2010-03-28,50
2010-05-02,44
2010-05-03,43
2010-05-04,42
2010-05-05,41
2010-05-06,40
2010-05-07,39
2010-05-08,38
2010-05-09,39
2010-05-10,40
2010-05-11,42
2010-05-12,43
2010-05-13,45
2010-05-14,46
2010-05-15,48
2010-05-16,47
2010-05-17,47
2010-05-18,47
2010-05-19,47
2010-05-20,47
2010-05-21,47
2010-05-22,47
2010-05-23,49
2010-05-24,51
2010-05-25,53
2010-05-26,55
2010-05-27,57
2010-05-28,59
2010-05-29,62
2010-05-30,61
2010-05-31,62
2010-06-01,61
2010-06-02,61
2010-06-03,61
2010-06-04,61
2010-06-05,60
2010-06-06,58
2010-06-07,55
2010-06-08,52
2010-06-09,50
2010-06-10,47
2010-06-11,45
2010-06-12,43
2010-06-13,45
2010-06-14,47
2010-06-15,50
2010-06-16,52
2010-06-17,54
2010-06-18,57
2010-06-19,59
2010-06-20,59
2010-06-21,58
2010-06-22,58
2010-06-23,58
2010-06-24,57
2010-06-25,57
2010-06-26,57
2010-06-27,55
2010-06-28,54
2010-06-29,52
2010-06-30,51
2010-07-01,49
2010-07-02,48
2010-07-03,47
2010-07-04,47
2010-07-05,48
2010-07-06,49
2010-07-07,50
2010-07-08,51
2010-07-09,52
2010-07-10,53
2010-07-11,52
2010-07-12,51
2010-07-13,50
2010-07-14,49
2010-07-15,48
2010-07-16,47
2010-07-17,46
2010-07-18,47
2010-07-19,48
2010-07-20,50
2010-07-21,51
2010-07-22,53
2010-07-23,54
2010-07-24,56
2010-07-25,55
2010-08-01,49
2010-08-02,47
2010-08-03,45
2010-08-04,44
2010-08-05,42
2010-08-06,40
2010-08-07,39
2010-08-08,39
2010-08-09,39
2010-08-10,39
2010-08-11,39
2010-08-12,39
2010-08-13,39
2010-08-14,39
2010-08-15,42
2010-08-16,46
2010-08-17,50
2010-08-18,54
2010-08-19,57
2010-08-20,61
2010-08-21,65
2010-08-22,62
2010-08-23,60
2010-08-24,57
2010-08-25,54
2010-08-26,52
2010-08-27,49
2010-08-28,47
2010-08-29,49
2010-08-30,51
2010-08-31,53
2010-09-01,55
2010-09-02,57
2010-09-03,59
2010-09-04,61
2010-09-05,60
2010-09-06,60
2010-09-07,59
2010-09-08,59
2010-09-09,58
2010-09-10,58
2010-09-11,58
2010-09-12,64
2010-09-13,70
2010-09-14,76
2010-09-15,82
2010-09-16,88
2010-09-17,94
2010-09-18,101
2010-09-19,96
2010-09-20,91
2010-09-21,86
