Date,Janney Montgomery Scott
2006-07-20,0
2006-07-21,0
2006-07-22,0
2006-07-23,0
2006-07-24,0
2006-07-25,0
2006-07-26,0
2006-07-27,0
2006-07-28,0
2006-07-29,0
2006-07-30,0
2006-07-31,0
2006-08-01,0
2006-08-02,0
2006-08-03,0
2006-08-04,0
2006-08-05,0
2006-08-06,0
2006-08-07,0
2006-08-08,0
2006-08-09,0
2006-08-10,0
2006-08-11,0
2006-08-12,0
2006-08-13,0
2006-08-14,0
2006-08-15,0
2006-08-16,0
2006-08-17,0
2006-08-18,0
2006-08-19,0
2006-08-20,0
2006-08-21,0
2006-08-22,0
2006-08-23,0
2006-08-24,0
2006-08-25,0
2006-08-26,0
2006-08-27,0
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0
2006-09-08,0
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,8
2006-09-25,16
2006-09-26,24
2006-09-27,33
2006-09-28,41
2006-09-29,49
2006-09-30,58
2006-10-01,49
2006-10-02,41
2006-10-03,33
2006-10-04,24
2006-10-05,16
2006-10-06,8
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-05,8
2006-11-06,17
2006-11-07,26
2006-11-08,35
2006-11-09,44
2006-11-10,53
2006-11-11,62
2006-11-12,60
2006-11-13,59
2006-11-14,57
2006-11-15,56
2006-11-16,54
2006-11-17,53
2006-11-18,52
2006-11-19,52
2006-11-20,52
2006-11-21,52
2006-11-22,52
2006-11-23,52
2006-11-24,52
2006-11-25,52
2006-11-26,52
2006-11-27,52
2006-11-28,52
2006-11-29,52
2006-11-30,52
2006-12-01,52
2006-12-02,52
2006-12-03,52
2006-12-04,52
2006-12-05,52
2006-12-06,52
2006-12-07,52
2006-12-08,52
2006-12-09,52
2006-12-10,52
2006-12-11,52
2006-12-12,52
2006-12-13,52
2006-12-14,52
2006-12-15,52
2006-12-16,53
2006-12-17,53
2006-12-18,53
2006-12-19,53
2006-12-20,54
2006-12-21,54
2006-12-22,54
2006-12-23,55
2006-12-24,55
2006-12-25,55
2006-12-26,55
2006-12-27,55
2006-12-28,55
2006-12-29,55
2006-12-30,56
2006-12-31,56
2007-01-01,56
2007-01-02,57
2007-01-03,57
2007-01-04,57
2007-01-05,57
2007-01-06,58
2007-01-07,56
2007-01-08,54
2007-01-09,52
2007-01-10,50
2007-01-11,48
2007-01-12,46
2007-01-13,44
2007-01-14,44
2007-01-15,44
2007-01-16,44
2007-01-17,44
2007-01-18,44
2007-01-19,44
2007-01-20,44
2007-01-21,44
2007-01-22,44
2007-01-23,44
2007-01-24,44
2007-01-25,44
2007-01-26,44
2007-01-27,44
2007-01-28,43
2007-02-01,40
2007-02-02,39
2007-02-03,39
2007-02-04,39
2007-02-05,39
2007-02-06,40
2007-02-07,40
2007-02-08,41
2007-02-09,41
2007-02-10,42
2007-02-11,42
2007-02-12,42
2007-02-13,42
2007-02-14,42
2007-02-15,42
2007-02-16,42
2007-02-17,43
2007-02-18,43
2007-02-19,43
2007-02-20,43
2007-02-21,43
2007-02-22,43
2007-02-23,43
2007-02-24,44
2007-02-25,43
2007-02-26,42
2007-02-27,41
2007-02-28,40
2007-03-01,39
2007-03-02,38
2007-03-03,38
2007-03-04,38
2007-03-05,38
2007-03-06,38
2007-03-07,38
2007-03-08,38
2007-03-09,38
2007-03-10,38
2007-03-11,38
2007-03-12,38
2007-03-13,38
2007-03-14,38
2007-03-15,38
