Date,Citibank
2009-05-01,62
2009-05-02,62
2009-05-03,62
2009-05-04,63
2009-05-05,64
2009-05-06,68
2009-05-07,65
2009-05-08,66
2009-05-09,68
2009-05-10,67
2009-05-11,67
2009-05-12,67
2009-05-13,68
2009-05-14,72
2009-05-15,68
2009-05-16,69
2009-05-17,75
2009-05-18,71
2009-05-19,72
2009-05-20,73
2009-05-21,80
2009-05-22,75
2009-05-23,76
2009-05-24,77
2009-05-25,78
2009-05-26,85
2009-05-27,81
2009-05-28,81
2009-05-29,82
2009-05-30,84
2009-05-31,80
2009-06-01,77
2009-06-02,83
2009-06-03,72
2009-06-04,67
2009-06-05,64
2009-06-06,61
2009-06-07,62
2009-06-08,63
2009-06-09,68
2009-06-10,65
2009-06-11,66
2009-06-12,67
2009-06-13,71
2009-06-14,68
2009-06-15,67
2009-06-16,70
2009-06-17,66
2009-06-18,71
2009-06-19,64
2009-06-20,64
2009-06-21,65
2009-06-22,66
2009-06-23,69
2009-06-24,69
2009-06-25,71
2009-06-26,72
2009-06-27,74
2009-06-28,75
2009-06-29,76
2009-06-30,80
2009-07-01,80
2009-07-02,79
2009-07-03,80
2009-07-04,87
2009-07-05,78
2009-07-06,76
2009-07-07,74
2009-07-08,71
2009-07-09,69
2009-07-10,68
2009-07-11,65
2009-07-12,66
2009-07-13,67
2009-07-14,69
2009-07-15,71
2009-07-16,72
2009-07-17,76
2009-07-18,75
2009-07-19,73
2009-07-20,72
2009-07-21,70
2009-07-22,69
2009-07-23,67
2009-07-24,66
2009-07-25,65
2009-07-26,67
2009-07-27,69
2009-07-28,73
2009-07-29,79
2009-07-30,76
2009-07-31,78
2009-08-01,81
2009-08-02,80
2009-08-03,80
2009-08-04,83
2009-08-05,79
2009-08-06,84
2009-08-07,78
2009-08-08,78
2009-08-09,78
2009-08-10,79
2009-08-11,86
2009-08-12,83
2009-08-13,81
2009-08-14,82
2009-08-15,90
2009-08-16,81
2009-08-17,79
2009-08-18,77
2009-08-19,75
2009-08-20,73
2009-08-21,71
2009-08-22,69
2009-08-23,69
2009-08-24,70
2009-08-25,71
2009-08-26,80
2009-08-27,73
2009-08-28,74
2009-08-29,75
2009-08-30,76
2009-08-31,74
2009-09-01,74
2009-09-02,73
2009-09-03,77
2009-09-04,73
2009-09-05,73
2009-09-06,73
2009-09-07,73
2009-09-08,82
2009-09-09,74
2009-09-10,74
2009-09-11,74
2009-09-12,77
2009-09-13,73
2009-09-14,72
2009-09-15,72
2009-09-16,69
2009-09-17,67
2009-09-18,71
2009-09-19,65
2009-09-20,62
