Date,Aegis Capital
2011-11-06,71
2011-11-07,71
2011-11-08,71
2011-11-09,72
2011-11-10,72
2011-11-11,72
2011-11-12,73
2011-11-13,70
2011-11-14,68
2011-11-15,66
2011-11-16,64
2011-11-17,62
2011-11-18,60
2011-11-19,58
2011-11-20,58
2011-11-21,58
2011-11-22,58
2011-11-23,58
2011-11-24,58
2011-11-25,58
2011-11-26,58
2011-11-27,58
2011-11-28,59
2011-11-29,60
2011-11-30,61
2011-12-01,62
2011-12-02,63
2011-12-03,64
2011-12-04,65
2011-12-05,66
2011-12-06,67
2011-12-07,68
2011-12-08,69
2011-12-09,70
2011-12-10,71
2011-12-11,71
2011-12-12,71
2011-12-13,71
2011-12-14,71
2011-12-15,71
2011-12-16,71
2011-12-17,72
2011-12-18,72
2011-12-19,72
2011-12-20,72
2011-12-21,73
2011-12-22,73
2011-12-23,73
2011-12-24,74
2011-12-25,71
2011-12-26,68
2011-12-27,65
2011-12-28,62
2011-12-29,59
2011-12-30,56
2011-12-31,53
2012-01-01,53
2012-01-02,53
2012-01-03,53
2012-01-04,53
2012-01-05,53
2012-01-06,53
2012-01-07,53
2012-01-08,57
2012-01-09,61
2012-01-10,65
2012-01-11,69
2012-01-12,73
2012-01-13,77
2012-01-14,81
2012-01-15,79
2012-01-16,78
2012-01-17,76
2012-01-18,75
2012-01-19,73
2012-01-20,72
2012-01-21,71
2012-01-22,71
2012-01-23,72
2012-01-24,72
2012-01-25,72
2012-01-26,72
2012-01-27,72
2012-01-28,72
2012-01-29,73
2012-02-05,68
2012-02-06,77
2012-02-07,62
2012-02-08,60
2012-02-09,57
2012-02-10,54
2012-02-11,52
2012-02-12,57
2012-02-13,64
2012-02-14,69
2012-02-15,75
2012-02-16,81
2012-02-17,87
2012-02-18,93
2012-02-19,86
2012-02-20,78
2012-02-21,71
2012-02-22,64
2012-02-23,57
2012-02-24,50
2012-02-25,44
2012-02-26,45
2012-02-27,46
2012-02-28,48
2012-02-29,49
2012-03-01,50
2012-03-02,52
2012-03-03,53
2012-03-04,55
2012-03-05,57
2012-03-06,59
2012-03-07,61
2012-03-08,63
2012-03-09,65
2012-03-10,67
2012-03-11,63
2012-03-12,60
2012-03-13,57
2012-03-14,53
2012-03-15,50
2012-03-16,47
2012-03-17,44
2012-03-18,47
2012-03-19,50
2012-03-20,53
2012-03-21,56
2012-03-22,59
2012-03-23,62
2012-03-24,66
2012-03-25,64
2012-03-26,62
2012-03-27,60
2012-03-28,58
2012-03-29,56
2012-03-30,54
2012-03-31,53
2012-04-01,56
2012-04-02,59
2012-04-03,63
2012-04-04,66
2012-04-05,70
2012-04-06,73
2012-04-07,77
2012-04-08,80
2012-04-09,84
2012-04-10,88
2012-04-11,91
2012-04-12,94
2012-04-13,98
2012-04-14,101
2012-04-15,97
2012-04-16,90
2012-04-17,85
2012-04-18,80
2012-04-19,75
2012-04-20,70
2012-04-21,65
