Date,Jefferies & Company
2006-11-01,85
2006-11-02,85
2006-11-03,85
2006-11-04,85
2006-11-05,85
2006-11-06,85
2006-11-07,85
2006-11-08,85
2006-11-09,85
2006-11-10,85
2006-11-11,85
2006-11-12,85
2006-11-13,85
2006-11-14,85
2006-11-15,85
2006-11-16,85
2006-11-17,85
2006-11-18,85
2006-11-19,85
2006-11-20,85
2006-11-21,85
2006-11-22,85
2006-11-23,85
2006-11-24,85
2006-11-25,85
2006-11-26,85
2006-11-27,85
2006-11-28,85
2006-11-29,85
2006-11-30,85
2006-12-01,85
2006-12-02,85
2006-12-03,85
2006-12-04,85
2006-12-05,85
2006-12-06,85
2006-12-07,85
2006-12-08,85
2006-12-09,85
2006-12-10,85
2006-12-11,85
2006-12-12,85
2006-12-13,85
2006-12-14,85
2006-12-15,85
2006-12-16,85
2006-12-17,85
2006-12-18,85
2006-12-19,85
2006-12-20,85
2006-12-21,85
2006-12-22,85
2006-12-23,85
2006-12-24,85
2006-12-25,85
2006-12-26,85
2006-12-27,85
2006-12-28,85
2006-12-29,85
2006-12-30,85
2006-12-31,85
2007-01-01,85
2007-01-02,85
2007-01-03,85
2007-01-04,85
2007-01-05,85
2007-01-06,85
2007-01-07,85
2007-01-08,85
2007-01-09,85
2007-01-10,85
2007-01-11,85
2007-01-12,85
2007-01-13,85
2007-01-14,85
2007-01-15,85
2007-01-16,85
2007-01-17,85
2007-01-18,85
2007-01-19,85
2007-01-20,85
2007-01-21,85
2007-01-22,85
2007-01-23,85
2007-01-24,85
2007-01-25,85
2007-01-26,85
2007-01-27,85
2007-01-28,85
2007-01-29,85
2007-01-30,85
2007-01-31,85
2007-02-01,85
2007-02-02,83
2007-02-03,82
2007-02-04,81
2007-02-05,80
2007-02-06,78
2007-02-07,77
2007-02-08,76
2007-02-09,75
2007-02-10,74
2007-02-11,72
2007-02-12,71
2007-02-13,70
2007-02-14,69
2007-02-15,68
2007-02-16,66
2007-02-17,65
2007-02-18,64
2007-02-19,63
2007-02-20,61
2007-02-21,60
2007-02-22,59
2007-02-23,58
2007-02-24,57
2007-02-25,55
2007-02-26,54
2007-02-27,53
2007-02-28,52
2007-03-01,51
2007-03-02,51
2007-03-03,51
2007-03-04,51
2007-03-05,51
2007-03-06,51
2007-03-07,51
2007-03-08,51
2007-03-09,51
2007-03-10,51
2007-03-11,51
2007-03-12,51
2007-03-13,51
2007-03-14,51
2007-03-15,51
2007-03-16,51
2007-03-17,51
2007-03-18,51
2007-03-19,51
2007-03-20,51
2007-03-21,51
2007-03-22,51
2007-03-23,51
2007-03-24,51
2007-03-25,51
2007-03-26,51
2007-03-27,51
2007-03-28,51
2007-03-29,51
2007-03-30,51
2007-03-31,51
2007-04-01,51
2007-04-02,51
2007-04-03,51
2007-04-04,51
2007-04-05,51
2007-04-06,51
2007-04-07,51
2007-04-08,51
2007-04-09,51
2007-04-10,51
2007-04-11,51
2007-04-12,51
2007-04-13,51
2007-04-14,51
2007-04-15,51
2007-04-16,51
2007-04-17,51
2007-04-18,51
