Date,DA Davidson
2007-09-05,51
2007-09-06,52
2007-09-07,52
2007-09-08,53
2007-09-09,51
2007-09-10,49
2007-09-11,47
2007-09-12,45
2007-09-13,43
2007-09-14,41
2007-09-15,40
2007-09-16,47
2007-09-17,54
2007-09-18,62
2007-09-19,69
2007-09-20,76
2007-09-21,84
2007-09-22,91
2007-09-23,86
2007-09-24,81
2007-09-25,75
2007-09-26,70
2007-09-27,65
2007-09-28,59
2007-09-29,54
2007-09-30,53
2007-10-01,50
2007-10-02,49
2007-10-03,47
2007-10-04,46
2007-10-05,44
2007-10-06,43
2007-10-07,43
2007-10-08,43
2007-10-09,43
2007-10-10,43
2007-10-11,43
2007-10-12,43
2007-10-13,43
2007-10-14,42
2007-10-15,41
2007-10-16,40
2007-10-17,39
2007-10-18,38
2007-10-19,37
2007-10-20,37
2007-10-21,37
2007-10-22,38
2007-10-23,38
2007-10-24,38
2007-10-25,38
2007-10-26,39
2007-10-27,40
2007-10-28,37
2007-11-04,38
2007-11-05,38
2007-11-06,38
2007-11-07,39
2007-11-08,39
2007-11-09,39
2007-11-10,40
2007-11-11,40
2007-11-12,41
2007-11-13,42
2007-11-14,43
2007-11-15,44
2007-11-16,45
2007-11-17,46
2007-11-18,45
2007-11-19,44
2007-11-20,43
2007-11-21,43
2007-11-22,42
2007-11-23,41
2007-11-24,41
2007-11-25,42
2007-11-26,43
2007-11-27,44
2007-11-28,46
2007-11-29,47
2007-11-30,48
2007-12-01,50
2007-12-02,51
2007-12-03,53
2007-12-04,54
2007-12-05,55
2007-12-06,56
2007-12-07,58
2007-12-08,59
2007-12-09,56
2007-12-10,53
2007-12-11,50
2007-12-12,47
2007-12-13,44
2007-12-14,41
2007-12-15,39
2007-12-16,40
2007-12-17,41
2007-12-18,43
2007-12-19,44
2007-12-20,46
2007-12-21,47
2007-12-22,49
2007-12-23,50
2007-12-24,52
2007-12-25,53
2007-12-26,55
2007-12-27,56
2007-12-28,58
2007-12-29,60
2007-12-30,57
2007-12-31,54
2008-01-01,51
2008-01-02,49
2008-01-03,46
2008-01-04,43
2008-01-05,41
2008-01-06,40
2008-01-07,40
2008-01-08,39
2008-01-09,39
2008-01-10,39
2008-01-11,38
2008-01-12,38
2008-01-13,38
2008-01-14,37
2008-01-15,37
2008-01-16,37
2008-01-17,37
2008-01-18,37
2008-01-19,37
2008-01-20,38
2008-01-21,40
2008-01-22,42
2008-01-23,44
2008-01-24,46
2008-01-25,48
2008-01-26,50
2008-01-27,57
