Date,Cohen & Company
2013-02-01,100
2013-02-02,99
2013-02-03,98
2013-02-04,97
2013-02-05,96
2013-02-06,95
2013-02-07,94
2013-02-08,93
2013-02-09,92
2013-02-10,91
2013-02-11,90
2013-02-12,89
2013-02-13,88
2013-02-14,87
2013-02-15,87
2013-02-16,86
2013-02-17,85
2013-02-18,84
2013-02-19,83
2013-02-20,82
2013-02-21,81
2013-02-22,80
2013-02-23,79
2013-02-24,78
2013-02-25,77
2013-02-26,76
2013-02-27,75
2013-02-28,74
2013-03-01,74
2013-03-02,74
2013-03-03,74
2013-03-04,75
2013-03-05,75
2013-03-06,76
2013-03-07,76
2013-03-08,77
2013-03-09,77
2013-03-10,78
2013-03-11,78
2013-03-12,78
2013-03-13,79
2013-03-14,79
2013-03-15,80
2013-03-16,80
2013-03-17,81
2013-03-18,81
2013-03-19,82
2013-03-20,82
2013-03-21,83
2013-03-22,83
2013-03-23,83
2013-03-24,84
2013-03-25,84
2013-03-26,85
2013-03-27,85
2013-03-28,86
2013-03-29,86
2013-03-30,87
2013-03-31,87
2013-04-01,88
2013-04-02,87
2013-04-03,86
2013-04-04,86
2013-04-05,85
2013-04-06,85
2013-04-07,84
2013-04-08,84
2013-04-09,83
2013-04-10,83
2013-04-11,82
2013-04-12,82
2013-04-13,81
2013-04-14,81
2013-04-15,80
2013-04-16,80
2013-04-17,79
2013-04-18,78
2013-04-19,78
2013-04-20,77
2013-04-21,77
2013-04-22,76
2013-04-23,76
2013-04-24,75
2013-04-25,75
2013-04-26,74
2013-04-27,74
2013-04-28,73
2013-04-29,73
2013-04-30,72
2013-05-01,72
2013-05-02,71
2013-05-03,70
2013-05-04,70
2013-05-05,69
2013-05-06,69
2013-05-07,68
2013-05-08,67
2013-05-09,67
2013-05-10,66
2013-05-11,66
2013-05-12,65
2013-05-13,65
2013-05-14,64
2013-05-15,63
2013-05-16,63
2013-05-17,62
2013-05-18,62
2013-05-19,61
2013-05-20,60
2013-05-21,60
2013-05-22,59
2013-05-23,59
2013-05-24,58
2013-05-25,58
2013-05-26,57
2013-05-27,56
2013-05-28,56
2013-05-29,55
2013-05-30,55
2013-05-31,54
2013-06-01,54
2013-06-02,54
2013-06-03,54
2013-06-04,55
2013-06-05,55
2013-06-06,55
2013-06-07,56
2013-06-08,56
2013-06-09,56
2013-06-10,57
2013-06-11,57
2013-06-12,58
2013-06-13,58
2013-06-14,58
2013-06-15,59
2013-06-16,59
2013-06-17,59
2013-06-18,60
2013-06-19,60
2013-06-20,60
2013-06-21,61
2013-06-22,61
2013-06-23,62
2013-06-24,62
2013-06-25,62
2013-06-26,63
2013-06-27,63
2013-06-28,63
2013-06-29,64
2013-06-30,64
2013-07-01,65
2013-07-02,65
2013-07-03,66
2013-07-04,66
2013-07-05,67
2013-07-06,67
2013-07-07,68
2013-07-08,68
2013-07-09,69
2013-07-10,69
2013-07-11,70
2013-07-12,71
2013-07-13,71
2013-07-14,72
2013-07-15,72
2013-07-16,73
2013-07-17,73
2013-07-18,74
2013-07-19,74
2013-07-20,75
2013-07-21,75
2013-07-22,76
2013-07-23,77
2013-07-24,77
2013-07-25,78
2013-07-26,78
2013-07-27,79
2013-07-28,79
2013-07-29,80
2013-07-30,80
2013-07-31,81
2013-08-01,82
2013-08-02,81
2013-08-03,80
2013-08-04,80
2013-08-05,79
2013-08-06,78
2013-08-07,78
2013-08-08,77
2013-08-09,77
2013-08-10,76
2013-08-11,75
2013-08-12,75
2013-08-13,74
2013-08-14,74
2013-08-15,73
2013-08-16,72
2013-08-17,72
2013-08-18,71
2013-08-19,70
2013-08-20,70
2013-08-21,69
2013-08-22,69
2013-08-23,68
2013-08-24,67
2013-08-25,67
2013-08-26,66
2013-08-27,66
2013-08-28,65
2013-08-29,64
2013-08-30,64
2013-08-31,63
2013-09-01,63
2013-09-02,62
2013-09-03,62
2013-09-04,62
2013-09-05,62
2013-09-06,62
2013-09-07,62
2013-09-08,62
2013-09-09,62
2013-09-10,62
2013-09-11,62
2013-09-12,61
2013-09-13,61
2013-09-14,61
2013-09-15,61
2013-09-16,61
2013-09-17,61
2013-09-18,61
2013-09-19,61
2013-09-20,61
2013-09-21,61
2013-09-22,60
2013-09-23,60
2013-09-24,60
2013-09-25,60
2013-09-26,60
2013-09-27,60
2013-09-28,60
2013-09-29,60
2013-09-30,60
2013-10-01,60
2013-10-02,60
2013-10-03,60
2013-10-04,60
2013-10-05,60
2013-10-06,60
2013-10-07,60
2013-10-08,61
2013-10-09,61
2013-10-10,61
2013-10-11,61
2013-10-12,61
2013-10-13,61
2013-10-14,62
2013-10-15,62
2013-10-16,62
2013-10-17,62
2013-10-18,62
2013-10-19,62
2013-10-20,63
2013-10-21,63
2013-10-22,63
2013-10-23,63
2013-10-24,63
2013-10-25,63
2013-10-26,64
2013-10-27,64
2013-10-28,64
2013-10-29,64
2013-10-30,64
2013-10-31,64
2013-11-01,65
2013-11-02,64
2013-11-03,64
2013-11-04,64
2013-11-05,64
2013-11-06,64
2013-11-07,64
2013-11-08,63
2013-11-09,63
2013-11-10,63
