Date,Canaccord Adams Inc
2009-08-01,67
2009-08-02,66
2009-08-03,65
2009-08-04,64
2009-08-05,64
2009-08-06,63
2009-08-07,62
2009-08-08,62
2009-08-09,64
2009-08-10,67
2009-08-11,71
2009-08-12,73
2009-08-13,76
2009-08-14,80
2009-08-15,82
2009-08-16,78
2009-08-17,75
2009-08-18,72
2009-08-19,68
2009-08-20,65
2009-08-21,62
2009-08-22,59
2009-08-23,59
2009-08-24,62
2009-08-25,61
2009-08-26,61
2009-08-27,62
2009-08-28,63
2009-08-29,64
2009-08-30,62
2009-08-31,61
2009-09-01,61
2009-09-02,58
2009-09-03,56
2009-09-04,55
2009-09-05,54
2009-09-06,55
2009-09-07,57
2009-09-08,59
2009-09-09,64
2009-09-10,63
2009-09-11,65
2009-09-12,69
2009-09-13,68
2009-09-14,70
2009-09-15,72
2009-09-16,74
2009-09-17,75
2009-09-18,77
2009-09-19,79
2009-09-20,78
2009-09-21,78
2009-09-22,78
2009-09-23,85
2009-09-24,78
2009-09-25,79
2009-09-26,79
2009-09-27,77
2009-09-28,76
2009-09-29,75
2009-09-30,74
2009-10-01,76
2009-10-02,72
2009-10-03,75
2009-10-04,75
2009-10-05,79
2009-10-06,83
2009-10-07,88
2009-10-08,92
2009-10-09,95
2009-10-10,111
2009-10-11,97
2009-10-12,95
2009-10-13,93
2009-10-14,91
2009-10-15,95
2009-10-16,87
2009-10-17,87
2009-10-18,83
2009-10-19,81
2009-10-20,79
2009-10-21,80
2009-10-22,76
2009-10-23,74
2009-10-24,73
2009-10-25,72
2009-10-26,72
2009-10-27,72
2009-10-28,75
2009-10-29,72
2009-10-30,74
2009-10-31,72
2009-11-01,70
2009-11-02,69
2009-11-03,67
2009-11-04,66
2009-11-05,64
2009-11-06,67
2009-11-07,62
2009-11-08,61
2009-11-09,60
2009-11-10,59
2009-11-11,58
2009-11-12,57
2009-11-13,58
2009-11-14,55
2009-11-15,56
2009-11-16,57
2009-11-17,59
2009-11-18,61
2009-11-19,63
2009-11-20,63
2009-11-21,65
2009-11-22,64
2009-11-23,64
2009-11-24,66
2009-11-25,63
2009-11-26,62
2009-11-27,62
2009-11-28,62
2009-11-29,64
2009-11-30,66
2009-12-01,68
2009-12-02,75
2009-12-03,72
2009-12-04,74
2009-12-05,81
2009-12-06,74
2009-12-07,73
2009-12-08,74
2009-12-09,70
2009-12-10,68
2009-12-11,67
2009-12-12,66
2009-12-13,64
2009-12-14,63
2009-12-15,61
2009-12-16,63
2009-12-17,59
2009-12-18,57
2009-12-19,56
2009-12-20,56
2009-12-21,57
2009-12-22,57
2009-12-23,58
2009-12-24,58
2009-12-25,59
2009-12-26,60
2009-12-27,57
2009-12-28,54
2009-12-29,51
2009-12-30,49
2009-12-31,46
2010-01-01,43
2010-01-02,41
2010-01-03,46
2010-01-04,51
2010-01-05,56
2010-01-06,65
2010-01-07,67
2010-01-08,72
2010-01-09,80
2010-01-10,76
2010-01-11,74
2010-01-12,73
2010-01-13,72
2010-01-14,70
2010-01-15,68
2010-01-16,71
2010-01-17,70
2010-01-18,73
2010-01-19,76
2010-01-20,80
2010-01-21,84
2010-01-22,86
2010-01-23,90
2010-01-24,88
2010-01-25,87
2010-01-26,86
2010-01-27,88
2010-01-28,83
2010-01-29,82
2010-01-30,81
2010-01-31,79
2010-02-01,78
2010-02-02,77
2010-02-03,75
2010-02-04,76
2010-02-05,75
2010-02-06,72
2010-02-07,69
2010-02-08,66
2010-02-09,66
2010-02-10,61
2010-02-11,59
2010-02-12,55
2010-02-13,53
2010-02-14,52
2010-02-15,51
2010-02-16,50
2010-02-17,49
2010-02-18,49
2010-02-19,47
2010-02-20,46
2010-02-21,46
2010-02-22,46
2010-02-23,51
2010-02-24,47
2010-02-25,48
2010-02-26,48
2010-02-27,49
2010-02-28,53
2010-03-01,58
2010-03-02,63
2010-03-03,68
2010-03-04,73
2010-03-05,84
2010-03-06,86
2010-03-07,81
2010-03-08,80
2010-03-09,78
2010-03-10,79
2010-03-11,75
2010-03-12,75
2010-03-13,73
2010-03-14,71
2010-03-15,69
2010-03-16,70
2010-03-17,65
2010-03-18,66
2010-03-19,62
2010-03-20,60
2010-03-21,60
2010-03-22,60
2010-03-23,60
2010-03-24,60
2010-03-25,60
2010-03-26,62
2010-03-27,60
2010-03-28,59
2010-03-29,59
2010-03-30,64
2010-03-31,59
2010-05-01,80
2010-05-02,77
2010-05-03,75
2010-05-04,72
2010-05-05,69
2010-05-06,67
2010-05-07,64
2010-05-08,62
2010-05-09,63
2010-05-10,64
2010-05-11,65
2010-05-12,67
2010-05-13,70
2010-05-14,68
2010-05-15,75
2010-05-16,69
2010-05-17,69
2010-05-18,69
2010-05-19,69
2010-05-20,69
2010-05-21,71
2010-05-22,69
2010-05-23,67
2010-05-24,66
2010-05-25,64
2010-05-26,68
2010-05-27,61
2010-05-28,60
2010-05-29,59
2010-05-30,60
2010-05-31,61
2010-06-01,62
2010-06-02,63
2010-06-03,64
2010-06-04,65
2010-06-05,66
2010-06-06,66
2010-06-07,67
2010-06-08,68
2010-06-09,71
2010-06-10,70
2010-06-11,77
2010-06-12,72
2010-06-13,71
2010-06-14,71
