Date,Roth Capital Partners
2010-09-05,36
2010-09-06,37
2010-09-07,37
2010-09-08,38
2010-09-09,38
2010-09-10,39
2010-09-11,40
2010-09-12,39
2010-09-13,38
2010-09-14,37
2010-09-15,37
2010-09-16,36
2010-09-17,35
2010-09-18,35
2010-09-19,39
2010-09-20,44
2010-09-21,49
2010-09-22,53
2010-09-23,58
2010-09-24,63
2010-09-25,67
2010-09-26,63
2010-09-27,58
2010-09-28,54
2010-09-29,50
2010-09-30,46
2010-10-01,42
2010-10-02,38
2010-10-03,38
2010-10-04,38
2010-10-05,38
2010-10-06,38
2010-10-07,38
2010-10-08,38
2010-10-09,38
2010-10-10,40
2010-10-11,43
2010-10-12,45
2010-10-13,48
2010-10-14,50
2010-10-15,52
2010-10-16,55
2010-10-17,52
2010-10-18,49
2010-10-19,46
2010-10-20,43
2010-10-21,40
2010-10-22,37
2010-10-23,34
2010-10-24,34
2010-10-25,34
2010-10-26,35
2010-10-27,35
2010-10-28,36
2010-10-29,36
2010-10-30,37
2010-10-31,37
2010-11-01,37
2010-11-02,38
2010-11-03,38
2010-11-04,39
2010-11-05,39
2010-11-06,40
2010-11-07,39
2010-11-08,39
2010-11-09,39
2010-11-10,39
2010-11-11,39
2010-11-12,39
2010-11-13,39
2010-11-14,39
2010-11-15,39
2010-11-16,39
2010-11-17,39
2010-11-18,39
2010-11-19,39
2010-11-20,39
2010-11-21,39
2010-11-22,40
2010-11-23,40
2010-11-24,40
2010-11-25,40
2010-11-26,41
2010-11-27,43
2010-11-28,38
2010-12-05,37
2010-12-06,37
2010-12-07,36
2010-12-08,36
2010-12-09,35
2010-12-10,35
2010-12-11,35
2010-12-12,36
2010-12-13,37
2010-12-14,38
2010-12-15,39
2010-12-16,40
2010-12-17,41
2010-12-18,42
2010-12-19,43
2010-12-20,44
2010-12-21,45
2010-12-22,46
2010-12-23,47
2010-12-24,48
2010-12-25,49
2010-12-26,49
2010-12-27,61
2010-12-28,51
2010-12-29,52
2010-12-30,53
2010-12-31,54
2011-01-01,55
2011-01-02,56
2011-01-03,57
2011-01-04,58
2011-01-05,59
2011-01-06,60
2011-01-07,61
2011-01-08,62
2011-01-09,58
2011-01-10,53
2011-01-11,48
2011-01-12,44
2011-01-13,39
2011-01-14,35
2011-01-15,31
2011-01-16,33
2011-01-17,35
2011-01-18,37
2011-01-19,39
2011-01-20,41
2011-01-21,43
2011-01-22,45
2011-01-23,45
2011-01-24,46
2011-01-25,47
2011-01-26,47
2011-01-27,48
2011-01-28,48
2011-01-29,49
2011-01-30,48
2011-01-31,46
2011-02-01,44
2011-02-02,43
2011-02-03,41
2011-02-04,40
2011-02-05,39
2011-02-06,39
2011-02-07,39
2011-02-08,39
2011-02-09,39
2011-02-10,39
2011-02-11,39
2011-02-12,39
2011-02-13,38
2011-02-14,38
2011-02-15,37
2011-02-16,37
2011-02-17,36
2011-02-18,36
2011-02-19,36
2011-02-20,35
2011-02-21,34
2011-02-22,33
2011-02-23,32
2011-02-24,31
2011-02-25,30
2011-02-26,29
2011-02-27,32
2011-03-06,52
2011-03-07,55
2011-03-08,57
2011-03-09,60
2011-03-10,62
2011-03-11,65
2011-03-12,68
2011-03-13,72
2011-03-14,78
2011-03-15,83
2011-03-16,88
2011-03-17,93
2011-03-18,98
2011-03-19,104
2011-03-20,95
2011-03-21,80
2011-03-22,70
2011-03-23,61
2011-03-24,51
2011-03-25,41
2011-03-26,32
2011-03-27,33
2011-03-28,34
2011-03-29,35
2011-03-30,37
2011-03-31,38
2011-04-01,39
2011-04-02,41
2011-04-03,44
2011-04-04,48
2011-04-05,51
2011-04-06,55
2011-04-07,59
2011-04-08,62
2011-04-09,66
2011-04-10,66
2011-04-11,66
2011-04-12,66
2011-04-13,66
2011-04-14,66
2011-04-15,66
2011-04-16,66
2011-04-17,64
2011-04-18,62
2011-04-19,60
2011-04-20,58
2011-04-21,57
2011-04-22,55
