Date,Lazard Capital Markets
2011-01-01,76
2011-01-02,76
2011-01-03,76
2011-01-04,76
2011-01-05,76
2011-01-06,76
2011-01-07,76
2011-01-08,76
2011-01-09,76
2011-01-10,76
2011-01-11,76
2011-01-12,77
2011-01-13,77
2011-01-14,77
2011-01-15,77
2011-01-16,77
2011-01-17,77
2011-01-18,77
2011-01-19,77
2011-01-20,77
2011-01-21,77
2011-01-22,78
2011-01-23,78
2011-01-24,78
2011-01-25,78
2011-01-26,78
2011-01-27,78
2011-01-28,78
2011-01-29,78
2011-01-30,78
2011-01-31,78
2011-02-01,79
2011-02-02,79
2011-02-03,80
2011-02-04,80
2011-02-05,81
2011-02-06,81
2011-02-07,82
2011-02-08,82
2011-02-09,83
2011-02-10,83
2011-02-11,84
2011-02-12,84
2011-02-13,85
2011-02-14,85
2011-02-15,86
2011-02-16,87
2011-02-17,87
2011-02-18,88
2011-02-19,88
2011-02-20,89
2011-02-21,89
2011-02-22,90
2011-02-23,90
2011-02-24,91
2011-02-25,91
2011-02-26,92
2011-02-27,92
2011-02-28,93
2011-03-01,94
2011-03-02,92
2011-03-03,91
2011-03-04,90
2011-03-05,89
2011-03-06,87
2011-03-07,86
2011-03-08,85
2011-03-09,84
2011-03-10,82
2011-03-11,81
2011-03-12,80
2011-03-13,79
2011-03-14,78
2011-03-15,76
2011-03-16,75
2011-03-17,74
2011-03-18,73
2011-03-19,71
2011-03-20,70
2011-03-21,69
2011-03-22,68
2011-03-23,67
2011-03-24,65
2011-03-25,64
2011-03-26,63
2011-03-27,62
2011-03-28,60
2011-03-29,59
2011-03-30,58
2011-03-31,57
2011-04-01,56
2011-04-02,57
2011-04-03,58
2011-04-04,59
2011-04-05,61
2011-04-06,62
2011-04-07,63
2011-04-08,65
2011-04-09,66
2011-04-10,67
2011-04-11,69
2011-04-12,70
2011-04-13,71
2011-04-14,72
2011-04-15,74
2011-04-16,75
2011-04-17,76
2011-04-18,78
2011-04-19,79
2011-04-20,80
2011-04-21,82
2011-04-22,83
2011-04-23,84
2011-04-24,85
2011-04-25,87
2011-04-26,88
2011-04-27,89
2011-04-28,91
2011-04-29,92
2011-04-30,93
2011-05-01,95
2011-05-02,95
2011-05-03,95
2011-05-04,95
2011-05-05,95
2011-05-06,95
2011-05-07,95
2011-05-08,96
2011-05-09,96
2011-05-10,96
2011-05-11,96
2011-05-12,96
2011-05-13,96
2011-05-14,97
2011-05-15,97
2011-05-16,97
2011-05-17,97
2011-05-18,97
2011-05-19,97
2011-05-20,98
2011-05-21,98
2011-05-22,98
2011-05-23,98
2011-05-24,98
2011-05-25,98
2011-05-26,99
2011-05-27,99
2011-05-28,99
2011-05-29,99
2011-05-30,99
2011-05-31,99
2011-06-01,100
2011-06-02,98
2011-06-03,97
2011-06-04,96
2011-06-05,95
2011-06-06,93
2011-06-07,92
2011-06-08,91
2011-06-09,90
2011-06-10,88
2011-06-11,87
2011-06-12,86
2011-06-13,85
2011-06-14,83
2011-06-15,82
2011-06-16,81
2011-06-17,80
2011-06-18,79
2011-06-19,77
2011-06-20,76
2011-06-21,75
2011-06-22,74
2011-06-23,72
2011-06-24,71
2011-06-25,70
2011-06-26,69
2011-06-27,67
2011-06-28,66
2011-06-29,65
2011-06-30,64
2011-07-01,63
2011-07-02,63
2011-07-03,64
2011-07-04,65
2011-07-05,65
2011-07-06,66
2011-07-07,67
2011-07-08,67
2011-07-09,68
2011-07-10,69
2011-07-11,69
2011-07-12,70
2011-07-13,71
2011-07-14,71
2011-07-15,72
2011-07-16,73
2011-07-17,73
2011-07-18,74
2011-07-19,75
2011-07-20,75
2011-07-21,76
2011-07-22,77
2011-07-23,77
2011-07-24,78
2011-07-25,79
2011-07-26,79
2011-07-27,80
2011-07-28,81
2011-07-29,81
2011-07-30,82
2011-07-31,83
2011-08-01,84
2011-08-02,83
2011-08-03,83
2011-08-04,82
2011-08-05,82
2011-08-06,82
2011-08-07,81
2011-08-08,81
2011-08-09,81
2011-08-10,80
2011-08-11,80
2011-08-12,80
2011-08-13,79
2011-08-14,79
2011-08-15,79
2011-08-16,78
2011-08-17,78
2011-08-18,77
2011-08-19,77
2011-08-20,77
2011-08-21,76
2011-08-22,76
2011-08-23,76
2011-08-24,75
2011-08-25,75
2011-08-26,75
2011-08-27,74
2011-08-28,74
2011-08-29,74
2011-08-30,73
2011-08-31,73
2011-09-01,73
2011-09-02,73
2011-09-03,73
2011-09-04,74
2011-09-05,74
2011-09-06,75
2011-09-07,75
2011-09-08,76
2011-09-09,76
2011-09-10,77
2011-09-11,77
2011-09-12,78
2011-09-13,78
2011-09-14,79
2011-09-15,79
2011-09-16,80
2011-09-17,80
2011-09-18,80
2011-09-19,81
2011-09-20,81
2011-09-21,82
2011-09-22,82
2011-09-23,83
2011-09-24,83
2011-09-25,84
2011-09-26,84
2011-09-27,85
2011-09-28,85
2011-09-29,86
2011-09-30,86
2011-10-01,87
2011-10-02,86
2011-10-03,86
2011-10-04,85
2011-10-05,85
