Date,Pacific Growth Equities
2007-09-01,0
2007-09-02,2
2007-09-03,5
2007-09-04,8
2007-09-05,11
2007-09-06,14
2007-09-07,17
2007-09-08,20
2007-09-09,23
2007-09-10,26
2007-09-11,29
2007-09-12,31
2007-09-13,34
2007-09-14,37
2007-09-15,40
2007-09-16,43
2007-09-17,46
2007-09-18,49
2007-09-19,52
2007-09-20,55
2007-09-21,58
2007-09-22,60
2007-09-23,63
2007-09-24,66
2007-09-25,69
2007-09-26,72
2007-09-27,75
2007-09-28,78
2007-09-29,81
2007-09-30,84
2007-10-01,87
2007-10-02,87
2007-10-03,87
2007-10-04,88
2007-10-05,88
2007-10-06,89
2007-10-07,89
2007-10-08,89
2007-10-09,90
2007-10-10,90
2007-10-11,91
2007-10-12,91
2007-10-13,92
2007-10-14,92
2007-10-15,92
2007-10-16,93
2007-10-17,93
2007-10-18,94
2007-10-19,94
2007-10-20,94
2007-10-21,95
2007-10-22,95
2007-10-23,96
2007-10-24,96
2007-10-25,97
2007-10-26,97
2007-10-27,97
2007-10-28,98
2007-10-29,98
2007-10-30,99
2007-10-31,99
2007-11-01,100
2007-11-02,99
2007-11-03,98
2007-11-04,97
2007-11-05,96
2007-11-06,95
2007-11-07,94
2007-11-08,93
2007-11-09,92
2007-11-10,91
2007-11-11,90
2007-11-12,89
2007-11-13,88
2007-11-14,87
2007-11-15,86
2007-11-16,85
2007-11-17,84
2007-11-18,83
2007-11-19,82
2007-11-20,81
2007-11-21,80
2007-11-22,79
2007-11-23,78
2007-11-24,77
2007-11-25,76
2007-11-26,75
2007-11-27,74
2007-11-28,73
2007-11-29,72
2007-11-30,71
2007-12-01,71
2007-12-02,71
2007-12-03,71
2007-12-04,71
2007-12-05,71
2007-12-06,71
2007-12-07,71
2007-12-08,71
2007-12-09,71
2007-12-10,71
2007-12-11,71
2007-12-12,71
2007-12-13,71
2007-12-14,71
2007-12-15,71
2007-12-16,71
2007-12-17,71
2007-12-18,71
2007-12-19,71
2007-12-20,71
2007-12-21,71
2007-12-22,71
2007-12-23,71
2007-12-24,71
2007-12-25,71
2007-12-26,71
2007-12-27,71
2007-12-28,71
2007-12-29,71
2007-12-30,71
2007-12-31,71
2008-01-01,71
2008-01-02,71
2008-01-03,71
2008-01-04,71
2008-01-05,71
2008-01-06,71
2008-01-07,71
2008-01-08,71
2008-01-09,71
2008-01-10,71
2008-01-11,71
2008-01-12,71
2008-01-13,71
2008-01-14,71
2008-01-15,71
2008-01-16,71
2008-01-17,71
2008-01-18,71
2008-01-19,71
2008-01-20,71
2008-01-21,71
2008-01-22,71
2008-01-23,71
2008-01-24,71
2008-01-25,71
2008-01-26,71
2008-01-27,71
2008-01-28,71
2008-01-29,71
2008-01-30,71
2008-01-31,71
2008-02-01,71
2008-02-02,71
2008-02-03,71
2008-02-04,71
2008-02-05,71
2008-02-06,71
2008-02-07,71
2008-02-08,71
2008-02-09,71
2008-02-10,71
2008-02-11,71
2008-02-12,71
2008-02-13,71
2008-02-14,71
2008-02-15,71
2008-02-16,71
2008-02-17,71
2008-02-18,71
2008-02-19,71
2008-02-20,71
2008-02-21,71
2008-02-22,71
2008-02-23,71
2008-02-24,71
2008-02-25,71
2008-02-26,71
2008-02-27,71
2008-02-28,71
2008-02-29,71
2008-03-01,71
2008-03-02,70
2008-03-03,70
2008-03-04,70
2008-03-05,69
2008-03-06,69
2008-03-07,69
2008-03-08,69
2008-03-09,68
2008-03-10,68
2008-03-11,68
2008-03-12,68
2008-03-13,67
2008-03-14,67
2008-03-15,67
2008-03-16,67
2008-03-17,66
2008-03-18,66
2008-03-19,66
2008-03-20,66
2008-03-21,65
2008-03-22,65
2008-03-23,65
2008-03-24,65
2008-03-25,64
2008-03-26,64
2008-03-27,64
2008-03-28,64
2008-03-29,63
2008-03-30,63
2008-03-31,63
2008-04-01,63
2008-04-02,63
2008-04-03,63
2008-04-04,63
2008-04-05,63
2008-04-06,63
2008-04-07,63
2008-04-08,63
2008-04-09,63
2008-04-10,63
2008-04-11,63
2008-04-12,63
2008-04-13,63
2008-04-14,63
2008-04-15,63
2008-04-16,63
2008-04-17,63
2008-04-18,63
2008-04-19,63
2008-04-20,63
2008-04-21,63
2008-04-22,63
2008-04-23,63
2008-04-24,63
2008-04-25,63
2008-04-26,63
2008-04-27,63
2008-04-28,63
2008-04-29,63
2008-04-30,63
2008-05-01,63
2008-05-02,63
2008-05-03,63
2008-05-04,63
2008-05-05,63
2008-05-06,63
2008-05-07,63
2008-05-08,63
2008-05-09,63
2008-05-10,63
2008-05-11,63
2008-05-12,63
2008-05-13,63
2008-05-14,63
2008-05-15,63
2008-05-16,63
2008-05-17,63
2008-05-18,63
