Date,Lehman Brothers
2006-08-20,67
2006-08-21,66
2006-08-22,65
2006-08-23,66
2006-08-24,64
2006-08-25,61
2006-08-26,67
2006-08-27,59
2006-08-28,60
2006-08-29,58
2006-08-30,62
2006-08-31,57
2006-09-01,61
2006-09-02,62
2006-09-03,58
2006-09-04,60
2006-09-05,62
2006-09-06,64
2006-09-07,67
2006-09-08,69
2006-09-09,73
2006-09-10,73
2006-09-11,70
2006-09-12,74
2006-09-13,71
2006-09-14,75
2006-09-15,74
2006-09-16,78
2006-09-17,72
2006-09-18,72
2006-09-19,74
2006-09-20,71
2006-09-21,73
2006-09-22,71
2006-09-23,78
2006-09-24,71
2006-09-25,72
2006-09-26,73
2006-09-27,73
2006-09-28,78
2006-09-29,75
2006-09-30,86
2006-10-01,74
2006-10-02,73
2006-10-03,72
2006-10-04,71
2006-10-05,70
2006-10-06,71
2006-10-07,74
2006-10-08,69
2006-10-09,70
2006-10-10,72
2006-10-11,73
2006-10-12,77
2006-10-13,79
2006-10-14,82
2006-10-15,81
2006-10-16,78
2006-10-17,78
2006-10-18,81
2006-10-19,80
2006-10-20,78
2006-10-21,89
2006-10-22,79
2006-10-23,79
2006-10-24,79
2006-10-25,80
2006-10-26,80
2006-10-27,87
2006-10-28,81
2006-10-29,83
2006-10-30,78
2006-10-31,77
2006-11-01,76
2006-11-02,75
2006-11-03,78
2006-11-04,78
2006-11-05,73
2006-11-06,74
2006-11-07,79
2006-11-08,75
2006-11-09,75
2006-11-10,77
2006-11-11,85
2006-11-12,76
2006-11-13,76
2006-11-14,75
2006-11-15,75
2006-11-16,74
2006-11-17,77
2006-11-18,78
2006-11-19,79
2006-11-20,72
2006-11-21,72
2006-11-22,70
2006-11-23,72
2006-11-24,69
2006-11-25,76
2006-11-26,68
2006-11-27,69
2006-11-28,69
2006-11-29,70
2006-11-30,74
2006-12-01,71
2006-12-02,77
2006-12-03,75
2006-12-04,72
2006-12-05,72
2006-12-06,72
2006-12-07,76
2006-12-08,72
2006-12-09,78
