Date,Citigroup
2012-02-20,50
2012-02-21,51
2012-02-22,51
2012-02-23,52
2012-02-24,53
2012-02-25,56
2012-02-26,54
2012-02-27,53
2012-02-28,53
2012-02-29,54
2012-03-01,53
2012-03-02,53
2012-03-03,57
2012-03-04,52
2012-03-05,52
2012-03-06,52
2012-03-07,52
2012-03-08,51
2012-03-09,51
2012-03-10,55
2012-03-11,52
2012-03-12,51
2012-03-13,51
2012-03-14,52
2012-03-15,54
2012-03-16,52
2012-03-17,58
2012-03-18,53
2012-03-19,52
2012-03-20,53
2012-03-21,52
2012-03-22,52
2012-03-23,53
2012-03-24,56
2012-03-25,51
2012-03-26,51
2012-03-27,53
2012-03-28,51
2012-03-29,51
2012-03-30,51
2012-03-31,54
2012-04-01,53
2012-04-02,50
2012-04-03,49
2012-04-04,49
2012-04-05,49
2012-04-06,50
2012-04-07,50
2012-04-08,49
2012-04-09,48
2012-04-10,49
2012-04-11,49
2012-04-12,50
2012-04-13,50
2012-04-14,56
2012-04-15,51
2012-04-16,52
2012-04-17,53
2012-04-18,55
2012-04-19,55
2012-04-20,57
2012-04-21,61
2012-04-22,57
2012-04-23,55
2012-04-24,54
2012-04-25,53
2012-04-26,52
2012-04-27,51
2012-04-28,54
2012-04-29,50
2012-04-30,49
2012-05-01,49
2012-05-02,49
2012-05-03,49
2012-05-04,49
2012-05-05,54
2012-05-06,48
2012-05-07,48
2012-05-08,48
2012-05-09,48
2012-05-10,47
2012-05-11,47
2012-05-12,52
2012-05-13,47
2012-05-14,48
2012-05-15,49
2012-05-16,49
2012-05-17,51
2012-05-18,52
2012-05-19,55
2012-05-20,53
2012-05-21,50
2012-05-22,50
2012-05-23,49
2012-05-24,48
2012-05-25,49
2012-05-26,51
2012-05-27,48
2012-05-28,47
2012-05-29,47
2012-05-30,47
2012-05-31,47
2012-06-01,48
2012-06-02,49
2012-06-03,48
2012-06-04,47
2012-06-05,48
2012-06-06,48
2012-06-07,48
2012-06-08,49
2012-06-09,52
2012-06-10,51
2012-06-11,48
2012-06-12,48
2012-06-13,49
2012-06-14,48
2012-06-15,48
2012-06-16,52
2012-06-17,49
2012-06-18,49
2012-06-19,50
2012-06-20,50
2012-06-21,51
2012-06-22,51
2012-06-23,56
2012-06-24,53
2012-06-25,51
2012-06-26,51
2012-06-27,51
2012-06-28,52
2012-06-29,51
2012-06-30,55
2012-07-01,51
2012-07-02,50
2012-07-03,50
2012-07-04,52
2012-07-05,50
2012-07-06,50
2012-07-07,54
2012-07-08,51
2012-07-09,50
2012-07-10,50
2012-07-11,51
2012-07-12,50
2012-07-13,51
2012-07-14,54
2012-07-15,51
2012-07-16,51
2012-07-17,53
2012-07-18,52
2012-07-19,53
2012-07-20,52
2012-07-21,56
2012-07-22,53
2012-07-23,52
2012-07-24,52
2012-07-25,52
2012-07-26,52
2012-07-27,53
2012-07-28,57
2012-07-29,51
2012-07-30,51
2012-07-31,51
2012-08-01,50
2012-08-02,51
2012-08-03,50
2012-08-04,53
2012-08-05,51
2012-08-06,50
2012-08-07,50
2012-08-08,50
