Date,Merrill Lynch
2006-02-01,68
2006-02-02,68
2006-02-03,69
2006-02-04,73
2006-02-05,73
2006-02-06,69
2006-02-07,69
2006-02-08,69
2006-02-09,69
2006-02-10,71
2006-02-11,72
2006-02-12,71
2006-02-13,70
2006-02-14,71
2006-02-15,70
2006-02-16,73
2006-02-17,71
2006-02-18,75
2006-02-19,71
2006-02-20,71
2006-02-21,71
2006-02-22,71
2006-02-23,71
2006-02-24,71
2006-02-25,75
2006-02-26,73
2006-02-27,71
2006-02-28,73
2006-03-01,72
2006-03-02,73
2006-03-03,74
2006-03-04,80
2006-03-05,76
2006-03-06,73
2006-03-07,74
2006-03-08,73
2006-03-09,71
2006-03-10,71
2006-03-11,74
2006-03-12,77
2006-03-13,69
2006-03-14,68
2006-03-15,68
2006-03-16,66
2006-03-17,66
2006-03-18,70
2006-03-19,65
2006-03-20,65
2006-03-21,67
2006-03-22,68
2006-03-23,67
2006-03-24,67
2006-03-25,71
2006-03-26,68
2006-03-27,68
2006-03-28,68
2006-03-29,68
2006-03-30,69
2006-03-31,68
2006-05-01,66
2006-05-02,67
2006-05-03,67
2006-05-04,68
2006-05-05,67
2006-05-06,70
2006-05-07,69
2006-05-08,68
2006-05-09,68
2006-05-10,68
2006-05-11,71
2006-05-12,68
2006-05-13,72
2006-05-14,67
2006-05-15,67
2006-05-16,67
2006-05-17,66
2006-05-18,66
2006-05-19,66
2006-05-20,69
2006-05-21,66
2006-05-22,63
2006-05-23,62
2006-05-24,61
2006-05-25,60
2006-05-26,59
2006-05-27,61
2006-05-28,61
2006-05-29,58
2006-05-30,58
2006-05-31,58
2006-06-01,58
2006-06-02,61
2006-06-03,65
2006-06-04,59
2006-06-05,59
2006-06-06,60
2006-06-07,59
2006-06-08,59
2006-06-09,62
2006-06-10,65
2006-06-11,61
2006-06-12,60
2006-06-13,60
2006-06-14,60
2006-06-15,60
2006-06-16,60
2006-06-17,66
2006-06-18,61
2006-06-19,62
2006-06-20,63
2006-06-21,64
2006-06-22,66
2006-06-23,67
2006-06-24,69
2006-06-25,69
2006-06-26,65
2006-06-27,64
2006-06-28,64
2006-06-29,62
2006-06-30,61
2006-07-01,65
2006-07-02,64
2006-07-03,59
2006-07-04,61
