Date,BMO Capital Markets
2013-02-03,55
2013-02-04,56
2013-02-05,57
2013-02-06,57
2013-02-07,58
2013-02-08,58
2013-02-09,59
2013-02-10,56
2013-02-11,53
2013-02-12,50
2013-02-13,47
2013-02-14,44
2013-02-15,41
2013-02-16,38
2013-02-17,41
2013-02-18,44
2013-02-19,47
2013-02-20,51
2013-02-21,54
2013-02-22,57
2013-02-23,61
2013-02-24,64
2013-02-25,68
2013-02-26,71
2013-02-27,75
2013-02-28,78
2013-03-01,81
2013-03-02,85
2013-03-03,81
2013-03-04,76
2013-03-05,72
2013-03-06,68
2013-03-07,64
2013-03-08,60
2013-03-09,56
2013-03-10,53
2013-03-11,50
2013-03-12,47
2013-03-13,45
2013-03-14,42
2013-03-15,39
2013-03-16,37
2013-03-17,36
2013-03-18,36
2013-03-19,35
2013-03-20,35
2013-03-21,34
2013-03-22,34
2013-03-23,33
2013-03-24,33
2013-03-25,32
2013-03-26,32
2013-03-27,31
2013-03-28,31
2013-03-29,31
2013-03-30,31
2013-03-31,33
2013-05-05,52
2013-05-06,48
2013-05-07,44
2013-05-08,40
2013-05-09,36
2013-05-10,32
2013-05-11,28
2013-05-12,31
2013-05-13,34
2013-05-14,37
2013-05-15,40
2013-05-16,43
2013-05-17,46
2013-05-18,49
2013-05-19,47
2013-05-20,44
2013-05-21,42
2013-05-22,40
2013-05-23,37
2013-05-24,35
2013-05-25,33
2013-05-26,32
2013-05-27,32
2013-05-28,31
2013-05-29,31
2013-05-30,30
2013-05-31,30
2013-06-01,30
2013-06-02,30
2013-06-03,30
2013-06-04,31
2013-06-05,31
2013-06-06,32
2013-06-07,32
2013-06-08,33
2013-06-09,33
2013-06-10,34
2013-06-11,34
2013-06-12,35
2013-06-13,35
2013-06-14,36
2013-06-15,37
2013-06-16,36
2013-06-17,35
2013-06-18,34
2013-06-19,33
2013-06-20,32
2013-06-21,31
2013-06-22,30
2013-06-23,31
2013-06-24,33
2013-06-25,35
2013-06-26,37
2013-06-27,39
2013-06-28,41
2013-06-29,43
2013-06-30,44
2013-07-01,44
2013-07-02,45
2013-07-03,45
2013-07-04,46
2013-07-05,47
2013-07-06,48
2013-07-07,47
2013-07-08,47
2013-07-09,47
2013-07-10,47
2013-07-11,47
2013-07-12,47
2013-07-13,47
2013-07-14,46
2013-07-15,45
2013-07-16,44
2013-07-17,43
2013-07-18,42
2013-07-19,41
2013-07-20,41
2013-07-21,40
2013-07-22,39
2013-07-23,38
2013-07-24,37
2013-07-25,36
2013-07-26,35
2013-07-27,34
2013-07-28,39
2013-08-04,72
2013-08-05,71
2013-08-06,71
2013-08-07,70
2013-08-08,69
2013-08-09,68
2013-08-10,67
2013-08-11,64
2013-08-12,60
2013-08-13,57
2013-08-14,53
2013-08-15,50
2013-08-16,47
2013-08-17,44
2013-08-18,45
2013-08-19,46
2013-08-20,47
2013-08-21,49
2013-08-22,50
2013-08-23,51
2013-08-24,53
2013-08-25,55
2013-08-26,57
2013-08-27,59
2013-08-28,61
2013-08-29,63
2013-08-30,65
2013-08-31,67
2013-09-01,66
2013-09-02,65
2013-09-03,64
2013-09-04,63
2013-09-05,62
