Date,Wells Fargo Securities
2010-09-01,50
2010-09-02,50
2010-09-03,50
2010-09-04,52
2010-09-05,53
2010-09-06,50
2010-09-07,50
2010-09-08,49
2010-09-09,49
2010-09-10,49
2010-09-11,51
2010-09-12,52
2010-09-13,50
2010-09-14,50
2010-09-15,51
2010-09-16,52
2010-09-17,52
2010-09-18,55
2010-09-19,55
2010-09-20,52
2010-09-21,52
2010-09-22,51
2010-09-23,52
2010-09-24,51
2010-09-25,53
2010-09-26,53
2010-09-27,51
2010-09-28,51
2010-09-29,52
2010-09-30,52
2010-10-01,52
2010-10-02,55
2010-10-03,56
2010-10-04,53
2010-10-05,53
2010-10-06,54
2010-10-07,53
2010-10-08,53
2010-10-09,55
2010-10-10,55
2010-10-11,52
2010-10-12,52
2010-10-13,52
2010-10-14,52
2010-10-15,52
2010-10-16,54
2010-10-17,54
2010-10-18,51
2010-10-19,51
2010-10-20,51
2010-10-21,50
2010-10-22,50
2010-10-23,52
2010-10-24,52
2010-10-25,51
2010-10-26,51
2010-10-27,52
2010-10-28,52
2010-10-29,53
2010-10-30,56
2010-10-31,57
2010-11-01,54
2010-11-02,55
2010-11-03,56
2010-11-04,56
2010-11-05,56
2010-11-06,59
2010-11-07,59
2010-11-08,56
2010-11-09,56
2010-11-10,55
2010-11-11,55
2010-11-12,55
2010-11-13,56
2010-11-14,58
2010-11-15,55
2010-11-16,55
2010-11-17,55
2010-11-18,55
2010-11-19,55
2010-11-20,57
2010-11-21,56
2010-11-22,52
2010-11-23,51
2010-11-24,50
2010-11-25,53
2010-11-26,48
2010-11-27,47
2010-11-28,50
2010-11-29,50
2010-11-30,51
2010-12-01,53
2010-12-02,54
2010-12-03,56
2010-12-04,60
2010-12-05,60
2010-12-06,57
2010-12-07,57
2010-12-08,57
2010-12-09,57
2010-12-10,57
2010-12-11,59
2010-12-12,60
2010-12-13,57
2010-12-14,57
2010-12-15,57
2010-12-16,57
2010-12-17,57
2010-12-18,58
2010-12-19,60
2010-12-20,57
2010-12-21,57
2010-12-22,57
2010-12-23,57
2010-12-24,57
2010-12-25,63
2010-12-26,57
2010-12-27,58
2010-12-28,58
2010-12-29,59
2010-12-30,59
2010-12-31,60
2011-01-01,65
2011-01-02,61
2011-01-03,61
2011-01-04,61
2011-01-05,62
2011-01-06,61
2011-01-07,61
2011-01-08,64
2011-01-09,65
2011-01-10,60
2011-01-11,59
2011-01-12,59
2011-01-13,58
2011-01-14,57
2011-01-15,58
2011-01-16,60
2011-01-17,56
2011-01-18,56
2011-01-19,56
2011-01-20,56
2011-01-21,56
2011-01-22,58
2011-01-23,58
2011-01-24,56
2011-01-25,56
2011-01-26,56
2011-01-27,56
2011-01-28,56
2011-01-29,57
2011-01-30,59
2011-01-31,57
2011-02-01,58
2011-02-02,59
2011-02-03,59
2011-02-04,60
2011-02-05,62
2011-02-06,64
2011-02-07,60
2011-02-08,60
2011-02-09,60
2011-02-10,60
2011-02-11,60
2011-02-12,62
2011-02-13,63
2011-02-14,60
2011-02-15,60
2011-02-16,61
2011-02-17,61
2011-02-18,61
2011-02-19,63
2011-02-20,65
2011-02-21,61
2011-02-22,61
2011-02-23,60
2011-02-24,61
2011-02-25,60
2011-02-26,62
2011-02-27,63
2011-02-28,60
2011-03-01,61
2011-03-02,62
2011-03-03,62
2011-03-04,62
2011-03-05,65
2011-03-06,65
2011-03-07,61
2011-03-08,60
2011-03-09,60
2011-03-10,59
2011-03-11,58
2011-03-12,60
2011-03-13,61
2011-03-14,57
2011-03-15,57
2011-03-16,57
2011-03-17,56
2011-03-18,56
2011-03-19,58
2011-03-20,58
2011-03-21,56
2011-03-22,56
2011-03-23,56
2011-03-24,56
2011-03-25,56
2011-03-26,59
2011-03-27,59
2011-03-28,58
2011-03-29,59
2011-03-30,59
2011-03-31,60
2011-04-01,61
2011-04-02,63
2011-04-03,65
2011-04-04,62
2011-04-05,62
2011-04-06,63
2011-04-07,63
2011-04-08,63
2011-04-09,65
2011-04-10,66
2011-04-11,63
2011-04-12,62
2011-04-13,62
2011-04-14,61
2011-04-15,61
2011-04-16,64
2011-04-17,64
2011-04-18,61
2011-04-19,62
2011-04-20,62
2011-04-21,63
2011-04-22,63
2011-04-23,67
2011-04-24,67
2011-04-25,63
2011-04-26,63
2011-04-27,63
2011-04-28,63
2011-04-29,63
2011-04-30,65
2011-05-01,66
2011-05-02,63
2011-05-03,63
2011-05-04,64
2011-05-05,64
2011-05-06,64
2011-05-07,67
2011-05-08,68
2011-05-09,64
2011-05-10,63
2011-05-11,63
2011-05-12,62
2011-05-13,62
2011-05-14,64
2011-05-15,64
2011-05-16,61
2011-05-17,61
2011-05-18,61
2011-05-19,62
2011-05-20,61
2011-05-21,63
2011-05-22,63
2011-05-23,61
2011-05-24,61
2011-05-25,61
2011-05-26,61
2011-05-27,61
2011-05-28,63
2011-05-29,65
2011-05-30,61
2011-05-31,62
2011-06-01,62
2011-06-02,63
2011-06-03,63
2011-06-04,66
2011-06-05,67
2011-06-06,63
2011-06-07,63
2011-06-08,63
2011-06-09,62
2011-06-10,62
2011-06-11,63
2011-06-12,66
2011-06-13,64
2011-06-14,65
2011-06-15,66
2011-06-16,67
2011-06-17,68
2011-06-18,71
2011-06-19,72
2011-06-20,68
2011-06-21,67
2011-06-22,67
2011-06-23,66
2011-06-24,66
2011-06-25,68
2011-06-26,69
2011-06-27,67
2011-06-28,68
2011-06-29,69
2011-06-30,69
2011-07-01,70
2011-07-02,74
2011-07-03,75
2011-07-04,72
2011-07-05,69
2011-07-06,69
2011-07-07,69
2011-07-08,68
2011-07-09,70
2011-07-10,72
2011-07-11,70
2011-07-12,71
2011-07-13,73
2011-07-14,73
2011-07-15,74
2011-07-16,79
2011-07-17,80
2011-07-18,75
2011-07-19,75
2011-07-20,75
2011-07-21,75
2011-07-22,75
2011-07-23,78
2011-07-24,78
2011-07-25,75
2011-07-26,76
2011-07-27,76
2011-07-28,77
2011-07-29,77
2011-07-30,81
2011-07-31,81
2011-08-01,79
2011-08-02,80
2011-08-03,81
2011-08-04,82
2011-08-05,83
2011-08-06,87
2011-08-07,87
2011-08-08,83
2011-08-09,83
2011-08-10,82
2011-08-11,82
2011-08-12,82
2011-08-13,84
2011-08-14,87
2011-08-15,83
2011-08-16,85
2011-08-17,84
2011-08-18,84
2011-08-19,85
2011-08-20,89
2011-08-21,89
2011-08-22,84
2011-08-23,83
2011-08-24,83
2011-08-25,82
2011-08-26,81
2011-08-27,83
2011-08-28,85
2011-08-29,81
2011-08-30,81
2011-08-31,82
2011-09-01,82
2011-09-02,82
2011-09-03,86
2011-09-04,87
2011-09-05,81
2011-09-06,80
2011-09-07,79
2011-09-08,78
2011-09-09,77
2011-09-10,78
2011-09-11,81
2011-09-12,77
2011-09-13,78
2011-09-14,78
2011-09-15,79
2011-09-16,80
2011-09-17,85
2011-09-18,84
2011-09-19,79
2011-09-20,79
2011-09-21,78
2011-09-22,78
2011-09-23,77
2011-09-24,80
2011-09-25,80
2011-09-26,78
2011-09-27,78
2011-09-28,79
2011-09-29,79
2011-09-30,80
