Date,Rodman & Renshaw
2010-09-23,36
2010-09-24,34
2010-09-25,33
2010-09-26,32
2010-10-01,25
2010-10-02,24
2010-10-03,24
2010-10-04,24
2010-10-05,24
2010-10-06,24
2010-10-07,24
2010-10-08,24
2010-10-09,24
2010-10-10,24
2010-10-11,24
2010-10-12,23
2010-10-13,23
2010-10-14,23
2010-10-15,23
2010-10-16,23
2010-10-17,23
2010-10-18,23
2010-10-19,23
2010-10-20,23
2010-10-21,23
2010-10-22,22
2010-10-23,22
2010-10-24,22
2010-10-25,22
2010-10-26,22
2010-10-27,22
2010-10-28,22
2010-10-29,22
2010-10-30,22
2010-10-31,22
2010-11-01,22
2010-11-02,22
2010-11-03,22
2010-11-04,22
2010-11-05,22
2010-11-06,22
2010-11-07,22
2010-11-08,22
2010-11-09,22
2010-11-10,22
2010-11-11,22
2010-11-12,22
2010-11-13,22
2010-11-14,22
2010-11-15,22
2010-11-16,22
2010-11-17,22
2010-11-18,22
2010-11-19,22
2010-11-20,22
2010-11-21,22
2010-11-22,22
2010-11-23,22
2010-11-24,22
2010-11-25,22
2010-11-26,22
2010-11-27,22
2010-11-28,22
2010-11-29,22
2010-11-30,22
2010-12-01,22
2010-12-02,22
2010-12-03,22
2010-12-04,22
2010-12-05,22
2010-12-06,22
2010-12-07,22
2010-12-08,22
2010-12-09,22
2010-12-10,22
2010-12-11,22
2010-12-12,22
2010-12-13,22
2010-12-14,22
2010-12-15,22
2010-12-16,22
2010-12-17,22
2010-12-18,22
2010-12-19,22
2010-12-20,22
2010-12-21,22
2010-12-22,22
2010-12-23,22
2010-12-24,22
2010-12-25,22
2010-12-26,22
2010-12-27,22
2010-12-28,22
2010-12-29,22
2010-12-30,22
2010-12-31,22
2011-01-01,22
2011-01-02,22
2011-01-03,22
2011-01-04,22
2011-01-05,22
2011-01-06,22
2011-01-07,22
2011-01-08,23
2011-01-09,23
2011-01-10,23
2011-01-11,23
2011-01-12,23
2011-01-13,23
2011-01-14,24
2011-01-15,24
2011-01-16,24
2011-01-17,24
2011-01-18,24
2011-01-19,24
2011-01-20,25
2011-01-21,25
2011-01-22,25
2011-01-23,25
2011-01-24,25
2011-01-25,25
2011-01-26,26
2011-01-27,26
2011-01-28,26
2011-01-29,26
2011-01-30,26
2011-01-31,26
2011-02-01,27
2011-02-02,27
2011-02-03,27
2011-02-04,28
2011-02-05,28
2011-02-06,28
2011-02-07,29
2011-02-08,29
2011-02-09,30
2011-02-10,30
2011-02-11,30
2011-02-12,31
2011-02-13,31
2011-02-14,32
2011-02-15,32
2011-02-16,32
2011-02-17,33
2011-02-18,33
2011-02-19,34
2011-02-20,34
2011-02-21,34
2011-02-22,35
2011-02-23,35
2011-02-24,36
2011-02-25,36
2011-02-26,36
2011-02-27,37
2011-02-28,37
2011-03-01,38
2011-03-02,37
2011-03-03,36
2011-03-04,36
2011-03-05,35
2011-03-06,35
2011-03-07,34
2011-03-08,33
2011-03-09,33
2011-03-10,32
2011-03-11,32
2011-03-12,31
2011-03-13,31
2011-03-14,30
2011-03-15,29
2011-03-16,29
2011-03-17,28
2011-03-18,28
2011-03-19,27
2011-03-20,26
2011-03-21,26
2011-03-22,25
2011-03-23,25
2011-03-24,24
2011-03-25,24
2011-03-26,23
2011-03-27,22
2011-03-28,22
2011-03-29,21
2011-03-30,21
2011-03-31,20
2011-04-01,20
2011-04-02,20
2011-04-03,20
2011-04-04,20
2011-04-05,20
2011-04-06,20
2011-04-07,20
2011-04-08,20
2011-04-09,20
2011-04-10,20
2011-04-11,21
2011-04-12,21
2011-04-13,21
2011-04-14,21
2011-04-15,21
2011-04-16,21
2011-04-17,21
2011-04-18,21
2011-04-19,21
2011-04-20,21
2011-04-21,22
2011-04-22,22
2011-04-23,22
2011-04-24,22
2011-04-25,22
2011-04-26,22
2011-04-27,22
2011-04-28,22
2011-04-29,22
2011-04-30,22
2011-05-01,23
2011-05-02,23
2011-05-03,23
2011-05-04,23
2011-05-05,23
2011-05-06,23
2011-05-07,23
2011-05-08,23
2011-05-09,23
2011-05-10,23
2011-05-11,23
2011-05-12,23
2011-05-13,23
2011-05-14,23
2011-05-15,23
2011-05-16,23
2011-05-17,23
2011-05-18,23
2011-05-19,23
2011-05-20,23
2011-05-21,23
2011-05-22,23
2011-05-23,23
2011-05-24,23
2011-05-25,23
2011-05-26,23
2011-05-27,23
2011-05-28,23
2011-05-29,23
2011-05-30,23
2011-05-31,23
2011-06-01,23
2011-06-02,22
2011-06-03,22
2011-06-04,22
2011-06-05,21
2011-06-06,21
2011-06-07,21
2011-06-08,21
2011-06-09,20
2011-06-10,20
2011-06-11,20
2011-06-12,20
2011-06-13,19
2011-06-14,19
2011-06-15,19
2011-06-16,19
2011-06-17,18
2011-06-18,18
2011-06-19,18
2011-06-20,17
2011-06-21,17
2011-06-22,17
2011-06-23,17
2011-06-24,16
2011-06-25,16
2011-06-26,16
2011-06-27,16
2011-06-28,15
2011-06-29,15
2011-06-30,15
2011-07-03,15
2011-07-04,16
2011-07-05,16
2011-07-06,17
2011-07-07,17
2011-07-08,18
2011-07-09,18
2011-07-10,19
2011-07-11,19
2011-07-12,20
2011-07-13,20
2011-07-14,21
2011-07-15,21
2011-07-16,22
2011-07-17,22
2011-07-18,23
2011-07-19,23
2011-07-20,24
2011-07-21,24
2011-07-22,25
2011-07-23,25
2011-07-24,26
2011-07-25,26
2011-07-26,27
2011-07-27,27
2011-07-28,28
2011-07-29,28
2011-07-30,29
2011-07-31,29
2011-08-01,30
2011-08-02,30
2011-08-03,30
2011-08-04,30
2011-08-05,31
2011-08-06,31
2011-08-07,31
2011-08-08,32
2011-08-09,32
2011-08-10,32
2011-08-11,33
2011-08-12,33
2011-08-13,33
2011-08-14,34
2011-08-15,34
2011-08-16,34
2011-08-17,35
2011-08-18,35
2011-08-19,35
2011-08-20,36
2011-08-21,36
2011-08-22,38
2011-08-23,37
2011-08-24,37
2011-08-25,37
2011-08-26,38
2011-08-27,38
2011-08-28,38
2011-08-29,39
2011-08-30,39
2011-08-31,40
2011-09-01,40
